description,code,primary_components,secondary_components,tertiary_components,scale,reference
none,SUPPLY_HEATING_AS0,-,-,-,NONE,educated guess
oil-fired boiler - Konstanttemperaturkessel - 10 kW,SUPPLY_HEATING_AS1,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler - Konstanttemperaturkessel - 50 kW,SUPPLY_HEATING_AS2,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler - Konstanttemperaturkessel - 100 kW,SUPPLY_HEATING_AS3,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler - Niedertemperaturkessel - 10 kW,SUPPLY_HEATING_AS4,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler - Niedertemperaturkessel -  50 kW,SUPPLY_HEATING_AS5,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler - Niedertemperaturkessel - 100 kW,SUPPLY_HEATING_AS6,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler  - Brennwertgerät -  10 kW,SUPPLY_HEATING_AS7,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler  - Brennwertgerät -  50 kW,SUPPLY_HEATING_AS8,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
oil-fired boiler  - Brennwertgerät -  100 kW,SUPPLY_HEATING_AS9,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Konstanttemperaturkessel - 10 kW,SUPPLY_HEATING_AS10,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Konstanttemperaturkessel - 50 kW,SUPPLY_HEATING_AS11,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Konstanttemperaturkessel - 100 kW,SUPPLY_HEATING_AS12,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Niedertemperaturkessel - 10 kW,SUPPLY_HEATING_AS13,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Niedertemperaturkessel - 50 kW,SUPPLY_HEATING_AS14,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler - Niedertemperaturkessel - 100 kW,SUPPLY_HEATING_AS15,BO2,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler  - Brennwertgerät - 10 kW,SUPPLY_HEATING_AS16,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas- boiler  - Brennwertgerät - 50 kW,SUPPLY_HEATING_AS17,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
natural gas-fired boiler  - Brennwertgerät -  100 kW,SUPPLY_HEATING_AS18,BO1,-,-,BUILDING,"https://www.effizienzhaus-online.de/lexikon/wirkungsgrad/, KEA Technikkatalog"
biomass boiler - 10 kW,SUPPLY_HEATING_AS19,BO7,-,-,BUILDING,KEA Technikatalog
biomass boiler - 50 kW,SUPPLY_HEATING_AS20,BO7,-,-,BUILDING,KEA Technikatalog
biomass boiler - 100 kW,SUPPLY_HEATING_AS21,BO7,-,-,BUILDING,KEA Technikatalog
heatpump  soil/water - 10 kW,SUPPLY_HEATING_AS22,HP1,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump  soil/water - 50 kW,SUPPLY_HEATING_AS23,HP1,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump  soil/water - 100 kW,SUPPLY_HEATING_AS24,HP1,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump  air/water -  10 kW,SUPPLY_HEATING_AS25,HP3,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump  air/water -  50 kW,SUPPLY_HEATING_AS26,HP3,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump  air/water -  100 kW,SUPPLY_HEATING_AS27,HP3,-,-,BUILDING,Technologiesteckbriefe: https://energy.ec.europa.eu/system/files/2021-01/de_ca_2020_de_0.pdf
heatpump - air/air,SUPPLY_HEATING_AS28,HP3,-,-,BUILDING,"from CEA Switzerland, adjustments required, educated guess"
heatpump - water/water,SUPPLY_HEATING_AS29,HP2,-,-,BUILDING,"from CEA Switzerland, adjustments required, educated guess"
coal-fired furnace,SUPPLY_HEATING_AS30,BO4,-,-,BUILDING,"from CEA Switzerland, adjustments required, Connolly et al. (2013). Costs in the EU boiler <25 kW)"
electrical boiler,SUPPLY_HEATING_AS31,BO5,-,-,BUILDING,"from CEA Switzerland, adjustments required"
wood-furnace,SUPPLY_HEATING_AS32,BO6,-,-,BUILDING,"from CEA Switzerland, adjustments required"
district heating - natural gas-fired boiler,SUPPLY_HEATING_AS33,BO1,-,-,DISTRICT,from https://ens.dk/en/our-services/projections-and-models/technology-data/technology-data-generation-electricity-and and gross to net heating value conversion. Exchange rate: 1 EUR to 1.11 Dollars
district heating - heatpump - air/water,SUPPLY_HEATING_AS34,HP3,-,-,DISTRICT,from https://ens.dk/en/our-services/projections-and-models/technology-data/technology-data-generation-electricity-and Exchange rate: 1 EUR to 1.11 Dollars
district heating - heat pump - seawater/water,SUPPLY_HEATING_AS35,HP2,-,-,DISTRICT,from https://ens.dk/en/our-services/projections-and-models/technology-data/technology-data-generation-electricity-and Exchange rate: 1 EUR to 1.11 Dollars
condensing boiler + solar thermal collector,SUPPLY_HEATING_AS36,BO3,-,-,BUILDING,KEA Technikatalog
solar thermal collector,SUPPLY_HEATING_AS37,SC1,-,-,BUILDING,KEA Technikatalog
