description,code,feedstock,scale,efficiency,CAPEX_USD2015kW,LT_yr,O&M_%,IR_%,reference
none,SUPPLY_ELECTRICITY_AS0,NONE,NONE,0.0,0,20,1,5,educated guess
German consumer energy mix,SUPPLY_ELECTRICITY_AS1,GRID,CITY,0.94,1,20,1,5,"Statistisches Bundesamt 2019 Monatsbericht über die Elektrizitätsversorgung, educated guess"
