Name,Hs,void_deck,wwr_north,wwr_west,wwr_east,wwr_south,type_cons,type_leak,type_roof,type_wall,type_win,type_shade
"B001",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B002",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B003",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B004",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B005",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B006",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B007",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B008",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B009",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B010",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B011",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B012",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B013",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B014",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B015",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B016",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B017",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B018",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B019",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B020",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B021",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
"B022",0.545,0,0.29,0.29,0.29,0.29,"T2","T3","T7","T8","T8","T1"
