,OFFICE_temperature,OFFICE_total_fresh_air_flow,OFFICE_ahu_fresh_air_flow,OFFICE_window_fresh_air_flow,OFFICE_ahu_heat_electric_power,OFFICE_ahu_cool_electric_power,OFFICE_tu_heat_electric_power,OFFICE_tu_cool_electric_power
2005-01-01 00:00:00,25.0,0.64580008712,0.0,-1.81188397619e-13,0.0,0.0,0.0,39713.7350379
2005-01-01 01:00:00,25.0,0.64580008712,0.0,-4.54747350886e-13,0.0,0.0,0.0,39985.3519497
2005-01-01 02:00:00,25.0,0.64580008712,0.0,-9.09494701773e-13,0.0,0.0,0.0,39917.4477218
2005-01-01 03:00:00,25.0,0.64580008712,0.0,-9.09494701773e-13,0.0,0.0,0.0,39894.8129791
2005-01-01 04:00:00,25.0,0.645800087119,0.0,-1.36424205266e-12,0.0,0.0,0.0,39872.1782365
2005-01-01 05:00:00,25.0,0.64580008712,0.0,-4.54747350886e-13,0.0,0.0,0.0,39849.5434938
2005-01-01 06:00:00,25.0,2.15822770065,0.0,1.51242761353,0.0,0.0,0.0,59966.9644293
2005-01-01 07:00:00,25.0,2.15822770065,0.0,1.51242761353,0.0,0.0,0.0,59989.599172
2005-01-01 08:00:00,25.0,6.47468310196,0.0,5.82888301484,0.0,0.0,0.0,89574.4349405
2005-01-01 09:00:00,25.0,6.47468310196,0.0,5.82888301484,0.0,0.0,0.0,89755.5128818
2005-01-01 10:00:00,25.0,6.47468310196,0.0,5.82888301484,0.0,0.0,0.0,89868.686595
2005-01-01 11:00:00,25.0,6.47468310196,0.0,5.82888301484,0.0,0.0,0.0,90027.1297936
2005-01-01 12:00:00,25.0,2.15822770065,0.0,1.51242761353,0.0,0.0,0.0,54132.6796684
2005-01-01 13:00:00,25.0,2.15822770065,0.0,1.51242761353,0.0,0.0,0.0,54177.9491537
2005-01-01 14:00:00,25.0,2.15822770065,0.0,1.51242761353,0.0,0.0,0.0,54155.314411
2005-01-01 15:00:00,25.0,2.15822770065,0.0,1.51242761353,0.0,0.0,0.0,54110.0449257
2005-01-01 16:00:00,25.0,2.15822770065,0.0,1.51242761353,0.0,0.0,0.0,54064.7754404
2005-01-01 17:00:00,25.0,1.07911385033,0.0,0.433313763206,0.0,0.0,0.0,43293.070579
2005-01-01 18:00:00,25.0,1.07911385033,0.0,0.433313763206,0.0,0.0,0.0,43134.6273805
2005-01-01 19:00:00,25.0,0.64580008712,0.0,-9.09494701773e-13,0.0,0.0,0.0,40211.6993476
2005-01-01 20:00:00,25.0000000001,0.64580008712,0.0,-9.09494701773e-13,0.0,0.0,0.0,40075.8909203
2005-01-01 21:00:00,25.0000000001,0.64580008712,0.0,-4.54747350886e-13,0.0,0.0,0.0,40030.6214637
2005-01-01 22:00:00,25.0,0.645800087121,0.0,0.0,0.0,0.0,0.0,39985.3519497
2005-01-01 23:00:00,25.0,0.645800087121,0.0,0.0,0.0,0.0,0.0,0.0
