,OFFICE_ahu_heat_air_flow,OFFICE_ahu_cool_air_flow,OFFICE_tu_heat_air_flow,OFFICE_tu_cool_air_flow,OFFICE_window_air_flow
2005-01-01 00:00:00,-0.0,0.0,-0.0,12.5898559963,0.0
2005-01-01 01:00:00,-0.0,0.0,-0.0,12.6759626746,0.0
2005-01-01 02:00:00,-0.0,0.0,-0.0,12.6544360051,0.0
2005-01-01 03:00:00,-0.0,0.0,-0.0,12.6472604485,0.0
2005-01-01 04:00:00,-0.0,0.0,-0.0,12.640084892,0.0
2005-01-01 05:00:00,-0.0,0.0,-0.0,12.6329093355,0.0
2005-01-01 06:00:00,-0.0,0.0,-0.0,19.0104367162,1.51242761353
2005-01-01 07:00:00,-0.0,0.0,-0.0,19.0176122728,1.51242761353
2005-01-01 08:00:00,-0.0,0.0,-0.0,28.3964536647,5.82888301484
2005-01-01 09:00:00,-0.0,0.0,-0.0,28.4538581169,5.82888301484
2005-01-01 10:00:00,-0.0,0.0,-0.0,28.4897358995,5.82888301484
2005-01-01 11:00:00,-0.0,-0.0,-0.0,28.5399647952,5.82888301484
2005-01-01 12:00:00,-0.0,0.0,-0.0,17.1608800097,1.51242761353
2005-01-01 13:00:00,-0.0,0.0,-0.0,17.1752311227,1.51242761353
2005-01-01 14:00:00,-0.0,0.0,-0.0,17.1680555662,1.51242761353
2005-01-01 15:00:00,-0.0,0.0,-0.0,17.1537044531,1.51242761353
2005-01-01 16:00:00,-0.0,0.0,-0.0,17.1393533401,1.51242761353
2005-01-01 17:00:00,-0.0,0.0,-0.0,13.7245596192,0.433313763206
2005-01-01 18:00:00,-0.0,0.0,-0.0,13.6743307236,0.433313763206
2005-01-01 19:00:00,-0.0,0.0,-0.0,12.7477182308,0.0
2005-01-01 20:00:00,-0.0,0.0,-0.0,12.7046649007,0.0
2005-01-01 21:00:00,-0.0,0.0,-0.0,12.6903137968,0.0
2005-01-01 22:00:00,-0.0,0.0,-0.0,12.6759626746,0.0
2005-01-01 23:00:00,-0.0,0.0,-0.0,0.0,0.0
