,OFFICE_ahu_heat_air_flow,OFFICE_ahu_cool_air_flow,OFFICE_tu_heat_air_flow,OFFICE_tu_cool_air_flow,OFFICE_window_air_flow
2005-01-01 00:00:00,-0.0,0.0,-0.0,21.2584897147,5.47117906535e-13
2005-01-01 01:00:00,-0.0,0.0,-0.0,21.4038843828,0.0
2005-01-01 02:00:00,-0.0,0.0,-0.0,21.3675357158,0.0
2005-01-01 03:00:00,-0.0,0.0,-0.0,21.3554194935,0.0
2005-01-01 04:00:00,-0.0,0.0,-0.0,21.3433032711,0.0
2005-01-01 05:00:00,-0.0,0.0,-0.0,21.3311870488,0.0
2005-01-01 06:00:00,-0.0,0.0,-0.0,32.0999043612,2.55379623688
2005-01-01 07:00:00,-0.0,0.0,-0.0,32.1120205835,2.55379623688
2005-01-01 08:00:00,-0.0,0.0,-0.0,47.9485800584,9.8423087329
2005-01-01 09:00:00,-0.0,0.0,-0.0,48.0455098372,9.8423087329
2005-01-01 10:00:00,-0.0,0.0,-0.0,48.1060909489,9.8423087329
2005-01-01 11:00:00,-0.0,0.0,-0.0,48.1909045053,9.8423087329
2005-01-01 12:00:00,-0.0,0.0,-0.0,28.9768517834,2.55379623688
2005-01-01 13:00:00,-0.0,0.0,-0.0,29.0010842281,2.55379623688
2005-01-01 14:00:00,-0.0,0.0,-0.0,28.9889680058,2.55379623688
2005-01-01 15:00:00,-0.0,0.0,-0.0,28.9647355611,2.55379623688
2005-01-01 16:00:00,-0.0,0.0,-0.0,28.9405031164,2.55379623688
2005-01-01 17:00:00,-0.0,0.0,-0.0,23.1744834563,0.731668112881
2005-01-01 18:00:00,-0.0,0.0,-0.0,23.0896698998,0.731668112881
2005-01-01 19:00:00,-0.0,0.0,-0.0,21.525046591,0.0
2005-01-01 20:00:00,-0.0,0.0,-0.0,21.4523492722,0.0
2005-01-01 21:00:00,-0.0,0.0,-0.0,21.4281168429,0.0
2005-01-01 22:00:00,-0.0,0.0,-0.0,21.4038843828,0.0
2005-01-01 23:00:00,-0.0,0.0,-0.0,0.0,0.0
