,OFFICE_ahu_heat_air_flow,OFFICE_ahu_cool_air_flow,OFFICE_tu_heat_air_flow,OFFICE_tu_cool_air_flow,OFFICE_window_air_flow
2005-01-01 00:00:00,-0.0,0.0,-0.0,10.6529145212,1.84741111298e-13
2005-01-01 01:00:00,-0.0,0.0,-0.0,10.7257737409,0.0
2005-01-01 02:00:00,-0.0,0.0,-0.0,10.7075589359,0.0
2005-01-01 03:00:00,-0.0,0.0,-0.0,10.7014873343,0.0
2005-01-01 04:00:00,-0.0,0.0,-0.0,10.6954157327,0.0
2005-01-01 05:00:00,-0.0,0.0,-0.0,10.689344131,0.0
2005-01-01 06:00:00,-0.0,0.0,-0.0,16.0856929108,1.2797415706
2005-01-01 07:00:00,-0.0,0.0,-0.0,16.0917645125,1.2797415706
2005-01-01 08:00:00,-0.0,0.0,-0.0,24.027677019,4.93211300662
2005-01-01 09:00:00,-0.0,0.0,-0.0,24.0762498321,4.93211300662
2005-01-01 10:00:00,-0.0,0.0,-0.0,24.1066078402,4.93211300662
2005-01-01 11:00:00,-0.0,-0.0,-0.0,24.1491090517,4.93211300662
2005-01-01 12:00:00,-0.0,0.0,-0.0,14.5206893474,1.2797415706
2005-01-01 13:00:00,-0.0,0.0,-0.0,14.5328325507,1.2797415706
2005-01-01 14:00:00,-0.0,0.0,-0.0,14.5267609491,1.2797415706
2005-01-01 15:00:00,-0.0,0.0,-0.0,14.5146177458,1.2797415706
2005-01-01 16:00:00,-0.0,0.0,-0.0,14.5024745425,1.2797415706
2005-01-01 17:00:00,-0.0,0.0,-0.0,11.613044701,0.366648711598
2005-01-01 18:00:00,-0.0,0.0,-0.0,11.5705434895,0.366648711598
2005-01-01 19:00:00,-0.0,0.0,-0.0,10.7864897496,0.0
2005-01-01 20:00:00,-0.0,0.0,-0.0,10.7500601474,0.0
2005-01-01 21:00:00,-0.0,0.0,-0.0,10.7379169518,4.54747350886e-13
2005-01-01 22:00:00,-0.0,0.0,-0.0,10.7257737409,0.0
2005-01-01 23:00:00,-0.0,0.0,-0.0,0.0,0.0
