,OFFICE_ahu_heat_air_flow,OFFICE_ahu_cool_air_flow,OFFICE_tu_heat_air_flow,OFFICE_tu_cool_air_flow,OFFICE_window_air_flow
2005-01-01 00:00:00,-0.0,0.0,-0.0,19.7885430426,0.0
2005-01-01 01:00:00,-0.0,0.0,-0.0,19.9238842022,0.0
2005-01-01 02:00:00,-0.0,0.0,-0.0,19.8900489123,0.0
2005-01-01 03:00:00,-0.0,0.0,-0.0,19.8787704824,0.0
2005-01-01 04:00:00,-0.0,0.0,-0.0,19.8674920524,0.0
2005-01-01 05:00:00,-0.0,0.0,-0.0,19.8562136224,0.0
2005-01-01 06:00:00,-0.0,0.0,-0.0,29.8803135896,2.37721058429
2005-01-01 07:00:00,-0.0,0.0,-0.0,29.8915920196,2.37721058429
2005-01-01 08:00:00,-0.0,0.0,-0.0,44.6331114323,9.16174914652
2005-01-01 09:00:00,-0.0,0.0,-0.0,44.7233388721,9.16174914652
2005-01-01 10:00:00,-0.0,0.0,-0.0,44.7797310219,9.16174914652
2005-01-01 11:00:00,-0.0,0.0,-0.0,44.8586800316,9.16174914652
2005-01-01 12:00:00,-0.0,0.0,-0.0,26.9732086546,2.37721058429
2005-01-01 13:00:00,-0.0,0.0,-0.0,26.9957655145,2.37721058429
2005-01-01 14:00:00,-0.0,0.0,-0.0,26.9844870846,2.37721058429
2005-01-01 15:00:00,-0.0,0.0,-0.0,26.9619302246,2.37721058429
2005-01-01 16:00:00,-0.0,0.0,-0.0,26.9393733647,2.37721058429
2005-01-01 17:00:00,-0.0,0.0,-0.0,21.5720528372,0.681075943728
2005-01-01 18:00:00,-0.0,0.0,-0.0,21.4931038275,0.681075943728
2005-01-01 19:00:00,-0.0,0.0,-0.0,20.0366684876,0.0
2005-01-01 20:00:00,-0.0,0.0,-0.0,19.9689979221,0.0
2005-01-01 21:00:00,-0.0,0.0,-0.0,19.9464410764,0.0
2005-01-01 22:00:00,-0.0,0.0,-0.0,19.9238842022,0.0
2005-01-01 23:00:00,-0.0,0.0,-0.0,0.0,0.0
