,OFFICE_temperature,OFFICE_total_fresh_air_flow,OFFICE_ahu_fresh_air_flow,OFFICE_window_fresh_air_flow,OFFICE_ahu_heat_electric_power,OFFICE_ahu_cool_electric_power,OFFICE_tu_heat_electric_power,OFFICE_tu_cool_electric_power
2005-01-01 00:00:00,25.0,0.546444147406,0.0,1.84741111298e-13,0.0,0.0,0.0,33603.4052664
2005-01-01 01:00:00,25.0,0.546444147405,0.0,-4.54747350886e-13,0.0,0.0,0.0,33833.2313746
2005-01-01 02:00:00,25.0,0.546444147405,0.0,-9.09494701773e-13,0.0,0.0,0.0,33775.7748476
2005-01-01 03:00:00,25.0,0.546444147405,0.0,-4.54747350886e-13,0.0,0.0,0.0,33756.6226719
2005-01-01 04:00:00,25.0,0.546444147405,0.0,-4.54747350886e-13,0.0,0.0,0.0,33737.4704962
2005-01-01 05:00:00,25.0,0.546444147405,0.0,-4.54747350886e-13,0.0,0.0,0.0,33718.3183205
2005-01-01 06:00:00,25.0,1.82618571801,0.0,1.2797415706,0.0,0.0,0.0,50740.485789
2005-01-01 07:00:00,25.0,1.82618571801,0.0,1.2797415706,0.0,0.0,0.0,50759.6379646
2005-01-01 08:00:00,25.0,5.47855715402,0.0,4.93211300662,0.0,0.0,0.0,75792.5698992
2005-01-01 09:00:00,25.0,5.47855715402,0.0,4.93211300662,0.0,0.0,0.0,75945.7873047
2005-01-01 10:00:00,25.0,5.47855715402,0.0,4.93211300662,0.0,0.0,0.0,76041.5481831
2005-01-01 11:00:00,25.0,5.47855715402,0.0,4.93211300662,0.0,0.0,0.0,76175.6134129
2005-01-01 12:00:00,25.0,1.82618571801,0.0,1.2797415706,0.0,0.0,0.0,45803.8603349
2005-01-01 13:00:00,25.0,1.82618571801,0.0,1.2797415706,0.0,0.0,0.0,45842.1646863
2005-01-01 14:00:00,25.0,1.82618571801,0.0,1.2797415706,0.0,0.0,0.0,45823.0125106
2005-01-01 15:00:00,25.0,1.82618571801,0.0,1.2797415706,0.0,0.0,0.0,45784.7081592
2005-01-01 16:00:00,25.0,1.82618571801,0.0,1.2797415706,0.0,0.0,0.0,45746.4038079
2005-01-01 17:00:00,25.0,0.913092859004,0.0,0.366648711598,0.0,0.0,0.0,36632.0265396
2005-01-01 18:00:00,25.0,0.913092859004,0.0,0.366648711598,0.0,0.0,0.0,36497.9613098
2005-01-01 19:00:00,25.0,0.546444147405,0.0,-4.54747350886e-13,0.0,0.0,0.0,34024.7531072
2005-01-01 20:00:00,25.0000000001,0.546444147406,0.0,0.0,0.0,0.0,0.0,33909.8400773
2005-01-01 21:00:00,25.0000000001,0.546444147406,0.0,4.54747350886e-13,0.0,0.0,0.0,33871.5357502
2005-01-01 22:00:00,25.0,0.546444147406,0.0,0.0,0.0,0.0,0.0,33833.2313746
2005-01-01 23:00:00,25.0,0.546444147406,0.0,0.0,0.0,0.0,0.0,0.0
