,OFFICE_ahu_heat_air_flow,OFFICE_ahu_cool_air_flow,OFFICE_tu_heat_air_flow,OFFICE_tu_cool_air_flow,OFFICE_window_air_flow
2005-01-01 00:00:00,-0.0,0.0,-0.0,9.79185622664,8.881784197e-14
2005-01-01 01:00:00,-0.0,0.0,-0.0,9.85882635038,0.0
2005-01-01 02:00:00,-0.0,0.0,-0.0,9.84208381944,9.09494701773e-13
2005-01-01 03:00:00,-0.0,0.0,-0.0,9.8365029758,4.54747350886e-13
2005-01-01 04:00:00,-0.0,0.0,-0.0,9.83092213215,9.09494701773e-13
2005-01-01 05:00:00,-0.0,0.0,-0.0,9.82534128851,4.54747350886e-13
2005-01-01 06:00:00,-0.0,0.0,-0.0,14.7855116997,1.17630207599
2005-01-01 07:00:00,-0.0,0.0,-0.0,14.7910925433,1.17630207599
2005-01-01 08:00:00,-0.0,0.0,-0.0,22.0855577468,4.533458084
2005-01-01 09:00:00,-0.0,0.0,-0.0,22.1302044959,4.533458084
2005-01-01 10:00:00,-0.0,0.0,-0.0,22.1581087142,4.533458084
2005-01-01 11:00:00,-0.0,-0.0,-0.0,22.1971746197,4.533458084
2005-01-01 12:00:00,-0.0,0.0,-0.0,13.3470049082,1.17630207599
2005-01-01 13:00:00,-0.0,0.0,-0.0,13.3581665955,1.17630207599
2005-01-01 14:00:00,-0.0,0.0,-0.0,13.3525857519,1.17630207599
2005-01-01 15:00:00,-0.0,0.0,-0.0,13.3414240646,1.17630207599
2005-01-01 16:00:00,-0.0,0.0,-0.0,13.3302623773,1.17630207599
2005-01-01 17:00:00,-0.0,0.0,-0.0,10.6743805969,0.337013073981
2005-01-01 18:00:00,-0.0,0.0,-0.0,10.6353146914,0.337013073981
2005-01-01 19:00:00,-0.0,0.0,-0.0,9.91463477976,0.0
2005-01-01 20:00:00,-0.0,0.0,-0.0,9.88114972495,0.0
2005-01-01 21:00:00,-0.0,0.0,-0.0,9.86998804473,0.0
2005-01-01 22:00:00,-0.0,0.0,-0.0,9.85882635038,0.0
2005-01-01 23:00:00,-0.0,0.0,-0.0,0.0,0.0
