zone_constraint_profile,from_weekday,from_time,minimum_air_temperature,maximum_air_temperature,minimum_fresh_air_flow_per_area,minimum_fresh_air_flow_per_person,maximum_co2_concentration,minimum_fresh_air_flow_per_area_no_dcv,minimum_relative_humidity, maximum_relative_humidity
zone_constraint_default,0,00:00:00,5,35,0,0,3000,0,0,100
zone_constraint_default,0,06:30:00,15,25,0.0006,0.0025,1000,0.0014,0,70
zone_constraint_default,0,18:00:00,5,35,0,0,3000,0,0,100
zone_constraint_default,5,00:00:00,5,35,0,0,3000,0,0,100
