description,code,type,cap_min,cap_max,unit,min_eff_rating_seasonal,V_power_supply,T_evap_design,T_cond_design,medium_evap_side,medium_cond_side,currency,a,b,c,d,e,LT_yr,O&M_%,IR_%,assumption,reference
geothermal heat pump - closed loop,HP1,geothermal,0,40000,W,3.1,380,0,27,brine,air,USD-2015,0,197.11751662971176,0.49,0,0.0,20,1,5,,ASHRAE 90.1/2019 - AHRI 1230/2021
geothermal heat pump - closed loop,HP1,geothermal,40000,100000000,W,2.8,380,0,27,brine,air,USD-2015,0,197.11751662971176,0.49,0,0.0,20,1,5,,ASHRAE 90.1/2019 - AHRI 1230/2021
water-source heat pump,HP2,water-source,0,21000,W,4.3,380,20,27,water,air,USD-2015,0,9.859201773835919,1.0,0,-0.547150776053215,25,5,6,,ASHRAE 90.1/2019 - AHRI 1230/2021
water-source heat pump,HP2,water-source,21000,40000,W,4.3,380,20,27,water,air,USD-2015,0,9.859201773835919,1.0,0,-0.547150776053215,25,5,6,,ASHRAE 90.1/2019 - AHRI 1230/2021
water-source heat pump,HP2,water-source,40000,75000,W,4.0,380,20,27,water,air,USD-2015,0,9.859201773835919,1.0,0,-0.547150776053215,25,5,6,,ASHRAE 90.1/2019 - AHRI 1230/2021
water-source heat pump,HP2,water-source,75000,20000000,W,3.9,380,20,27,water,air,USD-2015,0,9.859201773835919,1.0,0,-0.547150776053215,25,5,6,,ASHRAE 90.1/2019 - AHRI 1230/2021
air-water heat pump,HP3,air-source,0,21000,W,2.2,230,7,35,air,water,USD-2015,0,7.7,1.0,0,0.0,25,5,6,cost,ASHRAE 90.1/2019 - AHRI 210.240/2023
air-water heat pump,HP3,air-source,21000,40000,W,3.3,230,7,35,air,water,USD-2015,0,7.7,1.0,0,0.0,25,5,6,cost,ASHRAE 90.1/2019 - AHRI 210.240/2023
air-water heat pump,HP3,air-source,40000,75000,W,3.3,230,7,35,air,water,USD-2015,0,7.7,1.0,0,0.0,25,5,6,cost,ASHRAE 90.1/2019 - AHRI 210.240/2023
air-water heat pump,HP3,air-source,75000,10000000,W,3.2,230,7,35,air,water,USD-2015,0,7.7,1.0,0,0.0,25,5,6,cost,ASHRAE 90.1/2019 - AHRI 210.240/2023
