Code,type,interval,Es,Hs,th_mass,type_hs,type_cs,type_dhw,type_ctrl,win_wall,type_shade,U_wall,U_roof,U_base,U_win
ADMIN5,construction,2005-2020,0.9,0.9,T3,T2,T3,T1,T2,0.4,T1,0.2,0.2,0.28,1.3
ADMIN6,construction,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.4,T1,0.11,0.09,0.15,0.9
ADMIN7,Renovation,1920,0.9,0.9,T3,T1,T3,T1,T1,0.27,T2,0.2,0.2,0.28,1.3
ADMIN8,Renovation,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.31,T1,0.2,0.2,0.28,1.3
ADMIN9,Renovation,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.4,T1,0.2,0.2,0.28,1.3
ADMIN10,Renovation,1980-2005,0.9,0.9,T3,T1,T3,T1,T1,0.4,T1,0.2,0.2,0.28,1.3
ADMIN11,Renovation,2005-2020,0.9,0.9,T3,T2,T3,T1,T2,0.4,T1,0.2,0.2,0.28,1.3
ADMIN12,Renovation,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.4,T1,0.15,0.15,0.2,0.9
COM1,construction,1920,0.9,0.9,T3,T1,T0,T1,T1,0.25,T2,1.5,1,1.2,2.9
COM2,construction,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.25,T1,0.5,0.4,2,2.7
COM3,construction,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.25,T1,0.5,0.4,1.79,3.1
COM4,construction,1980-2005,0.9,0.9,T3,T1,T3,T1,T1,0.25,T1,0.27,0.27,0.4,3.1
COM5,construction,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.25,T1,0.2,0.2,0.28,1.3
COM6,construction,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.25,T1,0.11,0.09,0.15,0.9
COM7,Renovation,1920,0.9,0.9,T3,T3,T3,T1,T1,0.25,T2,0.2,0.2,0.28,1.3
COM8,Renovation,1920-1970,0.9,0.9,T2,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
COM9,Renovation,1970-1980,0.9,0.9,T2,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
COM10,Renovation,1980-2005,0.9,0.9,T3,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
COM11,Renovation,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.25,T1,0.2,0.2,0.28,1.3
COM12,Renovation,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.25,T1,0.15,0.15,0.2,0.9
SUPER1,construction,1920,0.9,0.9,T3,T1,T0,T1,T1,0.25,T2,1.5,1,1.2,2.9
SUPER2,construction,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.25,T1,0.5,0.4,2,2.7
SUPER3,construction,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.25,T1,0.5,0.4,1.79,3.1
SUPER4,construction,1980-2005,0.9,0.9,T3,T1,T3,T1,T1,0.25,T1,0.27,0.27,0.4,3.1
SUPER5,construction,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.25,T1,0.2,0.2,0.28,1.3
SUPER6,construction,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.25,T1,0.11,0.09,0.15,0.9
SUPER7,Renovation,1920,0.9,0.9,T3,T3,T3,T1,T1,0.25,T2,0.2,0.2,0.28,1.3
SUPER8,Renovation,1920-1970,0.9,0.9,T2,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
SUPER9,Renovation,1970-1980,0.9,0.9,T2,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
SUPER10,Renovation,1980-2005,0.9,0.9,T3,T3,T3,T1,T1,0.25,T1,0.2,0.2,0.28,1.3
SUPER11,Renovation,2005-2020,0.9,0.9,T3,T3,T3,T1,T2,0.25,T1,0.2,0.2,0.28,1.3
SUPER12,Renovation,2020-2030,0.9,0.9,T3,T3,T3,T2,T3,0.25,T1,0.15,0.15,0.2,0.9
REST1,construction,1920,0.9,0.9,T3,T1,T0,T1,T1,0.25,T2,1.5,1,1.2,2.9
REST2,construction,1920-1970,0.9,0.9,T2,T1,T3,T1,T1,0.25,T1,0.5,0.4,2,2.7
REST3,construction,1970-1980,0.9,0.9,T2,T1,T3,T1,T1,0.25,T1,0.5,0.4,1.79,3.1
REST4,construction,1980-2005,0.9,0.9,T3,T1,T3,T1,T1,0.25,T1,0.27,0.27,0.4,3.1
