Code,Code2,Code3,Year type,Year interval,Wall_ext_ag,Wall_ext_bg,Floor_int,Wall_int_sup,Wall_int_nosup,Roof,Floor_g,Services,Win_ext,Excavation,,,,,,,,,,,
SWIM3,SWIM,Swimming Hall,construction,1970-1980,792,761,994,663,331,1191,1064,719,1957,2000,,,,,,,,,,,
SWIM4,SWIM,Swimming Hall,construction,1980-2005,753,815,1048,427,72,1133,1407,719,1107,2000,,,,,,,,,,,
SWIM5,SWIM,Swimming Hall,construction,2005-2020,1043,1267,1143,448,343,1527,1516,719,1273,2000,,,,,,,,,,,
SWIM6,SWIM,Swimming Hall,construction,2020-2030,1043,1267,1143,448,343,1527,1516,719,1273,2000,,,,,,,,,,,
SWIM7,SWIM,Swimming Hall,Renovation,1920,0,0,0,0,0,0,0,108,0,0,,,,,,,,,,,
SWIM8,SWIM,Swimming Hall,Renovation,1920-1970,114,114,91,53,53,107,91,108,926,0,,,,,,,,,,,
SWIM9,SWIM,Swimming Hall,Renovation,1970-1980,130,130,107,70,70,107,177,108,1957,0,,,,,,,,,,,
SWIM10,SWIM,Swimming Hall,Renovation,1980-2005,99,304,71,51,35,336,286,108,1107,0,,,,,,,,,,,
SWIM11,SWIM,Swimming Hall,Renovation,2005-2020,314,519,32,35,35,637,394,108,1273,0,,,,,,,,,,,
SWIM12,SWIM,Swimming Hall,Renovation,2020-2030,314,519,32,35,35,637,394,108,1273,0,,,,,,,,,,,
SR1,SR,Server room,construction,1920,601,601,681,410,342,517,440,719,688,2000,,,,,,,,,,,
SR2,SR,Server room,construction,1920-1970,361,361,984,299,200,534,984,719,926,2000,,,,,,,,,,,
SR3,SR,Server room,construction,1970-1980,407,392,994,377,240,1047,1029,719,926,2000,,,,,,,,,,,
SR4,SR,Server room,construction,1980-2005,753,815,1048,427,72,1133,1407,719,1107,2000,,,,,,,,,,,
SR5,SR,Server room,construction,2005-2020,1043,1267,1143,448,343,1527,1516,719,1273,2000,,,,,,,,,,,
SR6,SR,Server room,construction,2020-2030,1043,1267,1143,448,343,1527,1516,719,1273,2000,,,,,,,,,,,
SR7,SR,Server room,Renovation,1920,0,0,0,0,0,0,0,108,0,0,,,,,,,,,,,
SR8,SR,Server room,Renovation,1920-1970,114,114,91,53,53,107,91,108,926,0,,,,,,,,,,,
SR9,SR,Server room,Renovation,1970-1980,95,95,75,35,35,107,142,108,926,0,,,,,,,,,,,
SR10,SR,Server room,Renovation,1980-2005,99,304,71,51,35,336,286,108,1107,0,,,,,,,,,,,
SR11,SR,Server room,Renovation,2005-2020,389,594,95,35,35,559,532,108,1273,0,,,,,,,,,,,
SR12,SR,Server room,Renovation,2020-2030,389,594,95,35,35,559,532,108,1273,0,,,,,,,,,,,
ICE1,ICE,Icering,construction,1920,601,601,681,410,342,517,440,719,688,2000,,,,,,,,,,,
ICE2,ICE,Icering,construction,1920-1970,361,361,984,299,200,534,984,719,926,2000,,,,,,,,,,,
ICE3,ICE,Icering,construction,1970-1980,792,761,994,663,331,1191,1064,719,1957,2000,,,,,,,,,,,
ICE4,ICE,Icering,construction,1980-2005,753,815,1048,427,72,1133,1407,719,1107,2000,,,,,,,,,,,
ICE5,ICE,Icering,construction,2005-2020,1043,1267,1143,448,343,1527,1516,719,1273,2000,,,,,,,,,,,
ICE6,ICE,Icering,construction,2020-2030,1043,1267,1143,448,343,1527,1516,719,1273,2000,,,,,,,,,,,
ICE7,ICE,Icering,Renovation,1920,0,0,0,0,0,0,0,108,0,0,,,,,,,,,,,
ICE8,ICE,Icering,Renovation,1920-1970,114,114,91,53,53,107,91,108,926,0,,,,,,,,,,,
ICE9,ICE,Icering,Renovation,1970-1980,130,130,107,70,70,107,177,108,1957,0,,,,,,,,,,,
ICE10,ICE,Icering,Renovation,1980-2005,99,304,71,51,35,336,286,108,1107,0,,,,,,,,,,,
ICE11,ICE,Icering,Renovation,2005-2020,314,519,32,35,0,637,394,108,1273,0,,,,,,,,,,,
ICE12,ICE,Icering,Renovation,2020-2030,314,519,32,35,0,637,394,108,1273,0,,,,,,,,,,,
DEPO1,DEPO,Deposit/parking,construction,1920,820,820,850,547,0,986,592,236,688,2000,,,,,,,,,,,
DEPO2,DEPO,Deposit/parking,construction,1920-1970,480,480,1073,463,0,1020,1073,236,926,2000,,,,,,,,,,,
DEPO3,DEPO,Deposit/parking,construction,1970-1980,692,692,956,663,0,1116,991,236,1957,2000,,,,,,,,,,,
DEPO4,DEPO,Deposit/parking,construction,1980-2005,739,739,1143,448,0,1137,1516,236,1129,2000,,,,,,,,,,,
