description,code,primary_components,secondary_components,tertiary_components,scale,reference
,SUPPLY_HOTWATER_AS0,-,-,-,NONE,educated guess
Electrical boiler,SUPPLY_HOTWATER_AS1,BO5,-,-,BUILDING,educated guess
