description,code,feedstock,scale,efficiency,reference
,SUPPLY_ELECTRICITY_AS0,NONE,NONE,0.0,educated guess
Singaporean consumer mix,SUPPLY_ELECTRICITY_AS1,GRID,CITY,0.99,CAPEX_USD2015: Industry Source for E/I&C investment costs
