ID,UUID,name,name_KBOB,ID_recycling,recycling_method,density,unit,thermal_conductivity,thermal_conductivity_source,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product
1.002,E13EE05E-FD34-4FB5-A178-0FC4164A96F2,building_concrete_without_reinforcement,Hochbaubeton (ohne Bewehrung),91.061,"Entsorgung, Beton",2300,kg,1.825,"SIA 279 -- Register Baustoffkennwerte, interpolated from Beton, Rohdichte 2200 kg/m3 and Beton, Rohdichte 2400 kg/m3",153,118,35.2,0.19,0.136,0.136,0,0.0532,0.0149,0.013,0.013,0,0.00191,0.175,0.123,0.123,0,0.0513,0.101,0.0887,0.0126,0
2.002,17BF48A3-72AD-4EBB-A2DE-3256129F7031,calcium_silicate_brick,Kalksandstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1400,kg,0.8,SIA 279:2018,258,216,42.5,0.428,0.374,0.374,0,0.0548,0.039,0.0368,0.0368,0,0.00221,0.389,0.337,0.337,0,0.0526,0.162,0.149,0.0127,0
02.002.01,564C9F25-EE8A-4799-A049-6D26DF586F05,calcium_silicate_brick_fbb,"Kalksandstein, FBB",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1200-2000,kg,0.8,assumed from SIA 279:2018,196,153,42.5,0.35,0.295,0.295,0,0.0548,0.0347,0.0325,0.0325,0,0.00221,0.315,0.263,0.263,0,0.0526,0.115,0.102,0.0127,0
02.002.02,adbada8c-108b-4869-a098-bc2cda5c5929,calcium_silicate_brick_hunziker_calcium_silicate_brick_ag,"Kalksandstein, Hunziker Kalksandstein AG",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1200-2000,kg,0.8,assumed from SIA 279:2019,190,148,42.5,0.304,0.249,0.249,0,0.0548,0.0167,0.0145,0.0145,0,0.00221,0.287,0.235,0.235,0,0.0526,0.106,0.0938,0.0127,0
13.005,BF5ADE50-BDAD-419B-B7E5-9A3F7F6938A3,cast_iron,Gusseisen,91.143,"Entsorgung, Stahl",7850,kg,50000,SIA 279 -- Register Baustoffkennwerte,5670,5660,11.1,5.76,5.73,5.73,0,0.0278,0.279,0.279,0.279,0,0.000582,5.48,5.45,5.45,0,0.0272,2.09,2.09,0.00693,0
10.01,858771D5-96F5-42C9-AEE3-51D3BE1879F7,cellulose_fibres,Zellulosefasern,91.046,"Entsorgung, Papier",35-60,kg,0.042,SIA 279:2018,556,395,161,1.31,1.13,1.13,0,0.178,0.259,0.245,0.245,0,0.0137,1.05,0.882,0.882,0,0.165,0.28,0.209,0.0709,0.404
10.010.01,1F31C383-B2A1-490D-AB0F-B3EA2A24D804,cellulose_fibres_isofloc,"Zellulosefasern, Isofloc",91.046,"Entsorgung, Papier",35-60,kg,0.038,SIA 279 -- Register Baustoffkennwerte isofloc LM,470,309,161,1.09,0.909,0.909,0,0.178,0.24,0.226,0.226,0,0.0137,0.848,0.683,0.683,0,0.165,0.233,0.163,0.0709,0.404
2.007,69524911-E277-4B29-827D-B8475E4D8C23,cement_block,Zementstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1700,kg,1,SIA 279:2018,214,172,42.5,0.252,0.197,0.197,0,0.0548,0.0263,0.0241,0.0241,0,0.00221,0.225,0.173,0.173,0,0.0526,0.126,0.114,0.0127,0
4.009,382D5231-E4CF-42D6-B935-D41BA653E3EE,cement_plaster,Zementputz,91.139,"Entsorgung, Moertel, Putze",1550,kg,0.7,SIA 279:2018,391,348,42.5,0.782,0.728,0.728,0,0.0545,0.128,0.126,0.126,0,0.00208,0.654,0.602,0.602,0,0.0524,0.261,0.248,0.0127,0
4.006,B0F22D3F-709D-408F-9ACA-1533FA4C7F45,cement_screed_85_mm,"Unterlagsboden Zement, 85 mm",91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",1850,kg,0.7,"SIA 279:2018, assumed from Zementputz",206,163,42.5,0.268,0.213,0.213,0,0.0548,0.0366,0.0344,0.0344,0,0.00221,0.231,0.179,0.179,0,0.0526,0.12,0.107,0.0127,0
3.01,8B49329A-8573-47FC-8D1A-9F2E4640C4E6,ceramic_stoneware_tile,Keramik-/Steinzeugplatte,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2600,kg,2.3,"SIA 279 -- Register Baustoffkennwerte, assumed from Kalkstein, extrahart",4100,4060,42.5,3.93,3.88,3.88,0,0.0548,0.212,0.21,0.21,0,0.00221,3.72,3.67,3.67,0,0.0526,0.793,0.78,0.0127,0
7.015,F54AEECA-7B3B-4ACE-B4CB-88527B1C903C,chipboard_pf_bonded_wet_area,"Spanplatte, PF-gebunden, Feuchtbereich",91.145,"Entsorgung, Spanplatte, 10% Bindemittel",640,kg,0.17,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 700 kg/m3",886,780,106,6.93,6.82,2.39,4.43,0.104,4.37,4.36,0.781,3.58,0.00624,2.56,2.46,1.61,0.856,0.0977,0.529,0.45,0.0798,0.417
7.016,FB830352-0350-46F9-BF46-73733C576386,chipboard_uf_bonded_coated_dry_area,"Spanplatte, UF-gebunden, beschichtet, Trockenbereich",91.057,"Entsorgung, Spanplatte, 10% Bindemittel, 3.5% MF-gebunden",640,kg,0.17,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 700 kg/m3",1210,1090,122,8.39,8.29,3.69,4.59,0.105,4.69,4.69,1.23,3.46,0.00627,3.7,3.6,2.47,1.13,0.0985,0.735,0.641,0.0945,0.417
7.014,E88CFF0D-059B-4E8A-93BC-A4E3A917A2F6,chipboard_uf_bonded_dry_area,"Spanplatte, UF-gebunden, Trockenbereich",91.145,"Entsorgung, Spanplatte, 10% Bindemittel",640,kg,0.17,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 700 kg/m3",886,780,106,6.93,6.82,2.39,4.43,0.104,4.37,4.36,0.781,3.58,0.00624,2.56,2.46,1.61,0.856,0.0977,0.529,0.45,0.0798,0.417
2.001,958BA083-03C8-4336-BFC5-0DB5B6BC1B43,clay_brick,Backstein,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",900,kg,0.285,"SIA 279:2018, interpolated",371,328,42.5,0.867,0.813,0.813,0,0.0548,0.0806,0.0783,0.0783,0,0.00221,0.787,0.734,0.734,0,0.0526,0.266,0.254,0.0127,0
3.015,84E2D4F6-D61F-4EDF-9D13-7DA1543A7887,clay_roof_tile,Tonziegel,91.138,"Entsorgung, Ziegel",1700,kg,1,"SIA 279 -- Register Baustoffkennwerte, assumed from Dachziegel Ton",514,479,35.6,1.15,1.1,1.1,0,0.0539,0.0357,0.0338,0.0338,0,0.00193,1.11,1.06,1.06,0,0.052,0.385,0.373,0.0127,0
100.01,,concrete_1_percent_steel_reinforcement,concrete (1% steel reinforcement),91.061,"Entsorgung, Beton",2355.5,kg,2.3,"averaged between raw concrete (99%) and steel reinforcement (1%), U value from SIA 279 -- Register Baustoffkennwerte",167.37,132.52,35.043,0.2261,0.17214,0.17214,0,0.053194,0.018371,0.01647,0.01647,0,0.0019111,0.20765,0.15567,0.15567,0,0.051292,0.10784,0.095543,0.012596,0
100.02,,concrete_2_percent_steel_reinforcement,concrete (2% steel reinforcement),91.061,"Entsorgung, Beton",2411,kg,2.5,"averaged between raw concrete (98%) and steel reinforcement (2%), U value from SIA 279 -- Register Baustoffkennwerte",181.74,147.04,34.886,0.2622,0.20828,0.20828,0,0.053188,0.021842,0.01994,0.01994,0,0.0019122,0.2403,0.18834,0.18834,0,0.051284,0.11468,0.102386,0.012592,0
3.001,D00BA00E-D63B-4109-ADC0-4D9A3367734D,concrete_brick,Betonziegel,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2300,kg,1.5,"SIA 279 -- Register Baustoffkennwerte, assumed from Dachziegel Beton",326,284,42.5,0.506,0.452,0.452,0,0.0548,0.038,0.0358,0.0358,0,0.00221,0.468,0.416,0.416,0,0.0526,0.209,0.196,0.0127,0
6.008,92E11D9B-9BC5-4032-BB06-2082CE3D8AFD,copper_sheet_plain,"Kupferblech, blank",91.141,"Entsorgung, Nichteisenmetalle",8900,kg,380000,SIA 279 -- Register Baustoffkennwerte,24500,24500,19.8,10.5,10.5,10.5,0,0.0322,1.64,1.64,1.64,0,0.000788,8.9,8.87,8.87,0,0.0314,2.2,2.2,0.00792,0
10.002,42A8911C-62FF-4A4B-ACD8-31E4148787E8,cork_board,Korkplatte,91.15,"Entsorgung, Korkplatte",120,kg,0.054,SIA 279:2018,2170,1990,172,14.2,14,8.87,5.15,0.161,7.95,7.94,3.79,4.15,0.0125,6.24,6.09,5.09,1,0.148,1.11,1.07,0.0387,0.496
7.02,83c72ece-6641-4675-97f0-a6236caf7e7f,cross_laminated_timber,Brettsperrholz,91.047,"Entsorgung, Brettschichtholz verleimt",436,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 500 kg/m3",849,776,73.8,9.94,9.84,4.63,5.21,0.0971,8.12,8.11,2.99,5.12,0.00615,1.82,1.72,1.64,0.0892,0.091,0.365,0.316,0.0492,0.449
07.020.01,25754a33-5165-4d33-b2d2-e8422557b849,cross_laminated_timber_made_in_switzerland,"Brettsperrholz, Produktion Schweiz",91.145,"Entsorgung, Spanplatte, 10% Bindemittel",424,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 500 kg/m3",711,638,73.8,7.27,7.17,2,5.17,0.0971,5.67,5.66,0.549,5.11,0.00615,1.6,1.51,1.45,0.054,0.091,0.25,0.201,0.0492,0.448
3.011,1300707C-F4F2-4FDC-AF3B-E31F5840F18E,crushed_gravel_1,Kies gebrochen 1,91.062,"Entsorgung, Kies und Sand",1'400 - 1'500,kg,0.29,"SIA 279 -- Register Baustoffkennwerte, assumed from Erdreich, Sand und Kies",64.8,24.6,40.2,0.0924,0.0376,0.0376,0,0.0548,0.00776,0.0055,0.0055,0,0.00226,0.0847,0.0321,0.0321,0,0.0526,0.0176,0.00501,0.0126,0
02.007.01,288A84C2-129A-431D-B135-7F7A3F9D0CBD,earth_block_compressed_earth_terrabloc,"Erdstein, aus gepresster Erde, Terrabloc",91.177.01,"Entsorgung, Erdstein, aus gepresster Erde, Terrabloc",1850,kg,0.79,Terrabloc website,136,84,51.6,0.152,0.139,0.132,0.00701,0.013,0.01,0.01,0.00573,0.00427,0,0.142,0.129,0.126,0.00274,0.013,0.057,0.054,0.003,0
10.004,9F6CB547-DC00-4900-8FB4-A37135F510B4,expanded_polystyrene_eps,Polystyrol expandiert (EPS),91.151,"Entsorgung, Daemmstoff, organisch, Polystyrol",15-40,kg,0.042,SIA 279:2018,9800,6520,3280,30.5,30.3,21.1,9.22,0.213,0.524,0.512,0.512,0,0.0117,30,29.8,20.6,9.22,0.202,7.6,4.51,3.09,0
