ID,UUID,name,name_KBOB,ID_recycling,recycling_method,density,unit,thermal_conductivity,thermal_conductivity_source,UBP_total,UBP_production,UBP_recycling,overall_energy_total,overall_energy_production,overall_energy_production_in_process,overall_energy_prodution_in_material,overall_recycling,renewable_energy_total,renewable_energy_production,renewable_energy_production_in_process,renewable_energy_prodution_in_material,renewable_recycling,unrenewable_energy_total,unrenewable_energy_production,unrenewable_energy_production_in_process,unrenewable_energy_prodution_in_material,unrenewable_recycling,GHG_emission_total,GHG_emission_production,GHG_emission_recycling,biogenic_carbon_in_product
4.001,76D9CFC6-6174-4644-829E-1020C95D5322,gypsum_white_plaster,Gips-/Weissputz,91.139,"Entsorgung, Moertel, Putze",1100,kg,0.4,"SIA 279 -- Register Baustoffkennwerte, assumed from Gipsputz 1000 kg/m3",241,199,42.5,0.744,0.689,0.689,0,0.0545,0.0633,0.0612,0.0612,0,0.00208,0.68,0.628,0.628,0,0.0524,0.151,0.138,0.0127,0
3.009,B787C33A-9D88-414E-84DE-3E087E3639ED,hard_sandstone_slab,Hartsandsteinplatte,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2500,kg,2.3,"SIA 279 -- Register Baustoffkennwerte, assumed from Sandstein (Quarzit)",112,69.3,42.5,0.321,0.266,0.266,0,0.0548,0.046,0.0438,0.0438,0,0.00221,0.275,0.223,0.223,0,0.0526,0.0406,0.028,0.0127,0
7.004,99B2F7E4-22F3-4C8E-9C76-D3CBADA830E2,hardboard,Hartfaserplatte,91.049,"Entsorgung, Holzfaserplatte hart",955,kg,0.18,"SIA 279 -- Register Baustoffkennwerte, assumed from Holzfaserplatte, einschliesslich MDF 800 kg/m3",1770,1700,68.4,11.2,11.1,5.63,5.44,0.096,7.05,7.04,1.86,5.18,0.00614,4.12,4.04,3.77,0.26,0.0899,1.07,1.03,0.0441,0.455
8.002,CA0CC8C0-0CF0-4DE4-A9E8-C3B416365119,hot_bitumen,Heissbitumen,91.146,"Entsorgung, Kleb-, Dichtstoffe, Anstriche",1000,kg,0.17,"SIA 279 -- Register Baustoffkennwerte, assumed from Bitumen als Stoff",2040,1800,236,15,15,3.48,11.5,0.0581,0.0665,0.0643,0.0643,0,0.00225,15,14.9,3.41,11.5,0.0558,1.09,0.906,0.187,0
07.019.01,9b25432d-40ef-4f3b-8c5b-7104ad4b6d52,laminated_strand_lumber_beech_fagus,"Stabschichtholz, Buche, fagus",91.175.01,"Entsorgung, Stabschichtholz, Buche, fagus",700,kg,0.17,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 700 kg/m3",1010,926,84.4,11.3,11.2,6.02,5.18,0.114,9.46,9.46,4.36,5.1,0.00691,1.86,1.75,1.67,0.0833,0.108,0.367,0.306,0.0615,0.477
6.014,1483FF58-F07C-4ED4-A422-3E72A667D1A7,lead,Blei,91.141,"Entsorgung, Nichteisenmetalle",11340,kg,35000,SIA 279 -- Register Baustoffkennwerte,3810,3790,19.8,4.08,4.05,4.05,0,0.0322,0.248,0.247,0.247,0,0.000788,3.84,3.81,3.81,0,0.0314,1.02,1.01,0.00792,0
1.001,A05F4D90-D030-49B6-A08A-BAD5228E3552,lean_concrete_without_reinforcement,Magerbeton (ohne Bewehrung),91.061,"Entsorgung, Beton",2150,kg,1.6,"SIA 279 -- Register Baustoffkennwerte, interpolated from Beton, Rohdichte 2000 kg/m3 and Beton, Rohdichte 2200 kg/m3",104,68.8,35.4,0.139,0.0851,0.0851,0,0.0535,0.0103,0.00838,0.00838,0,0.00192,0.128,0.0767,0.0767,0,0.0516,0.0628,0.0502,0.0126,0
4.015,A8D1862B-6EEC-48B6-83BC-8EFACE342122,lightweight_mineral_plaster,Leichtputz mineralisch,91.139,"Entsorgung, Moertel, Putze",1000,kg,0.32,"SIA 279 -- Register Baustoffkennwerte, assumed from Leichtmoertel 900 kg/m3",574,532,42.5,1.4,1.34,1.34,0,0.0545,0.164,0.162,0.162,0,0.00208,1.23,1.18,1.18,0,0.0524,0.373,0.36,0.0127,0
4.013,9BD4C9E4-4499-4215-9215-2EF12370ACE6,lime_cement_plaster,Kalk-Zement/Zement-Kalk-Putz,91.139,"Entsorgung, Moertel, Putze",1550,kg,1,"SIA 279 -- Register Baustoffkennwerte, assumed from Moertel, Zement, Sand",396,353,42.5,0.851,0.796,0.796,0,0.0545,0.136,0.134,0.134,0,0.00208,0.715,0.662,0.662,0,0.0524,0.263,0.251,0.0127,0
3.017,8FE3FD69-2400-4DC4-933B-E91CDE601165,limestone_slab,Kalksteinplatte,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2500,kg,1.3,"SIA 279 -- Register Baustoffkennwerte, assumed from Platte Keramik/Porzellan",141,98.3,42.5,0.365,0.31,0.31,0,0.0548,0.0261,0.0239,0.0239,0,0.00221,0.338,0.286,0.286,0,0.0526,0.0736,0.061,0.0127,0
7.012,962B816C-DBD4-445F-8392-E4F8532069C8,medium_density_fibreboard_mdf_uf_bonded,"Mitteldichte Faserplatte (MDF), UF-gebunden",91.05,"Entsorgung, Faserplatte mittlerer Dichte (MDF)",685,kg,0.16,"SIA 279 -- Register Baustoffkennwerte, interpolated from Holzfaserplatte, einschliesslich MDF 600 kg/m3 and Holzfaserplatte, einschliesslich MDF 800 kg/m3",1550,1420,128,10.3,10.2,4.43,5.79,0.108,5.85,5.85,1.24,4.61,0.0063,4.47,4.37,3.2,1.17,0.102,0.954,0.854,0.1,0.396
4.008,FA96A840-32DF-4C9A-935F-19037F653A62,mineral_tile_adhesive_bedding_mortar,Baukleber/Einbettmoertel mineralisch,91.139,"Entsorgung, Moertel, Putze",1400,kg,0.8,"SIA 279 -- Register Baustoffkennwerte, assumed from Moertel, Kalk, Sand",633,590,42.5,1.7,1.65,1.65,0,0.0545,0.175,0.173,0.173,0,0.00208,1.53,1.47,1.47,0,0.0524,0.406,0.393,0.0127,0
3.022,805e0a9f-a660-4446-b7df-f9c3b43824c2,mixed_aggregate_1,Mischgranulat 1,91.062,"Entsorgung, Kies und Sand",1600,kg,2,"SIA 279 -- Register Baustoffkennwerte, assumed from Erdreich, Sand und Kies",41,1,40.2,0.0554,0.000522,0.000522,0,0.0548,0.00233,0.0000665,0.0000665,0,0.00226,0.053,0.000456,0.000456,0,0.0526,0.0133,0.00071,0.0126,0
7.013,BD66B05D-27E3-4ADF-85A2-E0ABBBA686A5,osb_board_pf_bonded_wet_area,"OSB Platte, PF-gebunden, Feuchtbereich",91.145,"Entsorgung, Spanplatte, 10% Bindemittel",605,kg,0.13,SIA 279 -- Register Baustoffkennwerte,1030,922,106,11,10.9,5.23,5.63,0.104,8.26,8.25,3.16,5.09,0.00624,2.71,2.61,2.08,0.535,0.0977,0.563,0.483,0.0798,0.444
10.003,4F352DCA-9E8B-49E4-98B6-F10BA797180E,phenolic_resin_pf,Phenolharz (PF),91.151,"Entsorgung, Daemmstoff, organisch, Polystyrol",40,kg,0.024,SIA 279:2018,10000,6730,3280,34.2,33.9,26.9,7,0.213,0.618,0.606,0.606,0,0.0117,33.5,33.3,26.3,7,0.202,7.26,4.17,3.09,0
15.001,78087965-417E-4763-B8B5-4A7910943363,plexiglass_pmma_acrylic_glass,"Plexiglas (PMMA, Acrylglas)",91.158,"Entsorgung, Kunststoffe aus reinen Kohlenwasserstoffen",1180,kg,0.18,SIA 279 -- Register Baustoffkennwerte,14800,11700,3090,40.5,40.3,32.7,7.6,0.224,0.385,0.371,0.371,0,0.0137,40.2,40,32.4,7.6,0.21,11.6,8.68,2.92,0
7.018,32B17B00-83C9-412F-899B-03B8DB3781BF,plywood_multiplex_pf_bonded_wet_area,"Sperrholz/Multiplex, PF-gebunden, Feuchtbereich",91.145,"Entsorgung, Spanplatte, 10% Bindemittel",500,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 500 kg/m3",2870,2770,106,17,16.9,12,4.89,0.104,10.1,10.1,5.91,4.15,0.00624,6.94,6.84,6.1,0.741,0.0977,1.43,1.35,0.0798,0.41
7.017,55C3FB36-27C5-40BB-B51C-715C9F2984FE,plywood_multiplex_uf_bonded_dry_area,"Sperrholz/Multiplex, UF-gebunden, Trockenbereich",91.145,"Entsorgung, Spanplatte, 10% Bindemittel",500,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Sperrholz 500 kg/m3",2140,2030,106,14.7,14.6,9.71,4.89,0.104,10,10,5.85,4.15,0.00624,4.7,4.6,3.86,0.741,0.0977,0.948,0.868,0.0798,0.41
15.002,A5671823-5D7E-A4B1-2A9F-C32E6CA3BCB9,polyamide_pa_glass_fibre_reinforced,Polyamid (PA) glasfaserverstaerkt,91.159,"Entsorgung, Kunststoffe, stickstoffhaltig",1360,kg,0.25,"SIA 279 -- Register Baustoffkennwerte, assumed from Polypropylen mit 25% Glasfasern ",15200,12300,2910,41.3,40.6,36.6,3.96,0.707,0.999,0.979,0.979,0,0.0198,40.3,39.6,35.6,3.96,0.687,11.5,8.89,2.62,0
15.003,464C8985-D30C-40EC-8B26-7E107BCF7F1A,polycarbonate_pc,Polycarbonat (PC),91.158,"Entsorgung, Kunststoffe aus reinen Kohlenwasserstoffen",1200,kg,0.2,SIA 279 -- Register Baustoffkennwerte,15900,12800,3090,32.2,32,26,6,0.224,0.426,0.412,0.412,0,0.0137,31.8,31.6,25.6,6,0.21,11.4,8.49,2.92,0
15.004,993A7227-F17D-4BFA-8B37-C62C13DC42F5,polyester_up_glass_fibre_reinforced,Polyester (UP) glasfaserverstaerkt,91.158,"Entsorgung, Kunststoffe aus reinen Kohlenwasserstoffen",1500,kg,0.19,"SIA 279 -- Register Baustoffkennwerte, assumed from Polyesterharz",13800,10700,3090,32.9,32.6,28.9,3.76,0.224,1.51,1.5,1.5,0,0.0137,31.3,31.1,27.4,3.76,0.21,9.84,6.92,2.92,0
9.008,FD71B629-B98E-47C8-ADA4-513631C0896B,polyethylene_fleece_pe,Polyethylenvlies (PE),91.037,"Entsorgung, Dichtungsbahnen und Schutzfolien, Dampfbremse PE",920,kg,0.33,"SIA 279 -- Register Baustoffkennwerte, assumed from Polyethylen; niedrige Rohdichte",7090,4280,2810,26.5,26.3,14.5,11.8,0.22,0.548,0.537,0.537,0,0.0111,26,25.7,13.9,11.8,0.209,5.63,2.96,2.67,0
9.007,D4BF6599-6623-4AE5-9D50-8EDDB6B05F41,polyethylene_foil_pe,Polyethylenfolie (PE),91.037,"Entsorgung, Dichtungsbahnen und Schutzfolien, Dampfbremse PE",920,kg,0.33,"SIA 279 -- Register Baustoffkennwerte, assumed from Polyethylen; niedrige Rohdichte",6930,4120,2810,25.7,25.5,13.6,11.8,0.22,0.864,0.853,0.853,0,0.0111,24.8,24.6,12.8,11.8,0.209,5.42,2.75,2.67,0
13.002,0DB3712B-3B7E-44BB-B56C-A49DDED3D465,polyethylene_pe,Polyethylen (PE),91.174,"Entsorgung, Kunststoffrohre, PE oder PP",960,kg,0.5,"SIA 279 -- Register Baustoffkennwerte, assumed from Polyethylen hohe Rohdichte ",6020,3570,2450,23.8,23.5,11.7,11.9,0.223,0.544,0.53,0.53,0,0.0143,23.2,23,11.1,11.9,0.209,4.75,2.38,2.37,0
13.003,92B2EFB8-9F95-47EC-963D-114CBE430246,polypropylene_pp,Polypropylen (PP),91.174,"Entsorgung, Kunststoffrohre, PE oder PP",910,kg,0.22,SIA 279 -- Register Baustoffkennwerte,6050,3600,2450,23.2,22.9,11,11.9,0.223,0.428,0.413,0.413,0,0.0143,22.7,22.5,10.6,11.9,0.209,4.78,2.4,2.37,0
15.005,CBDADEEB-3B93-32E4-6504-08EF289B6D9B,polystyrene_ps,Polystyrol (PS),91.16,"Entsorgung, Polystyrol",1050,kg,0.16,SIA 279 -- Register Baustoffkennwerte,8170,4880,3280,24.7,24.5,13.7,10.8,0.222,0.111,0.0971,0.0971,0,0.0135,24.6,24.4,13.6,10.8,0.208,6.72,3.64,3.08,0
10.006,D23B8D09-6CCC-42B7-B54D-B67BEEEC54DD,polyurethane_pur_pir,Polyurethan (PUR/PIR),91.039,"Entsorgung, Waeremdaemmstoffe Polyurethan",30,kg,0.028,SIA 279:2018,10400,7490,2920,31,30.3,21.7,8.58,0.699,0.83,0.813,0.813,0,0.0176,30.1,29.5,20.9,8.58,0.682,7.44,4.79,2.65,0
10.006.01,575A32F0-D99A-4ADE-A360-8E770639A5E3,polyurethane_swissporpir,"Polyurethan, SwissporPIR",91.039,"Entsorgung, Waeremdaemmstoffe Polyurethan",30,kg,0.026,"SIA 279 -- Register Baustoffkennwerte, SwissporPIR, interpolated",9830,6910,2920,29,28.3,20.3,7.98,0.699,1.03,1.02,0.973,0.044,0.0176,28,27.3,19.3,7.94,0.682,7.08,4.43,2.65,0
13.004,5A6449C2-62A0-4A42-BF6D-F1E33F5F9480,polyvinyl_chloride_pvc,Polyvinylchlorid (PVC),91.156,"Entsorgung, Kunststoff-Rohre, PVC",1390,kg,0.17,SIA 279 -- Register Baustoffkennwerte,6240,3880,2370,20.2,19,12.9,6.02,1.2,0.646,0.543,0.543,0,0.103,19.5,18.4,12.4,6.02,1.1,4.49,2.38,2.1,0
3.02,D3586070-8058-4A67-BC89-68508822DA21,rammed_earth,Stampflehm,91.136,"Entsorgung, Baumaterialien, mineralisch, unspezifisch",2000,kg,1.4,Diplomarbeit Tobias Mueller von TU Wien,80.1,32,48.2,0.0846,0.0794,0.0794,0,0.00523,0.00514,0.00487,0.00487,0,0.00027,0.0795,0.0745,0.0745,0,0.00496,0.0194,0.0183,0.00115,0
6.003,1F33844F-91D2-4363-B328-904E15110A1C,reinforcing_steel,Armierungsstahl,91.142,"Entsorgung, Armierungsstahl",7850,kg,50000,"SIA 279 -- Register Baustoffkennwerte, assumed from Stahl",1590,1570,19.5,3.8,3.75,3.75,0,0.0526,0.362,0.36,0.36,0,0.00202,3.44,3.39,3.39,0,0.0505,0.785,0.773,0.0122,0
06.003.01,9d912763-4033-4f7a-8a17-8c9c19bd8190,reinforcing_steel_stahl_gerlafingen,"Armierungsstahl, Stahl Gerlafingen",91.142,"Entsorgung, Armierungsstahl",7850,kg,50000,"SIA 279 -- Register Baustoffkennwerte, assumed from Stahl",1110,1090,19.5,3.05,3,3,0,0.0525,0.393,0.391,0.391,0,0.00202,2.66,2.61,2.61,0,0.0505,0.482,0.47,0.0122,0
3.012,1A0D933D-B136-4441-B98F-6E6FFD1DFDD8,rounded_gravel_1,Rundkies 1,91.062,"Entsorgung, Kies und Sand",1'600 - 1'700,kg,2,"SIA 279 -- Register Baustoffkennwerte, assumed from Erdreich, Sand und Kies",59.4,19.2,40.2,0.0722,0.0174,0.0174,0,0.0548,0.00405,0.00179,0.00179,0,0.00226,0.0682,0.0156,0.0156,0,0.0526,0.0157,0.00305,0.0126,0
3.013,B6F7B71D-25CE-45F6-BA5A-1A786AC69E0B,sand_1,Sand 1,91.062,"Entsorgung, Kies und Sand",1500,kg,2,"SIA 279 -- Register Baustoffkennwerte, assumed from Erdreich, Sand und Kies",59.4,19.2,40.2,0.0722,0.0174,0.0174,0,0.0548,0.00405,0.00179,0.00179,0,0.00226,0.0682,0.0156,0.0156,0,0.0526,0.0157,0.00305,0.0126,0
10.009,B9689582-8BDE-4FE1-849D-BBBED840E410,soft_fibreboard,Weichfaserplatte,91.051,"Entsorgung, Weichfaserplatte",147.5,kg,0.04,SIA 279 -- Register Baustoffkennwerte assumed from GUTEX Thermowall 5in1,1400,1180,227,10.5,10.4,4.67,5.7,0.164,7.11,7.1,1.93,5.17,0.0126,3.42,3.27,2.74,0.53,0.151,0.725,0.633,0.0921,0.436
7.006,531C8578-0D4B-469A-ACE5-8E3A536FC47C,solid_wood_beech_oak_air_dried_rough,"Massivholz Buche / Eiche, luftgetrocknet, rau",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",705,kg,0.18,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 700 kg/m3",323,260,62.9,6.68,6.59,2.05,4.54,0.0949,6.21,6.2,1.66,4.54,0.00612,0.478,0.39,0.39,0,0.0888,0.12,0.0812,0.039,0.413
07.006.01,F9547BDA-290C-44C5-8794-C921A2DED0BA,solid_wood_beech_oak_air_dried_rough_made_in_switzerland,"Massivholz Buche / Eiche, luftgetrocknet, rau, Produktion Schweiz",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",705,kg,0.18,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 700 kg/m3",290,227,62.9,6.7,6.61,2.07,4.54,0.0949,6.3,6.29,1.76,4.54,0.00612,0.402,0.314,0.314,0,0.0888,0.0979,0.0589,0.039,0.413
7.008,5452FFFF-13C9-4D8B-803B-E644F35A3325,solid_wood_beech_oak_kiln_dried_planed,"Massivholz Buche / Eiche, kammergetrocknet, gehobelt",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",675,kg,0.18,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 700 kg/m3",436,373,62.9,7.94,7.85,2.9,4.95,0.0949,7.28,7.27,2.32,4.95,0.00612,0.662,0.574,0.574,0,0.0888,0.152,0.113,0.039,0.451
07.008.01,348B6926-0D2A-4820-AA05-C815FE65A421,solid_wood_beech_oak_kiln_dried_planed_made_in_switzerland,"Massivholz Buche / Eiche, kammergetrocknet, gehobelt, Produktion Schweiz",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",675,kg,0.18,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 700 kg/m3",396,333,62.9,7.97,7.87,2.92,4.95,0.0949,7.39,7.39,2.44,4.95,0.00612,0.572,0.483,0.483,0,0.0888,0.122,0.0833,0.039,0.451
7.007,9AC95A58-6438-48B7-BB6A-B07B6F4CFB6A,solid_wood_beech_oak_kiln_dried_rough,"Massivholz Buche / Eiche, kammergetrocknet, rau",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",675,kg,0.18,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 700 kg/m3",392,329,62.9,7.68,7.59,2.64,4.95,0.0949,7.12,7.11,2.16,4.95,0.00612,0.568,0.479,0.479,0,0.0888,0.135,0.0962,0.039,0.451
07.007.01,698D8A43-8983-432E-A51B-D90C9BA23AC1,solid_wood_beech_oak_kiln_dried_rough_made_in_switzerland,"Massivholz Buche / Eiche, kammergetrocknet, rau, Produktion Schweiz",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",675,kg,0.18,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 700 kg/m3",356,293,62.9,7.71,7.61,2.66,4.95,0.0949,7.22,7.22,2.27,4.95,0.00612,0.485,0.396,0.396,0,0.0888,0.109,0.07,0.039,0.451
07.011.02,C4DE94C2-36D6-4BB9-9753-228622401A82,solid_wood_spruce_fir_kiln_dried_solid_wood_house_holzpur,"Massivholz Fichte / Tanne, kammergetr., Vollholzhaus holzpur",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",420,kg,0.12,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 450 kg/m3",430,367,62.9,10.4,10.3,5,5.35,0.0949,9.98,9.97,4.62,5.35,0.00612,0.467,0.379,0.379,0,0.0888,0.133,0.0944,0.039,0.451
7.01,C6FE17BA-12BD-4454-B0F0-74CA8C665D6B,solid_wood_spruce_fir_larch_air_dried_planed,"Massivholz Fichte / Tanne / Laerche, luftgetr., gehobelt",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",485,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 500 kg/m3",401,338,62.9,5.89,5.79,1.07,4.72,0.0949,5.21,5.21,0.485,4.72,0.00612,0.673,0.584,0.584,0,0.0888,0.156,0.117,0.039,0.413
07.010.01,0AABF430-9178-4975-8390-B4C585739DE2,solid_wood_spruce_fir_larch_air_dried_planed_made_in_switzerland,"Massivholz Fichte / Tanne / Laerche, luftgetr., gehobelt, Produktion Schweiz",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",485,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 500 kg/m3",385,322,62.9,5.74,5.65,0.924,4.72,0.0949,5.11,5.1,0.38,4.72,0.00612,0.633,0.544,0.544,0,0.0888,0.142,0.103,0.039,0.413
7.009,EB82F166-04B1-49F0-A586-FD8F92824196,solid_wood_spruce_fir_larch_air_dried_rough,"Massivholz Fichte / Tanne / Laerche, luftgetrocknet, rau",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",485,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 500 kg/m3",317,254,62.9,5.49,5.39,0.67,4.72,0.0949,4.98,4.97,0.249,4.72,0.00612,0.509,0.421,0.421,0,0.0888,0.129,0.0904,0.039,0.413
07.009.01,ADBDB232-AC94-49B1-9EB6-652076C22BAB,solid_wood_spruce_fir_larch_air_dried_rough_made_in_switzerland,"Massivholz Fichte / Tanne / Laerche, luftgetrocknet, rau, Produktion Schweiz",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",485,kg,0.13,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 500 kg/m3",306,243,62.9,5.35,5.26,0.546,4.71,0.0949,4.88,4.87,0.157,4.71,0.00612,0.478,0.389,0.389,0,0.0888,0.12,0.0809,0.039,0.413
7.011,3D89DC7F-1638-4C94-AFA8-DC31CAC210BC,solid_wood_spruce_fir_larch_kiln_dried_planed,"Massivholz Fichte / Tanne / Laerche, kammergetr., gehobelt",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",465,kg,0.12,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 450 kg/m3",476,413,62.9,6.83,6.73,1.58,5.15,0.0949,6.05,6.04,0.891,5.15,0.00612,0.777,0.688,0.688,0,0.0888,0.173,0.134,0.039,0.451
07.011.01,D122C786-0887-4B71-BEBD-513955B5F184,solid_wood_spruce_fir_larch_kiln_dried_planed_made_in_switzerland,"Massivholz Fichte / Tanne / Laerche, kammergetr., gehobelt, Produktion Schweiz",91.052,"Entsorgung, Holz und Holzwerkstoffe, Massivholz",465,kg,0.12,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 450 kg/m3",459,396,62.9,6.67,6.57,1.42,5.15,0.0949,5.93,5.93,0.776,5.15,0.00612,0.733,0.644,0.644,0,0.0888,0.156,0.117,0.039,0.451
6.004,0FE00428-0CF6-4CC1-A4B1-BA186F56D57E,stainless_steel_sheet_18_8_plain,Chromnickelstahlblech 18/8 blank,91.143,"Entsorgung, Stahl",7900,kg,17000,"SIA 279 -- Register Baustoffkennwerte, assumed from Nichtrostender Stahl, austenitisch oder austenitisch-ferritisch",9710,9690,11.1,17,17,17,0,0.0278,2.41,2.41,2.41,0,0.000582,14.6,14.5,14.5,0,0.0272,4.12,4.11,0.00693,0
6.005,7AD1957E-FC33-43A8-88F8-2A4DD83A362A,stainless_steel_sheet_18_8_tinned,Chromnickelstahlblech 18/8 verzinnt,91.143,"Entsorgung, Stahl",7900,kg,17000,"SIA 279 -- Register Baustoffkennwerte, assumed from Nichtrostender Stahl, austenitisch oder austenitisch-ferritisch",13000,13000,11.1,25,24.9,24.9,0,0.0278,2.69,2.69,2.69,0,0.000582,22.3,22.2,22.2,0,0.0272,5.88,5.87,0.00693,0
6.006,75CC3E80-7E5F-4E12-898A-03966A87E3E6,stainless_steel_sheet_plain,Chromstahlblech blank,91.143,"Entsorgung, Stahl",7700,kg,17000,"SIA 279 -- Register Baustoffkennwerte, assumed from Nichtrostender Stahl, austenitisch oder austenitisch-ferritisch",7080,7070,11.1,9.52,9.49,9.49,0,0.0278,0.981,0.98,0.98,0,0.000582,8.53,8.51,8.51,0,0.0272,2.74,2.73,0.00693,0
6.007,4594A8BF-8167-4183-9A45-CB64DF6D95B8,stainless_steel_sheet_tinned,Chromstahlblech verzinnt,91.143,"Entsorgung, Stahl",7700,kg,17000,"SIA 279 -- Register Baustoffkennwerte, assumed from Nichtrostender Stahl, austenitisch oder austenitisch-ferritisch",10400,10400,11.1,17.5,17.5,17.5,0,0.0278,1.25,1.25,1.25,0,0.000582,16.2,16.2,16.2,0,0.0272,4.49,4.48,0.00693,0
6.012,4DC70979-B6CA-4DA5-A291-6F1A082EE475,steel_profile_plain,"Stahlprofil, blank",91.143,"Entsorgung, Stahl",7850,kg,50000,"SIA 279 -- Register Baustoffkennwerte, assumed from Stahl",1290,1280,11.1,3.63,3.61,3.61,0,0.0278,0.255,0.254,0.254,0,0.000582,3.38,3.35,3.35,0,0.0272,0.737,0.73,0.00693,0
6.011,68F8D468-2A49-430A-A94A-A3073A85B029,steel_sheet_galvanised,"Stahlblech, verzinkt",91.143,"Entsorgung, Stahl",7850,kg,50000,"SIA 279 -- Register Baustoffkennwerte, assumed from Stahl",15200,15200,11.1,17,17,17,0,0.0278,1.4,1.4,1.4,0,0.000582,15.6,15.6,15.6,0,0.0272,4.49,4.48,0.00693,0
6.01,38C1572A-3CE8-47C0-B24E-5E924A8AD97E,steel_sheet_plain,"Stahlblech, blank",91.143,"Entsorgung, Stahl",7850,kg,50000,"SIA 279 -- Register Baustoffkennwerte, assumed from Stahl",5260,5250,11.1,8.43,8.4,8.4,0,0.0278,0.628,0.628,0.628,0,0.000582,7.8,7.77,7.77,0,0.0272,2.8,2.79,0.00693,0
10.008,A3BBA042-97AF-4B5C-AF00-E049CEF1A557,stone_wool,Steinwolle,91.173,"Entsorgung, Daemmstoff, mineralisch",32-160,kg,0.045,SIA 279:2018,1360,1240,116,4.88,4.73,4.73,0,0.143,1.65,1.64,1.64,0,0.0107,3.23,3.1,3.1,0,0.133,0.816,0.757,0.0592,0
10.008.01,194F45E4-A08A-427B-A490-999934D5D610,stone_wool_flumroc,"Steinwolle, Flumroc",91.173,"Entsorgung, Daemmstoff, mineralisch",32-160,kg,0.035,SIA 279 -- Register Baustoffkennwerte Flumroc-Daemmplatte 1,1100,982,116,4.56,4.41,4.41,0,0.143,2.01,2,2,0,0.0107,2.55,2.41,2.41,0,0.133,0.617,0.558,0.0592,0
7.023,dff243df-ce92-429c-b6f4-a1e3ca114b16,structural_solid_timber,Konstruktionsvollholz,91.049,"Entsorgung, Holzfaserplatte hart",436,kg,0.12,"SIA 279 -- Register Baustoffkennwerte, assumed from Nutzholz 450 kg/m3",689,620,68.4,9.53,9.43,4.27,5.16,0.096,8.28,8.28,3.13,5.15,0.00614,1.24,1.15,1.14,0.0105,0.0899,0.288,0.244,0.0441,0.45
10.004.03,99E3A2B4-CE0F-4E7A-AECB-9AA35D2FABAF,swissporeps_r_100,swissporEPS R 100,91.151,"Entsorgung, Daemmstoff, organisch, Polystyrol",28,kg,0.033,SIA 279 -- Register Baustoffkennwerte,3920,639,3280,3.26,3.06,3.06,0,0.215,0.86,0.86,0.86,0,0.012,2.4,2.2,2.2,0,0.203,3.56,0.46,3.09,0
10.004.02,05CBB4FF-6CFE-4285-86E1-8D5EA593637D,swissporeps_roof_eco,swissporEPS Roof ECO,91.151,"Entsorgung, Daemmstoff, organisch, Polystyrol",26,kg,0.033,SIA 279 -- Register Baustoffkennwerte,7000,3730,3280,18.4,18.2,13,5.13,0.215,1.23,1.22,1.22,0,0.012,17.2,17,11.8,5.13,0.203,5.75,2.66,3.09,0
10.004.05,e4bde1df-82ea-44c9-ba0d-67e760ffed4e,swissporlambda_white_mono_rec_100_percent,swissporLAMBDA White Mono REC100%,91.151,"Entsorgung, Daemmstoff, organisch, Polystyrol",16,kg,0.03,SIA 279 -- Register Baustoffkennwerte,5870,2590,3280,12.2,12,12,0,0.215,2.01,2,2,0,0.012,10.2,10,10,0,0.203,4.48,1.39,3.09,0
