Name,G_win,type_win,r_roof,type_roof,r_wall,type_wall
B001,0.85,T8,0.4,T7,0.4,T8
B010,0.85,T8,0.4,T7,0.4,T8
B002,0.67,T10,0.4,T7,0.4,T7
B003,0.67,T10,0.4,T7,0.4,T7
B004,0.67,T10,0.4,T7,0.4,T7
B005,0.67,T10,0.4,T7,0.4,T7
B006,0.67,T10,0.4,T7,0.4,T7
B008,0.67,T10,0.4,T7,0.4,T7
B007,0.85,T1,0.4,T7,0.4,T7
B009,0.29,T9,0.4,T7,0.4,T7
