SCRIPT,LOCATOR_METHOD,FILE_NAME,VARIABLE,DESCRIPTION,UNIT,VALUES,TYPE,COLOR
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:INTERNAL_LOADS,El_Wm2,Peak specific electrical load due to artificial lighting,[W/m2],{0.0...n},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:INTERNAL_LOADS,Epro_Wm2,Peak specific electrical load due to industrial processes,[W/m2],{0.0...n},string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:INTERNAL_LOADS,Qcre_Wm2,TODO,TODO,TODO,TODO,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:INTERNAL_LOADS,Qhpro_Wm2,Peak specific due to process heat,[W/m2],{0.0...n},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:INTERNAL_LOADS,Qs_Wp,TODO,TODO,TODO,TODO,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:INTERNAL_LOADS,Vw_lpd,Peak specific fresh water consumption (includes cold and hot water),[lpd],{0.0...n},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:INTERNAL_LOADS,Vww_lpd,Peak specific daily hot water consumption,[lpd],{0.0...n},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:INTERNAL_LOADS,X_ghp,Moisture released by occupancy at peak conditions,[gh/kg/p],{0.0...n},float,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:SUPPLY,building_use,Building use. It relates to the uses stored in the input database of Zone_occupancy,[-],Those stored in Zone_occupancy,string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:SUPPLY,standard,Letter representing whereas the field represent construction properties of a building as newly constructed (C) or renovated (R),[-],{C or R},string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:SUPPLY,type_cs,Type of cooling supply system,[code],{T0...Tn},string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:SUPPLY,type_dhw,Type of hot water supply system,[code],{T0...Tn},string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:SUPPLY,type_el,Type of electrical supply system,[code],{T0...Tn},string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:SUPPLY,type_hs,Type of heating supply system,[code],{T0...Tn},string,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:SUPPLY,year_end,Upper limit of year interval where the building properties apply,[yr],{0...n},int,black
-,get_archetypes_properties,databases/ch/archetypes/construction_properties.xlsx:SUPPLY,year_start,Lower limit of year interval where the building properties apply,[yr],{0...n},int,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,Saturday_1,Probability of maximum occupancy per hour on Saturday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,Saturday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,Saturday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,Sunday_1,Probability of maximum occupancy per hour on Sunday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,Sunday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,Sunday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,Weekday_1,Probability of maximum occupancy per hour in a weekday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,Weekday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,Weekday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,density,m2 per person,[m2/p],{0.0...n},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:COOLROOM,month,Probability of use for the month,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,Saturday_1,Probability of maximum occupancy per hour on Saturday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,Saturday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,Saturday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,Sunday_1,Probability of maximum occupancy per hour on Sunday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,Sunday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,Sunday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,Weekday_1,Probability of maximum occupancy per hour in a weekday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,Weekday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,Weekday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,density,m2 per person,[m2/p],{0.0...n},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:FOODSTORE,month,Probability of use for the month,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,Saturday_1,Probability of maximum occupancy per hour on Saturday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,Saturday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,Saturday_3,Probability of domestic hot water consumption (daily) for each hour,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,Sunday_1,Probability of maximum occupancy per hour on Sunday,[p/p],{0.0...1},float,black
-,get_archetypes_schedules,databases/ch/archetypes/occupancy_schedules.xlsx:GYM,Sunday_2,Probability of use of lighting and applicances (daily) for each hour,[p/p],{0.0...1},float,black
