METADATA,mixed-schedule
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
PROCESSES,HOUR,HEATING,OCCUPANCY,SERVERS,WATER,COOLING,LIGHTING,APPLIANCES,DAY
0.0,13,SETPOINT,0.8000000000000002,0.0,0.8600000000000001,SETPOINT,0.8,0.8,SUNDAY
0.0,14,SETPOINT,0.4000000000000001,0.0,0.74,SETPOINT,0.2,0.2,SUNDAY
0.0,15,SETPOINT,0.0,0.0,0.58,SETPOINT,0.1,0.1,SUNDAY
0.0,16,SETPOINT,0.0,0.0,0.51,SETPOINT,0.1,0.1,SUNDAY
0.0,17,SETPOINT,0.0,0.0,0.29,SETPOINT,0.1,0.1,SUNDAY
0.0,18,SETPOINT,0.4000000000000001,0.0,0.55,SETPOINT,0.2,0.2,SUNDAY
0.0,19,SETPOINT,0.8000000000000002,0.0,0.72,SETPOINT,0.8,0.8,SUNDAY
0.0,20,SETPOINT,0.8000000000000002,0.0,0.78,SETPOINT,1.0,1.0,SUNDAY
0.0,21,SETPOINT,0.8000000000000002,0.0,0.4000000000000001,SETPOINT,0.2,0.2,SUNDAY
0.0,22,SETBACK,1.0,0.0,0.37,SETBACK,0.2,0.2,SUNDAY
0.0,23,SETBACK,1.0,0.0,0.34,SETBACK,0.2,0.2,SUNDAY
0.0,24,SETBACK,1.0,0.0,0.19,SETBACK,0.1,0.1,SUNDAY
