METADATA,mixed-schedule
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
PROCESSES,ELECTROMOBILITY,HOUR,HEATING,OCCUPANCY,SERVERS,WATER,COOLING,LIGHTING,APPLIANCES,DAY
0.03,0.0,12,SETPOINT,0.54,0.0,0.65,SETPOINT,0.37,0.39,SUNDAY
0.03,0.0,13,SETPOINT,0.41,0.0,0.49,SETPOINT,0.26,0.27,SUNDAY
0.03,0.0,14,SETPOINT,0.48,0.0,0.57,SETPOINT,0.32,0.33,SUNDAY
0.03,0.0,15,SETPOINT,0.62,0.0,0.74,SETPOINT,0.43,0.45,SUNDAY
0.03,0.0,16,SETPOINT,0.54,0.0,0.65,SETPOINT,0.37,0.39,SUNDAY
0.03,0.0,17,SETPOINT,0.48,0.0,0.57,SETPOINT,0.32,0.33,SUNDAY
0.03,0.0,18,SETPOINT,0.34,0.0,0.4,SETPOINT,0.21,0.21,SUNDAY
0.03,0.0,19,SETPOINT,0.27,0.0,0.32,SETPOINT,0.17,0.17,SUNDAY
0.03,0.0,20,SETPOINT,0.27,0.0,0.32,SETPOINT,0.3,0.31,SUNDAY
0.03,0.0,21,SETPOINT,0.27,0.0,0.32,SETPOINT,0.26,0.27,SUNDAY
0.03,0.0,22,SETPOINT,0.27,0.0,0.32,SETPOINT,0.22,0.22,SUNDAY
0.03,0.0,23,SETPOINT,0.27,0.0,0.32,SETPOINT,0.17,0.17,SUNDAY
0.03,0.0,24,SETPOINT,0.27,0.0,0.32,SETPOINT,0.17,0.17,SUNDAY
