METADATA,mixed-schedule
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
PROCESSES,ELECTROMOBILITY,HOUR,HEATING,OCCUPANCY,SERVERS,WATER,COOLING,LIGHTING,APPLIANCES,DAY
0.0,0.0,1,SETBACK,0.0,0.0,0.0,OFF,0.1,0.1,WEEKDAY
0.0,0.0,2,SETBACK,0.0,0.0,0.0,OFF,0.1,0.1,WEEKDAY
0.0,0.0,3,SETBACK,0.0,0.0,0.0,OFF,0.1,0.1,WEEKDAY
0.0,0.0,4,SETBACK,0.0,0.0,0.0,OFF,0.1,0.1,WEEKDAY
0.0,0.0,5,SETBACK,0.0,0.0,0.0,OFF,0.1,0.1,WEEKDAY
0.0,0.0,6,SETBACK,0.0,0.0,0.0,OFF,0.1,0.1,WEEKDAY
0.0,0.0,7,SETBACK,0.0,0.0,0.0,OFF,0.1,0.1,WEEKDAY
0.0,0.0,8,SETPOINT,0.38,0.0,0.47,SETPOINT,0.32,0.27,WEEKDAY
0.0,0.0,9,SETPOINT,0.72,0.0,0.78,SETPOINT,0.68,0.64,WEEKDAY
0.0,0.0,10,SETPOINT,1.0,0.0,1.0,SETPOINT,0.88,0.84,WEEKDAY
0.0,0.0,11,SETPOINT,1.0,0.0,1.0,SETPOINT,1.0,1.0,WEEKDAY
0.0,0.0,12,SETPOINT,0.8,0.0,0.8,SETPOINT,0.8,0.8,WEEKDAY
0.0,0.0,13,SETPOINT,0.17,0.0,0.04,SETPOINT,0.65,0.53,WEEKDAY
0.0,0.0,14,SETPOINT,0.72,0.0,0.78,SETPOINT,0.68,0.64,WEEKDAY
0.0,0.0,15,SETPOINT,1.0,0.0,1.0,SETPOINT,1.0,1.0,WEEKDAY
0.0,0.0,16,SETPOINT,0.92,0.0,0.98,SETPOINT,0.88,0.84,WEEKDAY
0.0,0.0,17,SETPOINT,0.72,0.0,0.78,SETPOINT,0.68,0.64,WEEKDAY
0.0,0.0,18,SETPOINT,0.38,0.0,0.47,SETPOINT,0.32,0.27,WEEKDAY
0.0,0.0,19,SETBACK,0.47,0.0,0.71,OFF,0.39,0.26,WEEKDAY
0.0,0.0,20,SETBACK,0.47,0.0,0.71,OFF,0.39,0.26,WEEKDAY
0.0,0.0,21,SETBACK,0.47,0.0,0.71,OFF,0.39,0.26,WEEKDAY
0.0,0.0,22,SETBACK,0.29,0.0,0.45,OFF,0.27,0.19,WEEKDAY
0.0,0.0,23,SETBACK,0.29,0.0,0.45,OFF,0.27,0.19,WEEKDAY
0.0,0.0,24,SETBACK,0.0,0.0,0.0,OFF,0.1,0.1,WEEKDAY
0.0,0.0,1,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SATURDAY
0.0,0.0,2,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SATURDAY
0.0,0.0,3,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SATURDAY
0.0,0.0,4,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SATURDAY
0.0,0.0,5,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SATURDAY
0.0,0.0,6,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SATURDAY
0.0,0.0,7,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SATURDAY
0.0,0.0,8,OFF,0.29,0.0,0.45,OFF,0.27,0.19,SATURDAY
0.0,0.0,9,OFF,0.47,0.0,0.71,OFF,0.39,0.26,SATURDAY
0.0,0.0,10,OFF,0.58,0.0,0.89,OFF,0.47,0.3,SATURDAY
0.0,0.0,11,OFF,0.58,0.0,0.89,OFF,0.47,0.3,SATURDAY
0.0,0.0,12,OFF,0.47,0.0,0.71,OFF,0.39,0.26,SATURDAY
0.0,0.0,13,OFF,0.0,0.0,0.0,OFF,0.47,0.3,SATURDAY
0.0,0.0,14,OFF,0.47,0.0,0.71,OFF,0.39,0.26,SATURDAY
0.0,0.0,15,OFF,0.58,0.0,0.89,OFF,0.47,0.3,SATURDAY
0.0,0.0,16,OFF,0.58,0.0,0.89,OFF,0.47,0.3,SATURDAY
0.0,0.0,17,OFF,0.47,0.0,0.71,OFF,0.39,0.26,SATURDAY
0.0,0.0,18,OFF,0.29,0.0,0.45,OFF,0.27,0.19,SATURDAY
0.0,0.0,19,OFF,0.47,0.0,0.71,OFF,0.39,0.26,SATURDAY
0.0,0.0,20,OFF,0.47,0.0,0.71,OFF,0.39,0.26,SATURDAY
0.0,0.0,21,OFF,0.47,0.0,0.71,OFF,0.39,0.26,SATURDAY
0.0,0.0,22,OFF,0.29,0.0,0.45,OFF,0.27,0.19,SATURDAY
0.0,0.0,23,OFF,0.29,0.0,0.45,OFF,0.27,0.19,SATURDAY
0.0,0.0,24,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SATURDAY
0.0,0.0,1,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,2,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,3,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,4,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,5,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,6,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,7,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,8,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,9,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,10,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,11,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,12,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,13,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,14,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,15,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,16,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,17,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,18,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,19,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,20,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,21,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,22,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,23,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
0.0,0.0,24,OFF,0.0,0.0,0.0,OFF,0.1,0.1,SUNDAY
