description,code,feedstock,scale,efficiency,reference
none,SUPPLY_ELECTRICITY_AS0,NONE,NONE,0.0,educated guess
Swiss consumer energy mix,SUPPLY_ELECTRICITY_AS1,GRID,CITY,0.99,educated guess
