Eaf,Ealf,Eauxf,Eauxf_cs,Eauxf_fw,Eauxf_hs,Eauxf_ve,Eauxf_ww,Ecaf,Edataf,Ef,Ehs_lat_aux,Elf,Eprof,Eref,I_rad,I_sol,QCf,QEf,QHf,Qcdataf,Qcref,Qcs,Qcs_em_ls,Qcs_lat_sys,Qcs_sen,Qcs_sen_incl_em_ls,Qcs_sen_sys,Qcsf,Qcsf_lat,Qhprof,Qhs,Qhs_em_ls,Qhs_lat_sys,Qhs_sen,Qhs_sen_incl_em_ls,Qhs_sen_sys,Qhsf,Qhsf_lat,Qs,Qww,Qwwf,T_ext,T_sky,Ta_re_cs,Ta_re_hs,Ta_sup_cs,Ta_sup_hs,Tcdataf_re,Tcdataf_sup,Tcref_re,Tcref_sup,Tcsf_re,Tcsf_sup,Thsf_re,Thsf_sup,Twwf_re,Twwf_sup,m_ve_inf,m_ve_mech,m_ve_recirculation,m_ve_required,m_ve_window,ma_sup_cs,ma_sup_hs,mcpcsf,mcpdataf,mcphsf,mcpref,mcpwwf,people,rh_ext,system_status,ta_cs_set,ta_hs_set,theta_a,theta_c,theta_m,theta_o,theta_ve_mech,u_wind,ve,w_int
1176.976,3574.874,3.099,0,0,2.721,0,0.378,0,0,3577.973,0,2397.898,0,0,1340.643,-548.320,0,18624.438,15046.465,0,0,0,0,0,0,0,0,0,0,0,11016.108,2027.921,0,11016.108,13044.029,11016.108,13356.154,0,456.714,1168.948,1690.311,9.800,43.969,0,0,0,0,0,0,0,0,0,0,50.731,60.722,10,60,0.107,0,0,0.080,0.000,0,0,0,0,1336.819,0,33.806,6,57,Radiative heating,,21.545,21.545,18.715,17.604,19.592,9.800,2.200,234.882,0
1729.076,5105.511,3.091,0,0,2.721,0,0.370,0,0,5108.602,0,3376.435,0,0,1403.255,-952.348,0,18706.087,13597.485,0,0,0,0,0,0,0,0,0,0,0,9769.268,1932.649,0,9769.268,11701.917,9769.268,11978.988,0,456.714,1119.418,1618.497,10.800,45.018,0,0,0,0,0,0,0,0,0,0,48.490,57.451,10,60,0.106,0,0,0.080,0.000,0,0,0,0,1336.819,0,32.370,6,54,Radiative heating,,21.545,21.545,18.842,17.767,19.680,10.800,1.700,234.882,0
1624.930,4764.805,3.110,0,0,2.721,0,0.389,0,0,4767.915,0,3139.875,0,0,1452.396,-1369.661,0,18253.537,13485.622,0,0,0,0,0,0,0,0,0,0,0,9462.636,1975.206,0,9462.636,11437.842,9462.636,11706.649,0,408.354,1236.625,1778.973,11.500,45.870,0,0,0,0,0,0,0,0,0,0,48.039,56.796,10,60,0.106,0,0,0.071,0.000,0,0,0,0,1336.819,0,35.579,5,52,Radiative heating,,21.545,21.545,18.950,17.916,19.754,11.500,2.200,210.011,0
968.684,2893.462,3.109,0,0,2.721,0,0.388,0,0,2896.570,0,1924.778,0,0,1469.731,-1469.367,0,17009.363,14112.792,0,0,0,0,0,0,0,0,0,0,0,9939.750,2125.013,0,9939.750,12064.764,9939.750,12347.395,0,387.535,1227.552,1765.398,11.800,46.231,0,0,0,0,0,0,0,0,0,0,49.096,58.333,10,60,0.106,0,0,0.068,0.000,0,0,0,0,1336.819,0,35.308,5,50,Radiative heating,,21.545,21.545,19.027,18.035,19.808,11.800,2.700,199.304,0
1176.976,3574.874,3.063,0,0,2.721,0,0.342,0,0,3577.937,0,2397.898,0,0,1463.068,-1463.068,0,16517.329,12939.393,0,0,0,0,0,0,0,0,0,0,0,9311.827,1974.838,0,9311.827,11286.665,9311.827,11551.351,0,456.714,954.316,1388.041,11.700,46.211,0,0,0,0,0,0,0,0,0,0,47.780,56.421,10,60,0.106,0,0,0.080,0.000,0,0,0,0,1336.819,0,27.761,6,51,Radiative heating,,21.545,21.545,19.108,18.149,19.863,11.700,1.600,234.882,0
1176.976,3574.874,3.051,0,0,2.721,0,0.330,0,0,3577.925,0,2397.898,0,0,1417.530,-1417.530,0,16110.300,12532.376,0,0,0,0,0,0,0,0,0,0,0,9104.478,1870.971,0,9104.478,10975.449,9104.478,11233.940,0,456.714,888.276,1298.436,11.300,45.622,0,0,0,0,0,0,0,0,0,0,47.248,55.652,10,60,0.106,0,0,0.080,0.000,0,0,0,0,1336.819,0,25.969,6,54,Radiative heating,,21.545,21.545,19.169,18.244,19.905,11.300,3.400,234.882,0
1624.930,4764.805,3.022,0,0,2.721,0,0.301,0,0,4767.827,0,3139.875,0,0,1376.168,-1376.168,0,16232.509,11464.682,0,0,0,0,0,0,0,0,0,0,0,8482.789,1641.386,0,8482.789,10124.175,8482.789,10364.652,0,408.354,741.321,1100.031,10.500,45.069,0,0,0,0,0,0,0,0,0,0,45.770,53.524,10,60,0.106,0,0,0.072,0.000,0,0,0,0,1336.819,0,22.001,5,58,Radiative heating,,21.545,21.545,19.220,18.324,19.941,10.500,1.400,210.011,0
1572.857,4594.452,3.073,0,0,2.721,0,0.353,0,0,4597.525,0,3021.595,0,0,1335.391,-1335.391,0,16339.916,11742.391,0,0,0,0,0,0,0,0,0,0,0,8449.905,1577.433,0,8449.905,10027.337,8449.905,10266.773,0,429.173,1014.556,1475.618,10.000,44.508,0,0,0,0,0,0,0,0,0,0,45.602,53.282,10,60,0.106,0,0,0.075,0.000,0,0,0,0,1336.819,0,29.512,6,60,Radiative heating,,21.545,21.545,19.256,18.384,19.965,10.000,2.000,220.718,0
1572.857,4594.452,3.118,0,0,2.721,0,0.397,0,0,4597.570,0,3021.595,0,0,1292.416,-1292.416,0,16655.150,12057.580,0,0,0,0,0,0,0,0,0,0,0,8439.680,1521.918,0,8439.680,9961.598,8439.680,10200.716,0,359.994,1287.792,1856.865,9.500,43.891,0,0,0,0,0,0,0,0,0,0,45.488,53.118,10,60,0.107,0,0,0.063,0.000,0,0,0,0,1336.819,0,37.137,5,60,Radiative heating,,21.545,21.545,19.279,18.427,19.982,9.500,1.000,185.140,0
1572.857,4594.452,3.121,0,0,2.721,0,0.400,0,0,4597.572,0,3021.595,0,0,1253.412,-1253.412,0,16625.611,12028.039,0,0,0,0,0,0,0,0,0,0,0,8436.135,1471.221,0,8436.135,9907.357,8436.135,10146.417,0,359.994,1304.302,1881.622,9.000,43.316,0,0,0,0,0,0,0,0,0,0,45.394,52.984,10,60,0.107,0,0,0.063,0.000,0,0,0,0,1336.819,0,37.632,5,62,Radiative heating,,21.545,21.545,19.293,18.455,19.991,9.000,1.000,185.140,0
