NODE0,NODE1,NODE2,NODE3,NODE4,NODE5,NODE6,NODE7,NODE8,NODE9,NODE10,NODE11,NODE12,NODE13,NODE14,NODE15,NODE16,NODE17,NODE18,NODE19,NODE20,NODE21,NODE22,NODE23,NODE24,NODE25,NODE26,NODE27,NODE28,NODE29,NODE30,NODE31,NODE32,NODE33,NODE34,NODE35,NODE36
8507.017,8507.017,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,8507.017,971.28503,8507.017,8507.017,8507.017,2411.0166,2411.0166,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,2411.0166,2411.0166,8507.017,8507.017,8507.017,8507.017,8507.017,2411.0166,8507.017,230551.36
8506.301,8506.301,8506.301,2410.3008,8506.301,2410.3008,8506.301,2410.3008,8506.301,2410.3008,8506.301,8506.301,971.3154,8506.301,8506.301,8506.301,2410.3008,2410.3008,8506.301,2410.3008,8506.301,8506.301,2410.3008,8506.301,8506.301,2410.3008,8506.301,2410.3008,2410.3008,8506.301,8506.301,8506.301,8506.301,8506.301,2410.3008,8506.301,230552.06
8507.017,8507.017,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,8507.017,971.28503,8507.017,8507.017,8507.017,2411.0166,2411.0166,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,2411.0166,2411.0166,8507.017,8507.017,8507.017,8507.017,8507.017,2411.0166,8507.017,230551.36
8507.017,8507.017,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,8507.017,971.28503,8507.017,8507.017,8507.017,2411.0166,2411.0166,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,2411.0166,2411.0166,8507.017,8507.017,8507.017,8507.017,8507.017,2411.0166,8507.017,230551.36
8506.301,8506.301,8506.301,2410.3008,8506.301,2410.3008,8506.301,2410.3008,8506.301,2410.3008,8506.301,8506.301,971.3154,8506.301,8506.301,8506.301,2410.3008,2410.3008,8506.301,2410.3008,8506.301,8506.301,2410.3008,8506.301,8506.301,2410.3008,8506.301,2410.3008,2410.3008,8506.301,8506.301,8506.301,8506.301,8506.301,2410.3008,8506.301,230552.06
8506.301,8506.301,8506.301,2410.3008,8506.301,2410.3008,8506.301,2410.3008,8506.301,2410.3008,8506.301,8506.301,971.3154,8506.301,8506.301,8506.301,2410.3008,2410.3008,8506.301,2410.3008,8506.301,8506.301,2410.3008,8506.301,8506.301,2410.3008,8506.301,2410.3008,2410.3008,8506.301,8506.301,8506.301,8506.301,8506.301,2410.3008,8506.301,230552.06
8506.301,8506.301,8506.301,2410.3008,8506.301,2410.3008,8506.301,2410.3008,8506.301,2410.3008,8506.301,8506.301,971.3154,8506.301,8506.301,8506.301,2410.3008,2410.3008,8506.301,2410.3008,8506.301,8506.301,2410.3008,8506.301,8506.301,2410.3008,8506.301,2410.3008,2410.3008,8506.301,8506.301,8506.301,8506.301,8506.301,2410.3008,8506.301,230552.06
8507.017,8507.017,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,8507.017,971.28503,8507.017,8507.017,8507.017,2411.0166,2411.0166,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,2411.0166,2411.0166,8507.017,8507.017,8507.017,8507.017,8507.017,2411.0166,8507.017,230551.36
8507.017,8507.017,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,8507.017,971.28503,8507.017,8507.017,8507.017,2411.0166,2411.0166,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,2411.0166,2411.0166,8507.017,8507.017,8507.017,8507.017,8507.017,2411.0166,8507.017,230551.36
8507.017,8507.017,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,2411.0166,8507.017,8507.017,971.28503,8507.017,8507.017,8507.017,2411.0166,2411.0166,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,8507.017,2411.0166,8507.017,2411.0166,2411.0166,8507.017,8507.017,8507.017,8507.017,8507.017,2411.0166,8507.017,230551.36
