PIPE0,PIPE1,PIPE2,PIPE3,PIPE4,PIPE5,PIPE6,PIPE7,PIPE8,PIPE9,PIPE10,PIPE11,PIPE12,PIPE13,PIPE14,PIPE15,PIPE16,PIPE17,PIPE18,PIPE19,PIPE20,PIPE21,PIPE22,PIPE23,PIPE24,PIPE25,PIPE26,PIPE27,PIPE28,PIPE29,PIPE30,PIPE31,PIPE32,PIPE33,PIPE34,PIPE35
5.522023e-06,5.02002e-07,5.0200206e-06,1.5060062e-06,2.008008e-06,5.02002e-07,5.522023e-06,5.02002e-07,5.522023e-06,5.02002e-07,5.02002e-07,1.004004e-06,5.02002e-07,5.02002e-07,5.522023e-06,5.522023e-06,5.522023e-06,4.0595388e-16,5.522023e-06,5.522023e-06,5.02002e-07,1.004004e-06,5.02002e-07,5.02002e-07,3.5700002,4.016016e-06,2.008008e-06,5.02002e-07,5.02002e-07,5.02002e-07,5.02002e-07,5.02002e-07,4.016016e-06,5.02002e-07,5.02002e-07,3.5700064
5.1650813e-09,1.4465355e-10,5.468584e-09,4.238054e-09,8.753112e-09,2.754962e-10,5.342774e-09,1.4167456e-11,4.8490394e-09,1.4417911e-10,1.860104e-09,4.706797e-09,3.5220812e-11,2.5769217e-11,8.071739e-09,3.442045e-07,3.4580614e-07,5.02002e-07,3.483446e-07,3.830464e-10,3.4617884e-07,2.2401036e-11,2.325963e-10,7.6288205e-11,3.5690012,7.3777104e-09,9.12217e-09,8.64831e-11,9.8041705e-12,2.2870672e-09,3.6460168e-11,9.843088e-11,7.686168e-09,1.3869436e-09,9.53478e-11,3.5690017
5.524399e-06,5.0206864e-07,5.0225362e-06,2.0099578e-06,2.0039815e-06,5.0212884e-07,5.5244805e-06,5.019956e-07,5.524254e-06,6.632862e-11,5.0114636e-07,1.0018388e-06,5.020183e-07,5.0201385e-07,5.5257356e-06,6.182374e-06,5.6811086e-06,1.664273e-11,5.682276e-06,5.5218466e-06,5.558413e-10,1.0039937e-06,5.0210906e-07,5.0203715e-07,3.5700002,4.521413e-06,2.0122047e-06,5.0204187e-07,5.0200657e-07,5.009499e-07,5.020188e-07,5.020473e-07,4.0195523e-06,5.01364e-07,5.019582e-07,3.570006
6.041498e-07,5.938061e-07,9.615359e-09,8.585583e-09,9.021639e-09,2.442495e-09,6.069977e-07,1.9720364e-11,6.0412054e-07,5.0203255e-07,1.747701e-09,1.3940213e-08,5.2520145e-12,2.4154878e-11,6.0974116e-07,1.1127967e-06,1.111842e-06,7.656375e-12,1.1043174e-06,5.959037e-07,2.5571104e-10,1.0809802e-09,3.689839e-10,2.162354e-10,3.5700002,8.5253244e-09,5.393525e-09,1.2511425e-10,7.3039214e-11,1.4576725e-09,1.742248e-10,7.712228e-11,8.373571e-09,2.360688e-09,1.3272877e-10,3.5700011
4.69445e-06,1.0958324e-10,5.0244444e-06,2.011958e-06,2.0121586e-06,5.031257e-07,4.797264e-06,5.01993e-07,5.799944e-06,1.8883195e-11,5.0119803e-07,1.0104172e-06,5.020045e-07,1.11122864e-11,4.940287e-06,5.5319556e-06,5.7423204e-06,5.019985e-07,5.725038e-06,5.2941623e-06,5.021197e-07,1.0035069e-06,5.0183235e-07,5.0190255e-07,3.5690012,4.019939e-06,2.0104894e-06,5.019445e-07,3.3601188e-11,6.705923e-10,5.0208223e-07,5.019666e-07,4.019869e-06,1.0860186e-09,5.0194103e-07,3.5690074
2.140241e-06,5.020525e-07,1.585497e-06,3.6662212e-07,3.5619084e-07,8.2419266e-10,2.139704e-06,9.3757675e-11,2.1433355e-06,5.020108e-07,3.5389033e-07,3.5899558e-07,6.4944742e-12,5.019969e-07,2.1410588e-06,2.1414623e-06,2.1444573e-06,3.4236333e-10,2.139981e-06,2.1387962e-06,1.7843904e-10,5.7823235e-07,8.80165e-11,5.785448e-07,3.5690012,1.5873344e-06,1.0099625e-06,5.7858466e-07,5.0198656e-07,5.016936e-07,1.04738516e-10,6.820725e-11,1.5873538e-06,5.015025e-07,1.4738459e-10,3.5690033
2.5069055e-06,3.5490277e-11,2.4974966e-06,1.1726662e-06,4.660948e-07,5.016229e-07,3.147176e-06,5.019589e-07,3.3250342e-06,1.5100442e-10,2.604626e-09,4.6989874e-07,5.0199907e-07,8.143966e-11,3.1392672e-06,4.903308e-06,4.860134e-06,5.0215954e-07,4.8780566e-06,3.995951e-06,5.0208416e-07,6.5552655e-07,5.0204255e-07,9.332572e-12,3.5690012,2.243851e-06,1.5917566e-06,5.917787e-11,8.332254e-11,9.0588936e-10,5.020503e-07,5.020334e-07,2.2447255e-06,2.040064e-09,5.0193427e-07,3.5690062
1.3796222e-06,5.0198577e-07,1.2362677e-06,5.72679e-07,5.825895e-07,2.1083304e-09,1.3782859e-06,9.281126e-11,1.3919929e-06,5.019326e-07,5.0320034e-07,5.835079e-07,1.10986715e-11,5.020395e-07,1.3842174e-06,1.390595e-06,1.3889162e-06,2.4437313e-10,1.3817179e-06,1.3826218e-06,2.437437e-10,3.6176365e-07,2.6707755e-10,5.020064e-07,3.5700002,1.2344601e-06,8.6866646e-07,5.0202925e-07,5.020404e-07,5.0241886e-07,4.596131e-11,1.8094292e-11,1.2345206e-06,5.0294057e-07,1.5313076e-10,3.5700018
1.4794787e-06,1.3074712e-10,1.4827085e-06,2.6345705e-07,3.088253e-07,5.010321e-07,2.0287084e-06,5.0204477e-07,3.025298e-06,8.5005496e-11,3.3724228e-09,3.0743217e-07,5.019969e-07,6.235526e-11,2.0457867e-06,3.6517463e-06,3.312572e-06,5.0188964e-07,3.3196727e-06,3.146076e-06,5.0188993e-07,4.0314688e-07,5.021249e-07,1.7800378e-10,3.5700002,8.9185755e-07,4.840681e-07,1.3581951e-10,4.4219822e-11,1.5223078e-09,2.1144187e-11,5.020104e-07,8.911971e-07,2.8317064e-09,5.0193165e-07,3.5700035
1.8313107e-06,6.014932e-11,1.4252411e-06,6.232036e-07,6.8591277e-07,1.5118212e-09,1.8354784e-06,2.2210565e-11,1.8487091e-06,3.91062e-11,5.0355357e-07,6.687184e-07,7.464523e-11,5.0197343e-07,1.8449146e-06,2.2672336e-06,2.2770084e-06,1.1243891e-10,2.2828465e-06,2.31422e-06,4.0932877e-10,5.052473e-07,3.55459e-10,5.0192017e-07,3.5700002,1.421104e-06,9.0938346e-07,6.2482845e-11,2.034303e-11,5.027024e-07,5.019923e-07,1.5475017e-12,1.4223884e-06,5.0330476e-07,9.075808e-12,3.5700026
