PIPE0,PIPE1,PIPE2,PIPE3,PIPE4,PIPE5,PIPE6,PIPE7,PIPE8,PIPE9,PIPE10,PIPE11,PIPE12,PIPE13,PIPE14,PIPE15,PIPE16,PIPE17,PIPE18,PIPE19,PIPE20,PIPE21,PIPE22,PIPE23,PIPE24,PIPE25,PIPE26,PIPE27,PIPE28,PIPE29,PIPE30,PIPE31,PIPE32,PIPE33,PIPE34,PIPE35
4.0127875e-07,4.6280638e-07,3.6479884e-07,1.6750491e-07,5.1836366e-07,9.409733e-08,4.0127875e-07,4.6280638e-07,2.7416428e-07,4.6280638e-07,1.2959092e-07,2.5918183e-07,4.6280638e-07,4.6280638e-07,4.0127875e-07,2.7416428e-07,2.7416428e-07,1.7436663e-16,2.7416428e-07,2.7416428e-07,2.1562158e-07,4.3124317e-07,2.1562158e-07,3.4477097e-07,0.92158914,2.9183906e-07,2.2333988e-07,3.4477097e-07,3.4477097e-07,1.2959092e-07,3.4477097e-07,3.4477097e-07,2.9183906e-07,1.2959092e-07,3.4477097e-07,0.17724814
3.7534023e-10,1.3335918e-10,3.9739542e-10,4.7137577e-10,2.2595998e-09,5.1640144e-11,3.882529e-10,1.30612795e-11,2.4075117e-10,1.3292178e-10,4.8018245e-10,1.2150511e-09,3.2470818e-11,2.3757189e-11,5.865636e-10,1.7089496e-08,1.7169015e-08,2.1562158e-07,1.7295047e-08,1.9017966e-11,1.4869188e-07,9.621766e-12,9.9905535e-11,5.239412e-11,0.9213312,5.3612936e-10,1.0146094e-09,5.939589e-11,6.733425e-12,5.904022e-10,2.504055e-11,6.7601535e-11,5.5854454e-10,3.5803696e-10,6.54841e-11,0.17719825
4.0145142e-07,4.6286777e-07,3.6498167e-07,2.2355674e-07,5.1732417e-07,9.41211e-08,4.0145736e-07,4.6280036e-07,2.7427504e-07,6.114977e-11,1.2937002e-07,2.5862286e-07,4.6282133e-07,4.6281733e-07,4.015486e-07,3.0695023e-07,2.8206276e-07,7.1484403e-12,2.8212074e-07,2.7415552e-07,2.387468e-10,4.3123873e-07,2.1566754e-07,3.4479504e-07,0.92158914,3.285656e-07,2.2380664e-07,3.447983e-07,3.4477407e-07,1.2931932e-07,3.4478248e-07,3.4480206e-07,2.9209605e-07,1.2942621e-07,3.447408e-07,0.1772481
4.3902844e-08,5.474424e-07,6.987366e-10,9.549279e-10,2.3289197e-09,4.5783138e-10,4.4109786e-08,1.8180624e-11,2.9994133e-08,4.6283452e-07,4.5116583e-10,3.5986407e-09,4.841944e-12,2.2268893e-11,4.430916e-08,5.524952e-08,5.520212e-08,3.2885914e-12,5.4828536e-08,2.9586172e-08,1.0983384e-10,4.6430615e-10,1.5848718e-10,1.4850873e-10,0.92158914,6.19525e-10,5.998926e-10,8.592746e-11,5.0162742e-11,3.7629552e-10,1.1965619e-10,5.296696e-11,6.0849736e-10,6.094073e-10,9.115705e-11,0.17724788
3.4114007e-07,1.01027124e-10,3.6512031e-07,2.237792e-07,5.194351e-07,9.430796e-08,3.486114e-07,4.62798e-07,2.8796288e-07,1.7408821e-11,1.2938337e-07,2.6083737e-07,4.6280863e-07,1.0244653e-11,3.5900473e-07,2.7465742e-07,2.851019e-07,2.1562008e-07,2.8424387e-07,2.6285116e-07,2.156721e-07,4.3102958e-07,2.1554867e-07,3.4470264e-07,0.9213312,2.9212407e-07,2.2361586e-07,3.4473143e-07,2.3077026e-11,1.7311218e-10,3.4482602e-07,3.4474658e-07,2.92119e-07,2.803537e-10,3.4472905e-07,0.17719854
1.5552874e-07,4.6285285e-07,1.1521616e-07,4.0777394e-08,9.195002e-08,1.5449006e-10,1.5548974e-07,8.64372e-11,1.06415e-07,4.628144e-07,9.135615e-08,9.267405e-08,5.987394e-12,4.6280164e-07,1.5558815e-07,1.06322e-07,1.0647069e-07,1.4705302e-10,1.0624846e-07,1.06189624e-07,7.6643726e-11,2.4836427e-07,3.7805134e-11,3.9733993e-07,0.9213312,1.1534968e-07,1.1233267e-07,3.9736727e-07,3.4476034e-07,1.2951128e-07,7.193357e-11,4.6844188e-11,1.15351085e-07,1.2946195e-07,1.01222544e-10,0.17719832
1.821738e-07,3.2719244e-11,1.8149008e-07,1.304293e-07,1.2032153e-07,9.402626e-08,2.2870147e-07,4.6276662e-07,1.6508545e-07,1.3921418e-10,6.723795e-10,1.213035e-07,4.6280363e-07,7.5080955e-11,2.2812677e-07,2.4344556e-07,2.4130202e-07,2.1568923e-07,2.4219187e-07,1.9839595e-07,2.1565684e-07,2.815639e-07,2.1563898e-07,6.4095352e-12,0.9213312,1.6305796e-07,1.7704247e-07,4.0642885e-11,5.7225252e-11,2.3385371e-10,3.4480405e-07,3.447925e-07,1.631215e-07,5.266388e-10,3.4472438e-07,0.17719847
1.00255484e-07,4.6279135e-07,8.983809e-08,6.3695985e-08,1.5039443e-07,3.9519416e-10,1.00158374e-07,8.556467e-11,6.91114e-08,4.6274232e-07,1.2990024e-07,1.5063152e-07,1.0232101e-11,4.6284092e-07,1.0058941e-07,6.9041995e-08,6.895865e-08,1.04963954e-10,6.860125e-08,6.864613e-08,1.04693594e-10,1.553859e-07,1.1471603e-10,3.4477392e-07,0.92158914,8.970673e-08,9.6617065e-08,3.4478964e-07,3.4479731e-07,1.296985e-07,3.1565858e-11,1.24270125e-11,8.9711136e-08,1.2983318e-07,1.05168964e-10,0.1772479
1.0751193e-07,1.2053854e-10,1.0774665e-07,2.93029e-08,7.9722696e-08,9.391553e-08,1.474238e-07,4.6284578e-07,1.5020377e-07,7.8368374e-11,8.705848e-10,7.936306e-08,4.6280164e-07,5.7486637e-11,1.4866484e-07,1.8130646e-07,1.6446671e-07,2.155733e-07,1.6481926e-07,1.5620031e-07,2.1557341e-07,1.7316097e-07,2.1567435e-07,1.2225156e-10,0.92158914,6.4810216e-08,5.384027e-08,9.327975e-11,3.0369818e-11,3.92981e-10,1.4521657e-11,3.4477668e-07,6.476222e-08,7.3099987e-10,3.447226e-07,0.17724797
1.3307915e-07,5.545294e-11,1.0357055e-07,6.931557e-08,1.7706715e-07,2.83382e-10,1.33382e-07,2.0476393e-11,9.1787015e-08,3.6052838e-11,1.2999142e-07,1.7262846e-07,6.881703e-11,4.6277995e-07,1.3406773e-07,1.1256645e-07,1.1305176e-07,4.8295135e-11,1.1334161e-07,1.1489927e-07,1.7581624e-10,2.1701548e-07,1.5267791e-10,3.4471472e-07,0.92158914,1.0326991e-07,1.01145794e-07,4.2912715e-11,1.3971428e-11,1.2977172e-07,3.447643e-07,1.0628116e-12,1.0336326e-07,1.299272e-07,6.233192e-12,0.17724794
