bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153700_6_0,B153700,B153700,6,B153700_6,0,1.93,0.64,683700.72,248211.83,479.08,-0.27,-0.52,0.81,-121.27,35.79,1245548.79,roof,35.79,0.00,0.64,1,6,5
B153700_6_1,B153700,B153700,6,B153700_6,1,1.93,0.64,683700.86,248213.50,480.20,-0.27,-0.52,0.81,-121.27,35.79,1247875.09,roof,35.79,0.00,0.64,1,6,5
B153700_6_2,B153700,B153700,6,B153700_6,2,1.93,0.64,683701.02,248214.71,481.03,-0.27,-0.52,0.81,-121.27,35.79,1250243.94,roof,35.79,0.00,0.64,1,6,5
B153700_7_0,B153700,B153700,7,B153700_7,0,1.90,0.63,683700.76,248214.31,480.69,-0.22,-0.53,0.82,-122.17,35.22,1256683.10,roof,35.22,0.00,0.63,1,6,5
B153700_7_1,B153700,B153700,7,B153700_7,1,1.90,0.63,683700.26,248212.69,479.51,-0.22,-0.53,0.82,-122.17,35.22,1253458.55,roof,35.22,0.00,0.63,1,6,5
B153700_7_2,B153700,B153700,7,B153700_7,2,1.90,0.63,683700.03,248211.60,478.73,-0.22,-0.53,0.82,-122.17,35.22,1251681.74,roof,35.22,0.00,0.63,1,6,5
B153700_8_0,B153700,B153700,8,B153700_8,0,2.79,0.31,683695.95,248224.19,481.32,-0.01,-0.00,1.00,0.00,0.45,1115356.18,roof,15.22,1.98,0.16,5,6,5
B153700_8_1,B153700,B153700,8,B153700_8,1,2.79,0.31,683694.98,248225.94,481.32,-0.01,-0.00,1.00,0.00,0.45,1115356.18,roof,15.22,1.98,0.16,5,6,5
B153700_8_2,B153700,B153700,8,B153700_8,2,2.79,0.31,683698.09,248220.45,481.32,-0.01,-0.00,1.00,0.00,0.45,1115356.17,roof,15.22,1.98,0.16,5,6,5
B153700_8_3,B153700,B153700,8,B153700_8,3,2.79,0.31,683697.23,248222.16,481.32,-0.01,-0.00,1.00,0.00,0.45,1115356.18,roof,15.22,1.98,0.16,5,6,5
B153700_8_4,B153700,B153700,8,B153700_8,4,2.79,0.31,683696.59,248223.31,481.32,-0.01,-0.00,1.00,0.00,0.45,1115356.18,roof,15.22,1.98,0.16,5,6,5
B153700_8_5,B153700,B153700,8,B153700_8,5,2.79,0.31,683700.24,248216.70,481.32,-0.01,-0.00,1.00,0.00,0.45,1115356.18,roof,15.22,1.98,0.16,5,6,5
B153700_8_6,B153700,B153700,8,B153700_8,6,2.79,0.31,683699.61,248218.16,481.32,-0.01,-0.00,1.00,0.00,0.45,1115356.26,roof,15.22,1.98,0.16,5,6,5
B153700_8_7,B153700,B153700,8,B153700_8,7,2.79,0.31,683698.82,248219.68,481.32,-0.01,-0.00,1.00,0.00,0.45,1115356.18,roof,15.22,1.98,0.16,5,6,5
