,Area,PV_kWh
0,89.55,0.00
1,89.55,0.00
2,89.55,0.00
3,89.55,0.00
4,89.55,0.00
5,89.55,0.00
6,89.55,0.00
7,89.55,0.00
8,89.55,0.00
9,89.55,0.62
10,89.55,1.46
11,89.55,2.33
12,89.55,2.67
13,89.55,2.72
14,89.55,2.26
15,89.55,2.16
16,89.55,0.00
17,89.55,0.00
18,89.55,0.00
19,89.55,0.00
20,89.55,0.00
21,89.55,0.00
22,89.55,0.00
23,89.55,0.00
24,89.55,0.00
25,89.55,0.00
26,89.55,0.00
27,89.55,0.00
28,89.55,0.00
29,89.55,0.00
30,89.55,0.00
31,89.55,0.00
32,89.55,0.00
33,89.55,0.00
34,89.55,0.67
35,89.55,0.85
36,89.55,0.66
37,89.55,0.65
38,89.55,0.32
39,89.55,0.00
40,89.55,0.00
41,89.55,0.00
42,89.55,0.00
43,89.55,0.00
44,89.55,0.00
45,89.55,0.00
46,89.55,0.00
47,89.55,0.00
48,89.55,0.00
49,89.55,0.00
50,89.55,0.00
51,89.55,0.00
52,89.55,0.00
53,89.55,0.00
54,89.55,0.00
55,89.55,0.00
56,89.55,0.00
57,89.55,0.70
58,89.55,1.58
59,89.55,2.09
60,89.55,2.69
61,89.55,3.89
62,89.55,4.31
63,89.55,3.28
64,89.55,0.00
65,89.55,0.00
66,89.55,0.00
67,89.55,0.00
68,89.55,0.00
69,89.55,0.00
70,89.55,0.00
71,89.55,0.00
72,89.55,0.00
73,89.55,0.00
74,89.55,0.00
75,89.55,0.00
76,89.55,0.00
77,89.55,0.00
78,89.55,0.00
79,89.55,0.00
80,89.55,0.00
81,89.55,0.96
82,89.55,2.53
83,89.55,4.50
84,89.55,5.92
85,89.55,6.05
86,89.55,6.20
87,89.55,3.34
88,89.55,0.00
89,89.55,0.00
90,89.55,0.00
91,89.55,0.00
92,89.55,0.00
93,89.55,0.00
94,89.55,0.00
95,89.55,0.00
96,89.55,0.00
97,89.55,0.00
98,89.55,0.00
99,89.55,0.00
100,89.55,0.00
101,89.55,0.00
102,89.55,0.00
103,89.55,0.00
104,89.55,0.00
105,89.55,0.00
106,89.55,0.14
107,89.55,0.78
108,89.55,0.86
109,89.55,0.80
110,89.55,0.64
111,89.55,0.00
112,89.55,0.00
113,89.55,0.00
114,89.55,0.00
115,89.55,0.00
116,89.55,0.00
117,89.55,0.00
118,89.55,0.00
119,89.55,0.00
120,89.55,0.00
121,89.55,0.00
122,89.55,0.00
123,89.55,0.00
124,89.55,0.00
125,89.55,0.00
126,89.55,0.00
127,89.55,0.00
128,89.55,0.00
129,89.55,0.70
130,89.55,1.60
131,89.55,2.66
132,89.55,3.30
133,89.55,4.22
134,89.55,3.09
135,89.55,2.19
136,89.55,0.00
137,89.55,0.00
138,89.55,0.00
139,89.55,0.00
140,89.55,0.00
141,89.55,0.00
142,89.55,0.00
143,89.55,0.00
144,89.55,0.00
145,89.55,0.00
146,89.55,0.00
147,89.55,0.00
148,89.55,0.00
149,89.55,0.00
150,89.55,0.00
151,89.55,0.00
152,89.55,0.00
153,89.55,0.14
154,89.55,1.02
155,89.55,1.07
156,89.55,1.80
