bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153695_28_0,B153695,B153695,28,B153695_28,0,37.14,1.95,683663.95,248211.88,475.10,-0.61,-0.35,0.71,-110.49,44.53,1118410.99,roof,44.53,0.00,1.95,1,6,5
B153695_28_1,B153695,B153695,28,B153695_28,1,37.14,1.95,683663.33,248213.13,475.19,-0.61,-0.35,0.71,-110.49,44.53,1118883.30,roof,44.53,0.00,1.95,1,6,5
B153695_28_2,B153695,B153695,28,B153695_28,2,37.14,1.95,683662.56,248215.00,475.46,-0.61,-0.35,0.71,-110.49,44.53,1118962.47,roof,44.53,0.00,1.95,1,6,5
B153695_28_3,B153695,B153695,28,B153695_28,3,37.14,1.95,683662.19,248216.43,475.84,-0.61,-0.35,0.71,-110.49,44.53,1121111.11,roof,44.53,0.00,1.95,1,6,5
B153695_28_4,B153695,B153695,28,B153695_28,4,37.14,1.95,683666.34,248207.72,475.10,-0.61,-0.35,0.71,-110.49,44.53,1113809.02,roof,44.53,0.00,1.95,1,6,5
B153695_28_5,B153695,B153695,28,B153695_28,5,37.14,1.95,683665.62,248209.38,475.31,-0.61,-0.35,0.71,-110.49,44.53,1114789.56,roof,44.53,0.00,1.95,1,6,5
B153695_28_6,B153695,B153695,28,B153695_28,6,37.14,1.95,683664.96,248211.26,475.67,-0.61,-0.35,0.71,-110.49,44.53,1118872.18,roof,44.53,0.00,1.95,1,6,5
B153695_28_7,B153695,B153695,28,B153695_28,7,37.14,1.95,683664.51,248213.13,476.20,-0.61,-0.35,0.71,-110.49,44.53,1119635.15,roof,44.53,0.00,1.95,1,6,5
B153695_28_8,B153695,B153695,28,B153695_28,8,37.14,1.95,683664.06,248215.00,476.73,-0.61,-0.35,0.71,-110.49,44.53,1121884.26,roof,44.53,0.00,1.95,1,6,5
B153695_28_9,B153695,B153695,28,B153695_28,9,37.14,1.95,683663.61,248216.83,477.25,-0.61,-0.35,0.71,-110.49,44.53,1122124.72,roof,44.53,0.00,1.95,1,6,5
