bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153749_38_0,B153749,B153749,38,B153749_38,0,6.15,2.05,683737.99,248246.58,477.54,-0.01,0.00,1.00,0.00,0.79,1088239.34,roof,15.22,1.98,1.05,5,6,5
B153749_38_1,B153749,B153749,38,B153749_38,1,6.15,2.05,683738.19,248248.36,477.54,-0.01,0.00,1.00,0.00,0.79,1085694.45,roof,15.22,1.98,1.05,5,6,5
B153749_38_2,B153749,B153749,38,B153749_38,2,6.15,2.05,683736.19,248246.51,477.51,-0.01,0.00,1.00,0.00,0.79,1056104.27,roof,15.22,1.98,1.05,5,6,5
B153749_39_0,B153749,B153749,39,B153749_39,0,6.47,1.62,683737.30,248247.55,477.52,-0.01,0.00,1.00,0.00,0.81,1079626.12,roof,15.22,1.98,0.83,5,6,5
B153749_39_1,B153749,B153749,39,B153749_39,1,6.47,1.62,683738.06,248248.59,477.53,-0.01,0.00,1.00,0.00,0.81,1079581.86,roof,15.22,1.98,0.83,5,6,5
B153749_39_2,B153749,B153749,39,B153749_39,2,6.47,1.62,683736.19,248246.77,477.51,-0.01,0.00,1.00,0.00,0.81,1055908.90,roof,15.22,1.98,0.83,5,6,5
B153749_39_3,B153749,B153749,39,B153749_39,3,6.47,1.62,683736.30,248248.69,477.51,-0.01,0.00,1.00,0.00,0.81,1055562.71,roof,15.22,1.98,0.83,5,6,5
B153749_40_0,B153749,B153749,40,B153749_40,0,6.10,1.22,683734.62,248247.35,478.28,0.65,-0.07,0.76,94.24,40.83,1051815.85,roof,40.83,0.00,1.22,2,6,5
B153749_40_1,B153749,B153749,40,B153749_40,1,6.10,1.22,683734.17,248248.75,478.80,0.65,-0.07,0.76,94.24,40.83,1046930.06,roof,40.83,0.00,1.22,2,6,5
B153749_40_2,B153749,B153749,40,B153749_40,2,6.10,1.22,683733.89,248249.79,479.15,0.65,-0.07,0.76,94.24,40.83,1044080.96,roof,40.83,0.00,1.22,2,6,5
B153749_40_3,B153749,B153749,40,B153749_40,3,6.10,1.22,683735.18,248246.76,477.74,0.65,-0.07,0.76,94.24,40.83,1059123.00,roof,40.83,0.00,1.22,2,6,5
B153749_40_4,B153749,B153749,40,B153749_40,4,6.10,1.22,683735.34,248248.72,477.80,0.65,-0.07,0.76,94.24,40.83,1061863.77,roof,40.83,0.00,1.22,2,6,5
B153749_41_0,B153749,B153749,41,B153749_41,0,10.64,1.52,683733.54,248244.07,478.95,0.66,-0.06,0.75,93.66,41.63,1029236.58,roof,41.63,0.00,1.52,2,6,5
B153749_41_1,B153749,B153749,41,B153749_41,1,10.64,1.52,683733.69,248246.07,478.99,0.66,-0.06,0.75,93.66,41.63,1033307.01,roof,41.63,0.00,1.52,2,6,5
B153749_41_2,B153749,B153749,41,B153749_41,2,10.64,1.52,683733.83,248248.06,479.04,0.66,-0.06,0.75,93.66,41.63,1037522.42,roof,41.63,0.00,1.52,2,6,5
B153749_41_3,B153749,B153749,41,B153749_41,3,10.64,1.52,683733.60,248249.45,479.36,0.66,-0.06,0.75,93.66,41.63,1035114.12,roof,41.63,0.00,1.52,2,6,5
B153749_41_4,B153749,B153749,41,B153749_41,4,10.64,1.52,683734.51,248244.87,478.16,0.66,-0.06,0.75,93.66,41.63,1037739.18,roof,41.63,0.00,1.52,2,6,5
B153749_41_5,B153749,B153749,41,B153749_41,5,10.64,1.52,683734.89,248246.07,477.94,0.66,-0.06,0.75,93.66,41.63,1046357.43,roof,41.63,0.00,1.52,2,6,5
B153749_41_6,B153749,B153749,41,B153749_41,6,10.64,1.52,683734.60,248247.39,478.30,0.66,-0.06,0.75,93.66,41.63,1045628.79,roof,41.63,0.00,1.52,2,6,5
B153749_42_0,B153749,B153749,42,B153749_42,0,14.73,1.64,683732.59,248248.84,479.57,0.00,0.00,1.00,0.00,0.25,1070379.02,roof,15.22,1.98,0.84,5,6,5
B153749_42_1,B153749,B153749,42,B153749_42,1,14.73,1.64,683732.27,248246.84,479.58,0.00,0.00,1.00,0.00,0.25,1070709.61,roof,15.22,1.98,0.84,5,6,5
B153749_42_2,B153749,B153749,42,B153749_42,2,14.73,1.64,683730.80,248246.57,479.58,0.00,0.00,1.00,0.00,0.25,1084372.26,roof,15.22,1.98,0.84,5,6,5
B153749_42_3,B153749,B153749,42,B153749_42,3,14.73,1.64,683732.17,248244.84,479.58,0.00,0.00,1.00,0.00,0.25,1088357.83,roof,15.22,1.98,0.84,5,6,5
B153749_42_4,B153749,B153749,42,B153749_42,4,14.73,1.64,683730.38,248244.84,479.59,0.00,0.00,1.00,0.00,0.25,1085639.37,roof,15.22,1.98,0.84,5,6,5
B153749_42_5,B153749,B153749,42,B153749_42,5,14.73,1.64,683729.02,248244.30,479.59,0.00,0.00,1.00,0.00,0.25,1111420.38,roof,15.22,1.98,0.84,5,6,5
B153749_42_6,B153749,B153749,42,B153749_42,6,14.73,1.64,683732.07,248243.46,479.59,0.00,0.00,1.00,0.00,0.25,1106882.29,roof,15.22,1.98,0.84,5,6,5
B153749_42_7,B153749,B153749,42,B153749_42,7,14.73,1.64,683730.38,248243.52,479.59,0.00,0.00,1.00,0.00,0.25,1108781.58,roof,15.22,1.98,0.84,5,6,5
B153749_42_8,B153749,B153749,42,B153749_42,8,14.73,1.64,683728.88,248243.62,479.59,0.00,0.00,1.00,0.00,0.25,1110152.48,roof,15.22,1.98,0.84,5,6,5
B153749_43_0,B153749,B153749,43,B153749_43,0,14.97,1.66,683732.38,248249.15,479.57,0.00,0.00,1.00,0.00,0.25,1101917.95,roof,15.22,1.98,0.85,5,6,5
B153749_43_1,B153749,B153749,43,B153749_43,1,14.97,1.66,683730.38,248249.25,479.57,0.00,0.00,1.00,0.00,0.25,1102581.21,roof,15.22,1.98,0.85,5,6,5
B153749_43_2,B153749,B153749,43,B153749_43,2,14.97,1.66,683729.10,248249.27,479.57,0.00,0.00,1.00,0.00,0.25,1102694.24,roof,15.22,1.98,0.85,5,6,5
B153749_43_3,B153749,B153749,43,B153749_43,3,14.97,1.66,683731.75,248247.78,479.57,0.00,0.00,1.00,0.00,0.25,1104510.93,roof,15.22,1.98,0.85,5,6,5
B153749_43_4,B153749,B153749,43,B153749_43,4,14.97,1.66,683730.38,248247.27,479.57,0.00,0.00,1.00,0.00,0.25,1105432.11,roof,15.22,1.98,0.85,5,6,5
B153749_43_5,B153749,B153749,43,B153749_43,5,14.97,1.66,683729.00,248247.27,479.58,0.00,0.00,1.00,0.00,0.25,1105910.85,roof,15.22,1.98,0.85,5,6,5
B153749_43_6,B153749,B153749,43,B153749_43,6,14.97,1.66,683729.97,248245.51,479.58,0.00,0.00,1.00,0.00,0.25,1108448.42,roof,15.22,1.98,0.85,5,6,5
B153749_43_7,B153749,B153749,43,B153749_43,7,14.97,1.66,683728.91,248245.27,479.58,0.00,0.00,1.00,0.00,0.25,1109571.71,roof,15.22,1.98,0.85,5,6,5
