bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153692_24_0,B153692,B153692,24,B153692_24,0,41.03,2.05,683686.89,248172.08,471.39,-0.63,-0.36,0.68,-111.23,46.96,1119592.14,roof,46.96,0.00,2.05,1,6,5
B153692_24_1,B153692,B153692,24,B153692_24,1,41.03,2.05,683686.12,248173.93,471.65,-0.63,-0.36,0.68,-111.23,46.96,1112771.28,roof,46.96,0.00,2.05,1,6,5
B153692_24_2,B153692,B153692,24,B153692_24,2,41.03,2.05,683685.35,248175.41,471.72,-0.63,-0.36,0.68,-111.23,46.96,1105654.98,roof,46.96,0.00,2.05,1,6,5
B153692_24_3,B153692,B153692,24,B153692_24,3,41.03,2.05,683689.85,248166.89,471.39,-0.63,-0.36,0.68,-111.23,46.96,1027702.11,roof,46.96,0.00,2.05,1,6,5
B153692_24_4,B153692,B153692,24,B153692_24,4,41.03,2.05,683689.19,248168.34,471.53,-0.63,-0.36,0.68,-111.23,46.96,1083323.57,roof,46.96,0.00,2.05,1,6,5
B153692_24_5,B153692,B153692,24,B153692_24,5,41.03,2.05,683688.41,248170.20,471.80,-0.63,-0.36,0.68,-111.23,46.96,1122579.60,roof,46.96,0.00,2.05,1,6,5
B153692_24_6,B153692,B153692,24,B153692_24,6,41.03,2.05,683687.91,248172.07,472.33,-0.63,-0.36,0.68,-111.23,46.96,1108987.34,roof,46.96,0.00,2.05,1,6,5
B153692_24_7,B153692,B153692,24,B153692_24,7,41.03,2.05,683687.43,248173.71,472.75,-0.63,-0.36,0.68,-111.23,46.96,1103644.26,roof,46.96,0.00,2.05,1,6,5
B153692_24_9,B153692,B153692,24,B153692_24,9,41.03,2.05,683690.36,248168.34,472.63,-0.63,-0.36,0.68,-111.23,46.96,1075502.70,roof,46.96,0.00,2.05,1,6,5
B153692_24_10,B153692,B153692,24,B153692_24,10,41.03,2.05,683689.87,248170.20,473.16,-0.63,-0.36,0.68,-111.23,46.96,1107632.55,roof,46.96,0.00,2.05,1,6,5
B153692_24_11,B153692,B153692,24,B153692_24,11,41.03,2.05,683689.39,248172.02,473.67,-0.63,-0.36,0.68,-111.23,46.96,1115147.19,roof,46.96,0.00,2.05,1,6,5
B153692_24_13,B153692,B153692,24,B153692_24,13,41.03,2.05,683691.83,248168.34,473.99,-0.63,-0.36,0.68,-111.23,46.96,1085099.88,roof,46.96,0.00,2.05,1,6,5
B153692_24_14,B153692,B153692,24,B153692_24,14,41.03,2.05,683691.33,248170.20,474.52,-0.63,-0.36,0.68,-111.23,46.96,1110145.34,roof,46.96,0.00,2.05,1,6,5
B153692_24_15,B153692,B153692,24,B153692_24,15,41.03,2.05,683690.44,248171.26,474.25,-0.63,-0.36,0.68,-111.23,46.96,1115791.79,roof,46.96,0.00,2.05,1,6,5
B153692_24_17,B153692,B153692,24,B153692_24,17,41.03,2.05,683693.29,248168.34,475.35,-0.63,-0.36,0.68,-111.23,46.96,1090745.12,roof,46.96,0.00,2.05,1,6,5
B153692_24_18,B153692,B153692,24,B153692_24,18,41.03,2.05,683692.52,248169.56,475.28,-0.63,-0.36,0.68,-111.23,46.96,1109431.92,roof,46.96,0.00,2.05,1,6,5
B153692_25_0,B153692,B153692,25,B153692_25,0,41.97,2.00,683693.77,248168.68,475.98,-0.63,-0.36,0.68,-111.19,46.91,1107112.74,roof,46.91,0.00,2.00,1,6,5
B153692_25_1,B153692,B153692,25,B153692_25,1,41.97,2.00,683692.99,248170.54,476.24,-0.63,-0.36,0.68,-111.19,46.91,1117005.70,roof,46.91,0.00,2.00,1,6,5
B153692_25_2,B153692,B153692,25,B153692_25,2,41.97,2.00,683692.32,248172.01,476.39,-0.63,-0.36,0.68,-111.19,46.91,1122348.59,roof,46.91,0.00,2.00,1,6,5
B153692_25_3,B153692,B153692,25,B153692_25,3,41.97,2.00,683692.67,248169.44,475.36,-0.63,-0.36,0.68,-111.19,46.91,1108358.36,roof,46.91,0.00,2.00,1,6,5
B153692_25_4,B153692,B153692,25,B153692_25,4,41.97,2.00,683691.81,248170.54,475.15,-0.63,-0.36,0.68,-111.19,46.91,1114689.43,roof,46.91,0.00,2.00,1,6,5
B153692_25_5,B153692,B153692,25,B153692_25,5,41.97,2.00,683691.32,248172.41,475.68,-0.63,-0.36,0.68,-111.19,46.91,1122594.85,roof,46.91,0.00,2.00,1,6,5
B153692_25_6,B153692,B153692,25,B153692_25,6,41.97,2.00,683690.71,248174.27,476.09,-0.63,-0.36,0.68,-111.19,46.91,1129982.05,roof,46.91,0.00,2.00,1,6,5
B153692_25_7,B153692,B153692,25,B153692_25,7,41.97,2.00,683689.93,248176.14,476.36,-0.63,-0.36,0.68,-111.19,46.91,1137046.09,roof,46.91,0.00,2.00,1,6,5
B153692_25_8,B153692,B153692,25,B153692_25,8,41.97,2.00,683689.36,248177.20,476.39,-0.63,-0.36,0.68,-111.19,46.91,1140871.95,roof,46.91,0.00,2.00,1,6,5
B153692_25_9,B153692,B153692,25,B153692_25,9,41.97,2.00,683690.59,248171.13,474.33,-0.63,-0.36,0.68,-111.19,46.91,1115285.47,roof,46.91,0.00,2.00,1,6,5
B153692_25_10,B153692,B153692,25,B153692_25,10,41.97,2.00,683689.86,248172.41,474.31,-0.63,-0.36,0.68,-111.19,46.91,1120015.85,roof,46.91,0.00,2.00,1,6,5
B153692_25_11,B153692,B153692,25,B153692_25,11,41.97,2.00,683689.36,248174.27,474.84,-0.63,-0.36,0.68,-111.19,46.91,1127843.58,roof,46.91,0.00,2.00,1,6,5
B153692_25_12,B153692,B153692,25,B153692_25,12,41.97,2.00,683688.87,248176.14,475.37,-0.63,-0.36,0.68,-111.19,46.91,1135363.82,roof,46.91,0.00,2.00,1,6,5
B153692_25_13,B153692,B153692,25,B153692_25,13,41.97,2.00,683688.45,248177.73,475.83,-0.63,-0.36,0.68,-111.19,46.91,1144087.55,roof,46.91,0.00,2.00,1,6,5
B153692_25_14,B153692,B153692,25,B153692_25,14,41.97,2.00,683688.52,248172.83,473.29,-0.63,-0.36,0.68,-111.19,46.91,1115554.85,roof,46.91,0.00,2.00,1,6,5
B153692_25_15,B153692,B153692,25,B153692_25,15,41.97,2.00,683687.90,248174.27,473.48,-0.63,-0.36,0.68,-111.19,46.91,1117280.41,roof,46.91,0.00,2.00,1,6,5
B153692_25_16,B153692,B153692,25,B153692_25,16,41.97,2.00,683687.41,248176.14,474.01,-0.63,-0.36,0.68,-111.19,46.91,1132515.40,roof,46.91,0.00,2.00,1,6,5
B153692_25_18,B153692,B153692,25,B153692_25,18,41.97,2.00,683686.44,248174.52,472.26,-0.63,-0.36,0.68,-111.19,46.91,1120224.65,roof,46.91,0.00,2.00,1,6,5
B153692_25_19,B153692,B153692,25,B153692_25,19,41.97,2.00,683685.95,248176.11,472.64,-0.63,-0.36,0.68,-111.19,46.91,1118072.16,roof,46.91,0.00,2.00,1,6,5
B153692_25_20,B153692,B153692,25,B153692_25,20,41.97,2.00,683685.01,248175.80,471.61,-0.63,-0.36,0.68,-111.19,46.91,1106389.38,roof,46.91,0.00,2.00,1,6,5
B153692_26_0,B153692,B153692,26,B153692_26,0,16.00,1.14,683690.50,248175.35,476.42,-0.00,-0.00,1.00,0.00,0.06,1113585.47,roof,15.22,1.98,0.58,5,6,5
B153692_26_1,B153692,B153692,26,B153692_26,1,16.00,1.14,683689.93,248176.78,476.42,-0.00,-0.00,1.00,0.00,0.06,1113586.35,roof,15.22,1.98,0.58,5,6,5
B153692_26_2,B153692,B153692,26,B153692_26,2,16.00,1.14,683689.04,248178.10,476.42,-0.00,-0.00,1.00,0.00,0.06,1112054.35,roof,15.22,1.98,0.58,5,6,5
B153692_26_3,B153692,B153692,26,B153692_26,3,16.00,1.14,683692.64,248171.59,476.42,-0.00,-0.00,1.00,0.00,0.06,1112683.04,roof,15.22,1.98,0.58,5,6,5
B153692_26_4,B153692,B153692,26,B153692_26,4,16.00,1.14,683692.07,248172.78,476.42,-0.00,-0.00,1.00,0.00,0.06,1113581.41,roof,15.22,1.98,0.58,5,6,5
B153692_26_5,B153692,B153692,26,B153692_26,5,16.00,1.14,683691.75,248174.78,476.42,-0.00,-0.00,1.00,0.00,0.06,1113581.32,roof,15.22,1.98,0.58,5,6,5
B153692_26_6,B153692,B153692,26,B153692_26,6,16.00,1.14,683690.93,248175.98,476.42,-0.00,-0.00,1.00,0.00,0.06,1113583.22,roof,15.22,1.98,0.58,5,6,5
B153692_26_7,B153692,B153692,26,B153692_26,7,16.00,1.14,683694.21,248168.84,476.42,-0.00,-0.00,1.00,0.00,0.06,1090932.28,roof,15.22,1.98,0.58,5,6,5
