bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153694_56_0,B153694,B153694,56,B153694_56,0,5.91,0.99,683670.49,248208.15,478.92,-0.61,-0.34,0.72,-109.83,44.24,1124230.61,roof,44.24,0.00,0.99,1,6,5
B153694_56_1,B153694,B153694,56,B153694_56,1,5.91,0.99,683671.02,248209.02,479.78,-0.61,-0.34,0.72,-109.83,44.24,1123391.49,roof,44.24,0.00,0.99,1,6,5
B153694_56_2,B153694,B153694,56,B153694_56,2,5.91,0.99,683669.33,248206.33,477.08,-0.61,-0.34,0.72,-109.83,44.24,1104717.81,roof,44.24,0.00,0.99,1,6,5
B153694_56_3,B153694,B153694,56,B153694_56,3,5.91,0.99,683669.09,248207.69,477.52,-0.61,-0.34,0.72,-109.83,44.24,1117672.47,roof,44.24,0.00,0.99,1,6,5
B153694_56_4,B153694,B153694,56,B153694_56,4,5.91,0.99,683668.23,248206.17,476.06,-0.61,-0.34,0.72,-109.83,44.24,1101731.68,roof,44.24,0.00,0.99,1,6,5
B153694_56_5,B153694,B153694,56,B153694_56,5,5.91,0.99,683668.03,248207.31,476.43,-0.61,-0.34,0.72,-109.83,44.24,1113055.80,roof,44.24,0.00,0.99,1,6,5
B153694_57_0,B153694,B153694,57,B153694_57,0,16.86,1.87,683669.39,248205.25,476.60,-0.61,-0.34,0.72,-109.99,44.16,1066588.92,roof,44.16,0.00,1.87,1,6,5
B153694_57_1,B153694,B153694,57,B153694_57,1,16.86,1.87,683669.33,248206.33,477.07,-0.61,-0.34,0.72,-109.99,44.16,1105525.51,roof,44.16,0.00,1.87,1,6,5
B153694_57_2,B153694,B153694,57,B153694_57,2,16.86,1.87,683670.96,248205.03,477.84,-0.61,-0.34,0.72,-109.99,44.16,1075107.20,roof,44.16,0.00,1.87,1,6,5
B153694_57_3,B153694,B153694,57,B153694_57,3,16.86,1.87,683670.59,248206.63,478.28,-0.61,-0.34,0.72,-109.99,44.16,1121199.41,roof,44.16,0.00,1.87,1,6,5
B153694_57_4,B153694,B153694,57,B153694_57,4,16.86,1.87,683670.49,248208.15,478.92,-0.61,-0.34,0.72,-109.99,44.16,1125314.15,roof,44.16,0.00,1.87,1,6,5
