bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153750_20_0,B153750,B153750,20,B153750_20,0,13.36,1.48,683732.87,248255.03,479.59,-0.00,-0.00,1.00,0.00,0.23,1114770.71,roof,15.22,1.98,0.76,5,6,5
B153750_20_1,B153750,B153750,20,B153750_20,1,13.36,1.48,683730.87,248255.12,479.59,-0.00,-0.00,1.00,0.00,0.23,1114771.91,roof,15.22,1.98,0.76,5,6,5
B153750_20_2,B153750,B153750,20,B153750_20,2,13.36,1.48,683729.63,248255.14,479.58,-0.00,-0.00,1.00,0.00,0.23,1114772.63,roof,15.22,1.98,0.76,5,6,5
B153750_20_3,B153750,B153750,20,B153750_20,3,13.36,1.48,683732.20,248253.76,479.58,-0.00,-0.00,1.00,0.00,0.23,1114751.03,roof,15.22,1.98,0.76,5,6,5
B153750_20_4,B153750,B153750,20,B153750_20,4,13.36,1.48,683730.87,248253.14,479.58,-0.00,-0.00,1.00,0.00,0.23,1114752.07,roof,15.22,1.98,0.76,5,6,5
B153750_20_5,B153750,B153750,20,B153750_20,5,13.36,1.48,683729.54,248253.14,479.58,-0.00,-0.00,1.00,0.00,0.23,1114752.68,roof,15.22,1.98,0.76,5,6,5
B153750_20_6,B153750,B153750,20,B153750_20,6,13.36,1.48,683730.35,248251.58,479.57,-0.00,-0.00,1.00,0.00,0.23,1114752.73,roof,15.22,1.98,0.76,5,6,5
B153750_20_7,B153750,B153750,20,B153750_20,7,13.36,1.48,683729.44,248251.14,479.57,-0.00,-0.00,1.00,0.00,0.23,1114753.23,roof,15.22,1.98,0.76,5,6,5
B153750_20_8,B153750,B153750,20,B153750_20,8,13.36,1.48,683729.06,248250.07,479.56,-0.00,-0.00,1.00,0.00,0.23,1114753.68,roof,15.22,1.98,0.76,5,6,5
B153750_21_0,B153750,B153750,21,B153750_21,0,13.36,1.67,683733.02,248254.72,479.59,-0.00,-0.01,1.00,0.00,0.29,1115343.38,roof,15.22,1.98,0.85,5,6,5
B153750_21_1,B153750,B153750,21,B153750_21,1,13.36,1.67,683732.78,248252.72,479.58,-0.00,-0.01,1.00,0.00,0.29,1115344.08,roof,15.22,1.98,0.85,5,6,5
B153750_21_2,B153750,B153750,21,B153750_21,2,13.36,1.67,683731.17,248252.55,479.58,-0.00,-0.01,1.00,0.00,0.29,1115344.85,roof,15.22,1.98,0.85,5,6,5
B153750_21_3,B153750,B153750,21,B153750_21,3,13.36,1.67,683732.69,248250.72,479.57,-0.00,-0.01,1.00,0.00,0.29,1115344.65,roof,15.22,1.98,0.85,5,6,5
B153750_21_4,B153750,B153750,21,B153750_21,4,13.36,1.67,683730.87,248250.72,479.57,-0.00,-0.01,1.00,0.00,0.29,1115345.46,roof,15.22,1.98,0.85,5,6,5
B153750_21_5,B153750,B153750,21,B153750_21,5,13.36,1.67,683729.44,248250.47,479.57,-0.00,-0.01,1.00,0.00,0.29,1115346.38,roof,15.22,1.98,0.85,5,6,5
B153750_21_6,B153750,B153750,21,B153750_21,6,13.36,1.67,683732.60,248249.65,479.56,-0.00,-0.01,1.00,0.00,0.29,1115345.00,roof,15.22,1.98,0.85,5,6,5
B153750_21_7,B153750,B153750,21,B153750_21,7,13.36,1.67,683731.87,248249.72,479.56,-0.00,-0.01,1.00,0.00,0.29,1115345.28,roof,15.22,1.98,0.85,5,6,5
B153750_24_0,B153750,B153750,24,B153750_24,0,9.83,1.64,683734.15,248250.57,478.96,0.65,-0.06,0.76,93.64,40.77,1040447.32,roof,40.77,0.00,1.64,2,6,5
B153750_24_1,B153750,B153750,24,B153750_24,1,9.83,1.64,683734.31,248252.57,478.99,0.65,-0.06,0.76,93.64,40.77,1037424.68,roof,40.77,0.00,1.64,2,6,5
B153750_24_2,B153750,B153750,24,B153750_24,2,9.83,1.64,683734.44,248254.56,479.04,0.65,-0.06,0.76,93.64,40.77,1033874.81,roof,40.77,0.00,1.64,2,6,5
B153750_24_3,B153750,B153750,24,B153750_24,3,9.83,1.64,683734.00,248255.64,479.51,0.65,-0.06,0.76,93.64,40.77,1030873.82,roof,40.77,0.00,1.64,2,6,5
