,Area,PV_kWh
0,88.96,0.00
1,88.96,0.00
2,88.96,0.00
3,88.96,0.00
4,88.96,0.00
5,88.96,0.00
6,88.96,0.00
7,88.96,0.00
8,88.96,0.00
9,88.96,0.42
10,88.96,1.31
11,88.96,2.16
12,88.96,2.60
13,88.96,2.70
14,88.96,2.28
15,88.96,2.22
16,88.96,0.00
17,88.96,0.00
18,88.96,0.00
19,88.96,0.00
20,88.96,0.00
21,88.96,0.00
22,88.96,0.00
23,88.96,0.00
24,88.96,0.00
25,88.96,0.00
26,88.96,0.00
27,88.96,0.00
28,88.96,0.00
29,88.96,0.00
30,88.96,0.00
31,88.96,0.00
32,88.96,0.00
33,88.96,0.00
34,88.96,0.65
35,88.96,0.83
36,88.96,0.64
37,88.96,0.62
38,88.96,0.29
39,88.96,0.00
40,88.96,0.00
41,88.96,0.00
42,88.96,0.00
43,88.96,0.00
44,88.96,0.00
45,88.96,0.00
46,88.96,0.00
47,88.96,0.00
48,88.96,0.00
49,88.96,0.00
50,88.96,0.00
51,88.96,0.00
52,88.96,0.00
53,88.96,0.00
54,88.96,0.00
55,88.96,0.00
56,88.96,0.00
57,88.96,0.61
58,88.96,1.29
59,88.96,1.92
60,88.96,2.62
61,88.96,3.84
62,88.96,4.34
63,88.96,3.37
64,88.96,0.00
65,88.96,0.00
66,88.96,0.00
67,88.96,0.00
68,88.96,0.00
69,88.96,0.00
70,88.96,0.00
71,88.96,0.00
72,88.96,0.00
73,88.96,0.00
74,88.96,0.00
75,88.96,0.00
76,88.96,0.00
77,88.96,0.00
78,88.96,0.00
79,88.96,0.00
80,88.96,0.00
81,88.96,0.86
82,88.96,1.89
83,88.96,4.06
84,88.96,5.86
85,88.96,6.05
86,88.96,6.23
87,88.96,3.39
88,88.96,0.00
89,88.96,0.00
90,88.96,0.00
91,88.96,0.00
92,88.96,0.00
93,88.96,0.00
94,88.96,0.00
95,88.96,0.00
96,88.96,0.00
97,88.96,0.00
98,88.96,0.00
99,88.96,0.00
100,88.96,0.00
101,88.96,0.00
102,88.96,0.00
103,88.96,0.00
104,88.96,0.00
105,88.96,0.00
106,88.96,0.13
107,88.96,0.76
108,88.96,0.84
109,88.96,0.78
110,88.96,0.61
111,88.96,0.00
112,88.96,0.00
113,88.96,0.00
114,88.96,0.00
115,88.96,0.00
116,88.96,0.00
117,88.96,0.00
118,88.96,0.00
119,88.96,0.00
120,88.96,0.00
121,88.96,0.00
122,88.96,0.00
123,88.96,0.00
124,88.96,0.00
125,88.96,0.00
126,88.96,0.00
127,88.96,0.00
128,88.96,0.00
129,88.96,0.58
130,88.96,1.34
131,88.96,2.46
132,88.96,3.21
133,88.96,4.19
134,88.96,3.12
135,88.96,2.25
136,88.96,0.00
137,88.96,0.00
138,88.96,0.00
139,88.96,0.00
140,88.96,0.00
141,88.96,0.00
142,88.96,0.00
143,88.96,0.00
144,88.96,0.00
145,88.96,0.00
146,88.96,0.00
147,88.96,0.00
148,88.96,0.00
149,88.96,0.00
150,88.96,0.00
151,88.96,0.00
152,88.96,0.00
153,88.96,0.12
154,88.96,0.94
155,88.96,1.02
156,88.96,1.73
157,88.96,2.43
158,88.96,2.06
159,88.96,2.13
160,88.96,0.00
161,88.96,0.00
162,88.96,0.00
163,88.96,0.00
164,88.96,0.00
165,88.96,0.00
166,88.96,0.00
167,88.96,0.00
168,88.96,0.00
169,88.96,0.00
170,88.96,0.00
171,88.96,0.00
172,88.96,0.00
173,88.96,0.00
174,88.96,0.00
175,88.96,0.00
176,88.96,0.00
177,88.96,0.00
178,88.96,0.64
179,88.96,0.81
180,88.96,0.89
181,88.96,0.89
182,88.96,0.72
183,88.96,0.00
184,88.96,0.00
185,88.96,0.00
186,88.96,0.00
187,88.96,0.00
188,88.96,0.00
189,88.96,0.00
190,88.96,0.00
191,88.96,0.00
192,88.96,0.00
193,88.96,0.00
194,88.96,0.00
195,88.96,0.00
196,88.96,0.00
197,88.96,0.00
198,88.96,0.00
199,88.96,0.00
200,88.96,0.00
201,88.96,0.00
202,88.96,0.00
203,88.96,0.00
204,88.96,0.00
205,88.96,2.73
206,88.96,3.53
207,88.96,3.27
208,88.96,0.00
209,88.96,0.00
210,88.96,0.00
211,88.96,0.00
212,88.96,0.00
213,88.96,0.00
214,88.96,0.00
215,88.96,0.00
216,88.96,0.00
217,88.96,0.00
218,88.96,0.00
219,88.96,0.00
220,88.96,0.00
221,88.96,0.00
222,88.96,0.00
223,88.96,0.00
224,88.96,0.00
225,88.96,0.00
226,88.96,0.00
227,88.96,0.00
228,88.96,0.00
229,88.96,5.32
230,88.96,6.06
231,88.96,4.20
232,88.96,0.00
233,88.96,0.00
234,88.96,0.00
235,88.96,0.00
236,88.96,0.00
237,88.96,0.00
238,88.96,0.00
239,88.96,0.00
240,88.96,0.00
241,88.96,0.00
242,88.96,0.00
243,88.96,0.00
244,88.96,0.00
245,88.96,0.00
246,88.96,0.00
247,88.96,0.00
248,88.96,0.00
249,88.96,0.57
250,88.96,1.05
251,88.96,2.38
252,88.96,2.97
253,88.96,2.93
254,88.96,4.50
255,88.96,4.80
256,88.96,0.00
257,88.96,0.00
258,88.96,0.00
259,88.96,0.00
260,88.96,0.00
261,88.96,0.00
262,88.96,0.00
263,88.96,0.00
264,88.96,0.00
265,88.96,0.00
266,88.96,0.00
267,88.96,0.00
268,88.96,0.00
269,88.96,0.00
270,88.96,0.00
271,88.96,0.00
272,88.96,0.00
273,88.96,0.86
274,88.96,1.81
275,88.96,3.64
276,88.96,5.37
277,88.96,6.30
278,88.96,6.61
279,88.96,5.36
280,88.96,0.00
281,88.96,0.00
282,88.96,0.00
283,88.96,0.00
284,88.96,0.00
285,88.96,0.00
286,88.96,0.00
287,88.96,0.00
288,88.96,0.00
289,88.96,0.00
290,88.96,0.00
291,88.96,0.00
292,88.96,0.00
293,88.96,0.00
294,88.96,0.00
295,88.96,0.00
296,88.96,0.00
297,88.96,0.52
298,88.96,1.45
299,88.96,2.32
300,88.96,2.99
301,88.96,3.44
302,88.96,3.16
303,88.96,1.97
304,88.96,0.00
305,88.96,0.00
306,88.96,0.00
307,88.96,0.00
308,88.96,0.00
309,88.96,0.00
310,88.96,0.00
311,88.96,0.00
312,88.96,0.00
313,88.96,0.00
314,88.96,0.00
315,88.96,0.00
316,88.96,0.00
317,88.96,0.00
318,88.96,0.00
319,88.96,0.00
320,88.96,0.00
321,88.96,0.00
322,88.96,0.00
323,88.96,0.00
324,88.96,0.00
325,88.96,0.00
326,88.96,0.00
327,88.96,0.00
328,88.96,0.00
329,88.96,0.00
330,88.96,0.00
331,88.96,0.00
332,88.96,0.00
333,88.96,0.00
334,88.96,0.00
335,88.96,0.00
336,88.96,0.00
337,88.96,0.00
338,88.96,0.00
339,88.96,0.00
340,88.96,0.00
341,88.96,0.00
342,88.96,0.00
343,88.96,0.00
344,88.96,0.00
345,88.96,0.00
346,88.96,0.00
347,88.96,0.12
348,88.96,0.59
349,88.96,0.11
350,88.96,0.00
351,88.96,0.00
352,88.96,0.00
353,88.96,0.00
354,88.96,0.00
355,88.96,0.00
356,88.96,0.00
357,88.96,0.00
358,88.96,0.00
359,88.96,0.00
360,88.96,0.00
361,88.96,0.00
362,88.96,0.00
363,88.96,0.00
364,88.96,0.00
365,88.96,0.00
366,88.96,0.00
