bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B302006694_0_0,B302006694,B302006694,0,B302006694_0,0,12.20,1.53,683735.68,248222.16,476.87,-0.01,0.00,1.00,0.00,0.80,1080444.88,roof,15.22,1.98,0.78,5,6,5
B302006694_0_1,B302006694,B302006694,0,B302006694_0,1,12.20,1.53,683735.32,248223.19,476.87,-0.01,0.00,1.00,0.00,0.80,1078800.94,roof,15.22,1.98,0.78,5,6,5
B302006694_0_2,B302006694,B302006694,0,B302006694_0,2,12.20,1.53,683734.97,248225.19,476.86,-0.01,0.00,1.00,0.00,0.80,1065921.01,roof,15.22,1.98,0.78,5,6,5
B302006694_0_3,B302006694,B302006694,0,B302006694_0,3,12.20,1.53,683734.69,248226.98,476.85,-0.01,0.00,1.00,0.00,0.80,1059900.50,roof,15.22,1.98,0.78,5,6,5
B302006694_0_4,B302006694,B302006694,0,B302006694_0,4,12.20,1.53,683736.13,248221.19,476.88,-0.01,0.00,1.00,0.00,0.80,1088863.62,roof,15.22,1.98,0.78,5,6,5
B302006694_0_5,B302006694,B302006694,0,B302006694_0,5,12.20,1.53,683736.22,248223.19,476.88,-0.01,0.00,1.00,0.00,0.80,1086210.38,roof,15.22,1.98,0.78,5,6,5
B302006694_0_6,B302006694,B302006694,0,B302006694_0,6,12.20,1.53,683736.32,248225.19,476.88,-0.01,0.00,1.00,0.00,0.80,1084035.90,roof,15.22,1.98,0.78,5,6,5
B302006694_0_7,B302006694,B302006694,0,B302006694_0,7,12.20,1.53,683736.37,248226.85,476.88,-0.01,0.00,1.00,0.00,0.80,1083201.92,roof,15.22,1.98,0.78,5,6,5
B302006694_7_0,B302006694,B302006694,7,B302006694_7,0,11.76,1.47,683721.93,248214.33,474.72,-0.50,-0.40,0.77,-113.49,39.57,1137756.67,roof,39.57,0.00,1.47,1,6,5
B302006694_7_1,B302006694,B302006694,7,B302006694_7,1,11.76,1.47,683721.33,248215.91,475.14,-0.50,-0.40,0.77,-113.49,39.57,1142896.73,roof,39.57,0.00,1.47,1,6,5
B302006694_7_2,B302006694,B302006694,7,B302006694_7,2,11.76,1.47,683723.34,248214.42,475.67,-0.50,-0.40,0.77,-113.49,39.57,1157611.68,roof,39.57,0.00,1.47,1,6,5
B302006694_7_3,B302006694,B302006694,7,B302006694_7,3,11.76,1.47,683722.95,248216.16,476.32,-0.50,-0.40,0.77,-113.49,39.57,1159415.43,roof,39.57,0.00,1.47,1,6,5
B302006694_7_4,B302006694,B302006694,7,B302006694_7,4,11.76,1.47,683724.62,248216.19,477.41,-0.50,-0.40,0.77,-113.49,39.57,1168236.51,roof,39.57,0.00,1.47,1,6,5
B302006694_7_5,B302006694,B302006694,7,B302006694_7,5,11.76,1.47,683724.38,248217.32,477.84,-0.50,-0.40,0.77,-113.49,39.57,1169241.04,roof,39.57,0.00,1.47,1,6,5
B302006694_7_6,B302006694,B302006694,7,B302006694_7,6,11.76,1.47,683725.31,248217.04,478.29,-0.50,-0.40,0.77,-113.49,39.57,1183756.58,roof,39.57,0.00,1.47,1,6,5
B302006694_7_7,B302006694,B302006694,7,B302006694_7,7,11.76,1.47,683725.57,248217.44,478.67,-0.50,-0.40,0.77,-113.49,39.57,1185883.34,roof,39.57,0.00,1.47,1,6,5
B302006694_8_0,B302006694,B302006694,8,B302006694_8,0,13.48,1.23,683724.64,248214.46,475.84,-0.06,-0.68,0.73,-133.07,43.30,1257453.77,roof,43.30,0.00,1.23,6,6,5
B302006694_8_1,B302006694,B302006694,8,B302006694_8,1,13.48,1.23,683723.37,248214.08,475.37,-0.06,-0.68,0.73,-133.07,43.30,1255613.93,roof,43.30,0.00,1.23,6,6,5
B302006694_8_2,B302006694,B302006694,8,B302006694_8,2,13.48,1.23,683726.89,248215.67,477.17,-0.06,-0.68,0.73,-133.07,43.30,1263352.83,roof,43.30,0.00,1.23,6,6,5
B302006694_8_3,B302006694,B302006694,8,B302006694_8,3,13.48,1.23,683725.13,248215.46,476.82,-0.06,-0.68,0.73,-133.07,43.30,1260973.15,roof,43.30,0.00,1.23,6,6,5
B302006694_8_4,B302006694,B302006694,8,B302006694_8,4,13.48,1.23,683723.91,248215.09,476.37,-0.06,-0.68,0.73,-133.07,43.30,1258631.07,roof,43.30,0.00,1.23,6,6,5
B302006694_8_5,B302006694,B302006694,8,B302006694_8,5,13.48,1.23,683729.12,248216.88,478.50,-0.06,-0.68,0.73,-133.07,43.30,1269709.73,roof,43.30,0.00,1.23,6,6,5
B302006694_8_6,B302006694,B302006694,8,B302006694_8,6,13.48,1.23,683727.12,248216.84,478.28,-0.06,-0.68,0.73,-133.07,43.30,1268371.82,roof,43.30,0.00,1.23,6,6,5
B302006694_8_7,B302006694,B302006694,8,B302006694_8,7,13.48,1.23,683725.44,248216.91,478.20,-0.06,-0.68,0.73,-133.07,43.30,1267431.00,roof,43.30,0.00,1.23,6,6,5
B302006694_8_8,B302006694,B302006694,8,B302006694_8,8,13.48,1.23,683728.73,248217.53,479.07,-0.06,-0.68,0.73,-133.07,43.30,1271307.29,roof,43.30,0.00,1.23,6,6,5
B302006694_8_9,B302006694,B302006694,8,B302006694_8,9,13.48,1.23,683727.12,248217.64,479.04,-0.06,-0.68,0.73,-133.07,43.30,1270629.95,roof,43.30,0.00,1.23,6,6,5
B302006694_8_10,B302006694,B302006694,8,B302006694_8,10,13.48,1.23,683725.97,248217.69,478.99,-0.06,-0.68,0.73,-133.07,43.30,1270016.32,roof,43.30,0.00,1.23,6,6,5
B302006694_9_0,B302006694,B302006694,9,B302006694_9,0,38.91,1.85,683731.13,248216.30,478.11,-0.06,-0.69,0.72,-133.33,43.53,1268530.71,roof,43.53,0.00,1.85,6,6,5
B302006694_9_1,B302006694,B302006694,9,B302006694_9,1,38.91,1.85,683729.75,248216.69,478.37,-0.06,-0.69,0.72,-133.33,43.53,1268801.97,roof,43.53,0.00,1.85,6,6,5
B302006694_9_2,B302006694,B302006694,9,B302006694_9,2,38.91,1.85,683728.18,248216.36,477.92,-0.06,-0.69,0.72,-133.33,43.53,1266967.68,roof,43.53,0.00,1.85,6,6,5
