,Area,PV_kWh
0,127.14,0.00
1,127.14,0.00
2,127.14,0.00
3,127.14,0.00
4,127.14,0.00
5,127.14,0.00
6,127.14,0.00
7,127.14,0.00
8,127.14,0.00
9,127.14,2.25
10,127.14,3.19
11,127.14,4.28
12,127.14,3.77
13,127.14,3.10
14,127.14,2.23
15,127.14,0.91
16,127.14,0.00
17,127.14,0.00
18,127.14,0.00
19,127.14,0.00
20,127.14,0.00
21,127.14,0.00
22,127.14,0.00
23,127.14,0.00
24,127.14,0.00
25,127.14,0.00
26,127.14,0.00
27,127.14,0.00
28,127.14,0.00
29,127.14,0.00
30,127.14,0.00
31,127.14,0.00
32,127.14,0.00
33,127.14,0.00
34,127.14,1.14
35,127.14,1.34
36,127.14,1.00
37,127.14,0.89
38,127.14,0.54
39,127.14,0.00
40,127.14,0.00
41,127.14,0.00
42,127.14,0.00
43,127.14,0.00
44,127.14,0.00
45,127.14,0.00
46,127.14,0.00
47,127.14,0.00
48,127.14,0.00
49,127.14,0.00
50,127.14,0.00
51,127.14,0.00
52,127.14,0.00
53,127.14,0.00
54,127.14,0.00
55,127.14,0.00
56,127.14,0.00
57,127.14,3.23
58,127.14,4.51
59,127.14,4.35
60,127.14,3.76
61,127.14,3.55
62,127.14,2.94
63,127.14,1.47
64,127.14,0.00
65,127.14,0.00
66,127.14,0.00
67,127.14,0.00
68,127.14,0.00
69,127.14,0.00
70,127.14,0.00
71,127.14,0.00
72,127.14,0.00
73,127.14,0.00
74,127.14,0.00
75,127.14,0.00
76,127.14,0.00
77,127.14,0.00
78,127.14,0.00
79,127.14,0.00
80,127.14,0.00
81,127.14,3.24
82,127.14,6.29
83,127.14,7.71
84,127.14,7.88
85,127.14,6.41
86,127.14,4.56
87,127.14,2.28
88,127.14,0.00
89,127.14,0.00
90,127.14,0.00
91,127.14,0.00
92,127.14,0.00
93,127.14,0.00
94,127.14,0.00
95,127.14,0.00
96,127.14,0.00
97,127.14,0.00
98,127.14,0.00
99,127.14,0.00
100,127.14,0.00
101,127.14,0.00
102,127.14,0.00
103,127.14,0.00
104,127.14,0.00
105,127.14,0.00
106,127.14,0.64
107,127.14,1.18
108,127.14,1.30
109,127.14,1.18
110,127.14,0.89
111,127.14,0.00
112,127.14,0.00
113,127.14,0.00
114,127.14,0.00
115,127.14,0.00
116,127.14,0.00
117,127.14,0.00
118,127.14,0.00
