bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153691_0_0,B153691,B153691,0,B153691_0,0,9.05,1.51,683736.25,248185.81,472.83,0.02,-0.00,1.00,0.00,1.00,1105883.88,roof,15.22,1.98,0.77,5,6,5
B153691_0_1,B153691,B153691,0,B153691_0,1,9.05,1.51,683736.04,248187.81,472.84,0.02,-0.00,1.00,0.00,1.00,1109999.37,roof,15.22,1.98,0.77,5,6,5
B153691_0_2,B153691,B153691,0,B153691_0,2,9.05,1.51,683735.83,248189.45,472.85,0.02,-0.00,1.00,0.00,1.00,1114689.43,roof,15.22,1.98,0.77,5,6,5
B153691_0_3,B153691,B153691,0,B153691_0,3,9.05,1.51,683734.60,248186.42,472.86,0.02,-0.00,1.00,0.00,1.00,1106106.37,roof,15.22,1.98,0.77,5,6,5
B153691_0_4,B153691,B153691,0,B153691_0,4,9.05,1.51,683734.28,248187.81,472.87,0.02,-0.00,1.00,0.00,1.00,1101990.97,roof,15.22,1.98,0.77,5,6,5
B153691_0_5,B153691,B153691,0,B153691_0,5,9.05,1.51,683735.07,248189.00,472.86,0.02,-0.00,1.00,0.00,1.00,1099687.61,roof,15.22,1.98,0.77,5,6,5
B153691_54_0,B153691,B153691,54,B153691_54,0,10.88,1.21,683729.53,248184.52,472.91,-0.00,0.01,1.00,0.00,0.59,1118034.68,roof,15.22,1.98,0.62,5,6,5
B153691_54_1,B153691,B153691,54,B153691_54,1,10.88,1.21,683728.31,248183.81,472.91,-0.00,0.01,1.00,0.00,0.59,1104453.70,roof,15.22,1.98,0.62,5,6,5
B153691_54_2,B153691,B153691,54,B153691_54,2,10.88,1.21,683726.91,248183.67,472.91,-0.00,0.01,1.00,0.00,0.59,1099790.14,roof,15.22,1.98,0.62,5,6,5
B153691_54_3,B153691,B153691,54,B153691_54,3,10.88,1.21,683731.94,248186.23,472.89,-0.00,0.01,1.00,0.00,0.59,1124634.41,roof,15.22,1.98,0.62,5,6,5
