bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153696_43_0,B153696,B153696,43,B153696_43,0,17.39,1.45,683665.23,248219.41,479.86,0.00,0.00,1.00,0.00,0.01,1113929.50,roof,15.22,1.98,0.74,5,6,5
B153696_43_1,B153696,B153696,43,B153696_43,1,17.39,1.45,683664.55,248221.41,479.86,0.00,0.00,1.00,0.00,0.01,1113929.55,roof,15.22,1.98,0.74,5,6,5
B153696_43_2,B153696,B153696,43,B153696_43,2,17.39,1.45,683664.29,248223.41,479.86,0.00,0.00,1.00,0.00,0.01,1113929.64,roof,15.22,1.98,0.74,5,6,5
B153696_43_3,B153696,B153696,43,B153696_43,3,17.39,1.45,683664.03,248225.24,479.86,0.00,0.00,1.00,0.00,0.01,1113929.69,roof,15.22,1.98,0.74,5,6,5
B153696_43_4,B153696,B153696,43,B153696_43,4,17.39,1.45,683663.66,248222.14,479.86,0.00,0.00,1.00,0.00,0.01,1113929.72,roof,15.22,1.98,0.74,5,6,5
B153696_43_5,B153696,B153696,43,B153696_43,5,17.39,1.45,683663.08,248223.41,479.86,0.00,0.00,1.00,0.00,0.01,1113929.77,roof,15.22,1.98,0.74,5,6,5
B153696_43_6,B153696,B153696,43,B153696_43,6,17.39,1.45,683662.81,248225.41,479.86,0.00,0.00,1.00,0.00,0.01,1113929.84,roof,15.22,1.98,0.74,5,6,5
B153696_43_7,B153696,B153696,43,B153696_43,7,17.39,1.45,683662.77,248227.41,479.86,0.00,0.00,1.00,0.00,0.01,1113902.90,roof,15.22,1.98,0.74,5,6,5
B153696_43_8,B153696,B153696,43,B153696_43,8,17.39,1.45,683662.51,248229.04,479.86,0.00,0.00,1.00,0.00,0.01,1103322.32,roof,15.22,1.98,0.74,5,6,5
B153696_43_9,B153696,B153696,43,B153696_43,9,17.39,1.45,683661.50,248225.87,479.86,0.00,0.00,1.00,0.00,0.01,1113929.96,roof,15.22,1.98,0.74,5,6,5
B153696_43_10,B153696,B153696,43,B153696_43,10,17.39,1.45,683661.00,248227.41,479.86,0.00,0.00,1.00,0.00,0.01,1113930.04,roof,15.22,1.98,0.74,5,6,5
