bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153693_27_0,B153693,B153693,27,B153693_27,0,13.29,1.66,683683.96,248186.74,475.93,-0.60,-0.34,0.72,-109.59,43.58,1123784.65,roof,43.58,0.00,1.66,1,6,5
B153693_27_1,B153693,B153693,27,B153693_27,1,13.29,1.66,683683.49,248187.25,475.78,-0.60,-0.34,0.72,-109.59,43.58,1123546.90,roof,43.58,0.00,1.66,1,6,5
B153693_27_2,B153693,B153693,27,B153693_27,2,13.29,1.66,683682.48,248186.47,474.58,-0.60,-0.34,0.72,-109.59,43.58,1122754.17,roof,43.58,0.00,1.66,1,6,5
B153693_27_3,B153693,B153693,27,B153693_27,3,13.29,1.66,683682.24,248187.50,474.86,-0.60,-0.34,0.72,-109.59,43.58,1123017.24,roof,43.58,0.00,1.66,1,6,5
B153693_27_4,B153693,B153693,27,B153693_27,4,13.29,1.66,683681.00,248186.21,473.23,-0.60,-0.34,0.72,-109.59,43.58,1122179.42,roof,43.58,0.00,1.66,1,6,5
B153693_27_5,B153693,B153693,27,B153693_27,5,13.29,1.66,683680.65,248187.75,473.65,-0.60,-0.34,0.72,-109.59,43.58,1121408.82,roof,43.58,0.00,1.66,1,6,5
B153693_27_6,B153693,B153693,27,B153693_27,6,13.29,1.66,683679.83,248186.17,472.24,-0.60,-0.34,0.72,-109.59,43.58,1121036.86,roof,43.58,0.00,1.66,1,6,5
B153693_27_7,B153693,B153693,27,B153693_27,7,13.29,1.66,683679.14,248187.97,472.50,-0.60,-0.34,0.72,-109.59,43.58,1120628.95,roof,43.58,0.00,1.66,1,6,5
B153693_28_0,B153693,B153693,28,B153693_28,0,12.89,1.61,683685.64,248184.35,476.23,-0.60,-0.34,0.72,-109.58,43.57,1124644.41,roof,43.57,0.00,1.61,1,6,5
B153693_28_1,B153693,B153693,28,B153693_28,1,12.89,1.61,683684.94,248186.09,476.45,-0.60,-0.34,0.72,-109.58,43.57,1124182.59,roof,43.57,0.00,1.61,1,6,5
B153693_28_2,B153693,B153693,28,B153693_28,2,12.89,1.61,683684.05,248184.58,475.02,-0.60,-0.34,0.72,-109.58,43.57,1119951.04,roof,43.57,0.00,1.61,1,6,5
B153693_28_3,B153693,B153693,28,B153693_28,3,12.89,1.61,683683.73,248186.02,475.41,-0.60,-0.34,0.72,-109.58,43.57,1123634.13,roof,43.57,0.00,1.61,1,6,5
B153693_28_4,B153693,B153693,28,B153693_28,4,12.89,1.61,683682.46,248184.82,473.80,-0.60,-0.34,0.72,-109.58,43.57,1111171.64,roof,43.57,0.00,1.61,1,6,5
B153693_28_5,B153693,B153693,28,B153693_28,5,12.89,1.61,683682.25,248185.76,474.06,-0.60,-0.34,0.72,-109.58,43.57,1122412.84,roof,43.57,0.00,1.61,1,6,5
B153693_28_6,B153693,B153693,28,B153693_28,6,12.89,1.61,683680.97,248185.05,472.67,-0.60,-0.34,0.72,-109.58,43.57,1083735.66,roof,43.57,0.00,1.61,1,6,5
B153693_28_7,B153693,B153693,28,B153693_28,7,12.89,1.61,683680.95,248185.49,472.86,-0.60,-0.34,0.72,-109.58,43.57,1118124.26,roof,43.57,0.00,1.61,1,6,5
B153693_29_0,B153693,B153693,29,B153693_29,0,32.72,1.92,683685.36,248179.57,474.41,-0.61,-0.34,0.72,-109.82,44.28,1122641.83,roof,44.28,0.00,1.92,1,6,5
