,Area,PV_kWh
0,68.86,0.00
1,68.86,0.00
2,68.86,0.00
3,68.86,0.00
4,68.86,0.00
5,68.86,0.00
6,68.86,0.00
7,68.86,0.00
8,68.86,0.00
9,68.86,1.48
10,68.86,1.81
11,68.86,2.12
12,68.86,1.75
13,68.86,1.31
14,68.86,0.89
15,68.86,0.12
16,68.86,0.00
17,68.86,0.00
18,68.86,0.00
19,68.86,0.00
20,68.86,0.00
21,68.86,0.00
22,68.86,0.00
23,68.86,0.00
24,68.86,0.00
25,68.86,0.00
26,68.86,0.00
27,68.86,0.00
28,68.86,0.00
29,68.86,0.00
30,68.86,0.00
31,68.86,0.00
32,68.86,0.00
33,68.86,0.00
34,68.86,0.69
35,68.86,0.78
36,68.86,0.57
37,68.86,0.50
38,68.86,0.22
39,68.86,0.00
40,68.86,0.00
41,68.86,0.00
42,68.86,0.00
43,68.86,0.00
44,68.86,0.00
45,68.86,0.00
46,68.86,0.00
47,68.86,0.00
48,68.86,0.00
49,68.86,0.00
50,68.86,0.00
51,68.86,0.00
52,68.86,0.00
53,68.86,0.00
54,68.86,0.00
55,68.86,0.00
56,68.86,0.00
57,68.86,2.29
58,68.86,2.68
59,68.86,2.29
60,68.86,1.78
61,68.86,1.37
62,68.86,0.88
63,68.86,0.26
64,68.86,0.00
65,68.86,0.00
66,68.86,0.00
67,68.86,0.00
68,68.86,0.00
69,68.86,0.00
70,68.86,0.00
71,68.86,0.00
72,68.86,0.00
73,68.86,0.00
74,68.86,0.00
75,68.86,0.00
76,68.86,0.00
77,68.86,0.00
78,68.86,0.00
79,68.86,0.00
80,68.86,0.00
81,68.86,1.93
82,68.86,3.38
83,68.86,3.45
84,68.86,2.98
85,68.86,1.93
86,68.86,0.70
87,68.86,0.67
88,68.86,0.00
89,68.86,0.00
90,68.86,0.00
91,68.86,0.00
92,68.86,0.00
93,68.86,0.00
94,68.86,0.00
95,68.86,0.00
96,68.86,0.00
97,68.86,0.00
98,68.86,0.00
99,68.86,0.00
100,68.86,0.00
101,68.86,0.00
102,68.86,0.00
103,68.86,0.00
104,68.86,0.00
105,68.86,0.00
106,68.86,0.43
107,68.86,0.65
108,68.86,0.71
109,68.86,0.64
110,68.86,0.51
111,68.86,0.00
112,68.86,0.00
113,68.86,0.00
114,68.86,0.00
115,68.86,0.00
116,68.86,0.00
117,68.86,0.00
118,68.86,0.00
119,68.86,0.00
120,68.86,0.00
121,68.86,0.00
122,68.86,0.00
123,68.86,0.00
124,68.86,0.00
125,68.86,0.00
126,68.86,0.00
127,68.86,0.00
128,68.86,0.00
129,68.86,1.71
130,68.86,2.39
131,68.86,2.38
132,68.86,1.92
133,68.86,1.47
134,68.86,0.95
135,68.86,0.23
136,68.86,0.00
137,68.86,0.00
138,68.86,0.00
139,68.86,0.00
140,68.86,0.00
141,68.86,0.00
142,68.86,0.00
143,68.86,0.00
144,68.86,0.00
145,68.86,0.00
146,68.86,0.00
147,68.86,0.00
148,68.86,0.00
149,68.86,0.00
150,68.86,0.00
151,68.86,0.00
152,68.86,0.00
153,68.86,0.96
154,68.86,1.41
155,68.86,1.45
156,68.86,1.32
157,68.86,1.34
158,68.86,0.86
159,68.86,0.21
160,68.86,0.00
161,68.86,0.00
162,68.86,0.00
163,68.86,0.00
164,68.86,0.00
165,68.86,0.00
166,68.86,0.00
167,68.86,0.00
168,68.86,0.00
169,68.86,0.00
170,68.86,0.00
171,68.86,0.00
172,68.86,0.00
173,68.86,0.00
174,68.86,0.00
175,68.86,0.00
176,68.86,0.00
177,68.86,0.00
178,68.86,0.58
179,68.86,0.74
180,68.86,0.77
181,68.86,0.72
182,68.86,0.56
183,68.86,0.00
184,68.86,0.00
185,68.86,0.00
186,68.86,0.00
187,68.86,0.00
188,68.86,0.00
189,68.86,0.00
190,68.86,0.00
191,68.86,0.00
192,68.86,0.00
193,68.86,0.00
194,68.86,0.00
195,68.86,0.00
196,68.86,0.00
197,68.86,0.00
198,68.86,0.00
199,68.86,0.00
200,68.86,0.00
201,68.86,0.00
202,68.86,0.00
203,68.86,0.00
204,68.86,0.00
205,68.86,0.99
206,68.86,0.73
207,68.86,0.26
208,68.86,0.00
209,68.86,0.00
210,68.86,0.00
211,68.86,0.00
212,68.86,0.00
213,68.86,0.00
214,68.86,0.00
215,68.86,0.00
216,68.86,0.00
217,68.86,0.00
218,68.86,0.00
219,68.86,0.00
220,68.86,0.00
221,68.86,0.00
222,68.86,0.00
223,68.86,0.00
224,68.86,0.00
225,68.86,0.00
226,68.86,0.00
227,68.86,0.00
228,68.86,0.00
229,68.86,1.92
230,68.86,0.82
231,68.86,0.42
232,68.86,0.00
233,68.86,0.00
234,68.86,0.00
235,68.86,0.00
236,68.86,0.00
237,68.86,0.00
238,68.86,0.00
239,68.86,0.00
240,68.86,0.00
241,68.86,0.00
242,68.86,0.00
243,68.86,0.00
244,68.86,0.00
245,68.86,0.00
246,68.86,0.00
247,68.86,0.00
248,68.86,0.00
249,68.86,2.39
250,68.86,3.30
251,68.86,3.22
252,68.86,2.14
253,68.86,1.33
254,68.86,0.91
255,68.86,0.30
256,68.86,0.00
257,68.86,0.00
258,68.86,0.00
259,68.86,0.00
260,68.86,0.00
261,68.86,0.00
262,68.86,0.00
263,68.86,0.00
264,68.86,0.00
265,68.86,0.00
266,68.86,0.00
267,68.86,0.00
268,68.86,0.00
269,68.86,0.00
270,68.86,0.00
271,68.86,0.00
272,68.86,0.00
273,68.86,1.94
274,68.86,3.17
275,68.86,3.16
276,68.86,2.82
277,68.86,2.03
278,68.86,0.98
279,68.86,0.63
280,68.86,0.00
281,68.86,0.00
282,68.86,0.00
283,68.86,0.00
284,68.86,0.00
285,68.86,0.00
286,68.86,0.00
287,68.86,0.00
288,68.86,0.00
289,68.86,0.00
290,68.86,0.00
291,68.86,0.00
292,68.86,0.00
293,68.86,0.00
294,68.86,0.00
295,68.86,0.00
296,68.86,0.00
297,68.86,1.73
298,68.86,2.16
299,68.86,2.35
300,68.86,1.87
301,68.86,1.20
302,68.86,1.00
303,68.86,0.47
304,68.86,0.00
305,68.86,0.00
306,68.86,0.00
307,68.86,0.00
308,68.86,0.00
309,68.86,0.00
310,68.86,0.00
311,68.86,0.00
312,68.86,0.00
313,68.86,0.00
314,68.86,0.00
315,68.86,0.00
316,68.86,0.00
317,68.86,0.00
318,68.86,0.00
