bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B2368593_60_0,B2368593,B2368593,60,B2368593_60,0,32.89,1.73,683707.23,248159.22,473.83,0.20,-0.41,0.89,114.12,27.03,1248200.99,roof,27.03,0.00,1.73,2,6,5
B2368593_60_1,B2368593,B2368593,60,B2368593_60,1,32.89,1.73,683705.27,248158.57,473.97,0.20,-0.41,0.89,114.12,27.03,1248344.60,roof,27.03,0.00,1.73,2,6,5
B2368593_60_2,B2368593,B2368593,60,B2368593_60,2,32.89,1.73,683703.31,248158.20,474.24,0.20,-0.41,0.89,114.12,27.03,1248542.43,roof,27.03,0.00,1.73,2,6,5
B2368593_60_3,B2368593,B2368593,60,B2368593_60,3,32.89,1.73,683701.35,248157.95,474.56,0.20,-0.41,0.89,114.12,27.03,1248764.28,roof,27.03,0.00,1.73,2,6,5
B2368593_60_4,B2368593,B2368593,60,B2368593_60,4,32.89,1.73,683699.39,248157.70,474.89,0.20,-0.41,0.89,114.12,27.03,1248985.71,roof,27.03,0.00,1.73,2,6,5
B2368593_60_5,B2368593,B2368593,60,B2368593_60,5,32.89,1.73,683697.43,248157.45,475.21,0.20,-0.41,0.89,114.12,27.03,1249207.42,roof,27.03,0.00,1.73,2,6,5
B2368593_60_6,B2368593,B2368593,60,B2368593_60,6,32.89,1.73,683696.29,248157.04,475.27,0.20,-0.41,0.89,114.12,27.03,1249419.86,roof,27.03,0.00,1.73,2,6,5
B2368593_60_7,B2368593,B2368593,60,B2368593_60,7,32.89,1.73,683703.01,248157.16,473.83,0.20,-0.41,0.89,114.12,27.03,1248428.55,roof,27.03,0.00,1.73,2,6,5
B2368593_60_8,B2368593,B2368593,60,B2368593_60,8,32.89,1.73,683701.35,248156.62,473.96,0.20,-0.41,0.89,114.12,27.03,1248570.81,roof,27.03,0.00,1.73,2,6,5
B2368593_60_9,B2368593,B2368593,60,B2368593_60,9,32.89,1.73,683699.39,248156.22,474.21,0.20,-0.41,0.89,114.12,27.03,1248783.29,roof,27.03,0.00,1.73,2,6,5
B2368593_60_10,B2368593,B2368593,60,B2368593_60,10,32.89,1.73,683697.43,248156.05,474.57,0.20,-0.41,0.89,114.12,27.03,1249041.66,roof,27.03,0.00,1.73,2,6,5
B2368593_60_11,B2368593,B2368593,60,B2368593_60,11,32.89,1.73,683695.47,248155.89,474.93,0.20,-0.41,0.89,114.12,27.03,1249284.08,roof,27.03,0.00,1.73,2,6,5
B2368593_60_12,B2368593,B2368593,60,B2368593_60,12,32.89,1.73,683698.80,248155.10,473.83,0.20,-0.41,0.89,114.12,27.03,1248639.97,roof,27.03,0.00,1.73,2,6,5
B2368593_60_13,B2368593,B2368593,60,B2368593_60,13,32.89,1.73,683697.43,248154.59,473.90,0.20,-0.41,0.89,114.12,27.03,1248732.81,roof,27.03,0.00,1.73,2,6,5
B2368593_60_14,B2368593,B2368593,60,B2368593_60,14,32.89,1.73,683695.47,248154.07,474.10,0.20,-0.41,0.89,114.12,27.03,1248927.37,roof,27.03,0.00,1.73,2,6,5
B2368593_60_15,B2368593,B2368593,60,B2368593_60,15,32.89,1.73,683693.68,248153.91,474.42,0.20,-0.41,0.89,114.12,27.03,1249144.06,roof,27.03,0.00,1.73,2,6,5
B2368593_60_16,B2368593,B2368593,60,B2368593_60,16,32.89,1.73,683694.58,248153.05,473.83,0.20,-0.41,0.89,114.12,27.03,1248841.84,roof,27.03,0.00,1.73,2,6,5
B2368593_60_17,B2368593,B2368593,60,B2368593_60,17,32.89,1.73,683693.51,248152.56,473.84,0.20,-0.41,0.89,114.12,27.03,1248891.79,roof,27.03,0.00,1.73,2,6,5
B2368593_60_18,B2368593,B2368593,60,B2368593_60,18,32.89,1.73,683692.18,248152.12,473.94,0.20,-0.41,0.89,114.12,27.03,1248986.76,roof,27.03,0.00,1.73,2,6,5
B2368593_61_0,B2368593,B2368593,61,B2368593_61,0,27.89,1.99,683707.23,248159.88,474.14,0.20,-0.41,0.89,114.48,27.39,1248698.35,roof,27.39,0.00,1.99,2,6,5
B2368593_61_1,B2368593,B2368593,61,B2368593_61,1,27.89,1.99,683705.27,248159.70,474.49,0.20,-0.41,0.89,114.48,27.39,1248949.29,roof,27.39,0.00,1.99,2,6,5
B2368593_61_2,B2368593,B2368593,61,B2368593_61,2,27.89,1.99,683703.31,248159.45,474.82,0.20,-0.41,0.89,114.48,27.39,1249192.01,roof,27.39,0.00,1.99,2,6,5
B2368593_61_3,B2368593,B2368593,61,B2368593_61,3,27.89,1.99,683701.35,248159.19,475.14,0.20,-0.41,0.89,114.48,27.39,1249435.51,roof,27.39,0.00,1.99,2,6,5
B2368593_61_4,B2368593,B2368593,61,B2368593_61,4,27.89,1.99,683699.39,248158.94,475.46,0.20,-0.41,0.89,114.48,27.39,1249676.74,roof,27.39,0.00,1.99,2,6,5
B2368593_61_5,B2368593,B2368593,61,B2368593_61,5,27.89,1.99,683697.65,248158.73,475.75,0.20,-0.41,0.89,114.48,27.39,1249890.74,roof,27.39,0.00,1.99,2,6,5
B2368593_61_6,B2368593,B2368593,61,B2368593_61,6,27.89,1.99,683705.09,248160.57,474.94,0.20,-0.41,0.89,114.48,27.39,1249156.51,roof,27.39,0.00,1.99,2,6,5
B2368593_61_7,B2368593,B2368593,61,B2368593_61,7,27.89,1.99,683703.31,248160.77,475.44,0.20,-0.41,0.89,114.48,27.39,1249464.95,roof,27.39,0.00,1.99,2,6,5
