bui_fac_sen,bui,bui_sh,fac,bui_fac,sen_int,fac_area,sen_area,sen_x,sen_y,sen_z,sen_dir_x,sen_dir_y,sen_dir_z,orientation,tilt,total_rad,fac_type,B,array_s,area_netpv,CATteta_z,CATB,CATGB
B153697_30_0,B153697,B153697,30,B153697_30,0,6.40,0.91,683659.25,248227.35,478.83,-0.63,-0.35,0.70,-110.25,45.94,1121871.64,roof,45.94,0.00,0.91,1,6,5
B153697_30_1,B153697,B153697,30,B153697_30,1,6.40,0.91,683659.55,248227.70,479.29,-0.63,-0.35,0.70,-110.25,45.94,1122261.99,roof,45.94,0.00,0.91,1,6,5
B153697_30_2,B153697,B153697,30,B153697_30,2,6.40,0.91,683658.25,248227.00,477.75,-0.63,-0.35,0.70,-110.25,45.94,1119795.45,roof,45.94,0.00,0.91,1,6,5
B153697_30_3,B153697,B153697,30,B153697_30,3,6.40,0.91,683658.09,248227.62,477.92,-0.63,-0.35,0.70,-110.25,45.94,1115870.23,roof,45.94,0.00,0.91,1,6,5
B153697_30_4,B153697,B153697,30,B153697_30,4,6.40,0.91,683656.85,248226.65,476.31,-0.63,-0.35,0.70,-110.25,45.94,1117222.82,roof,45.94,0.00,0.91,1,6,5
B153697_30_5,B153697,B153697,30,B153697_30,5,6.40,0.91,683657.22,248227.53,477.08,-0.63,-0.35,0.70,-110.25,45.94,1117060.50,roof,45.94,0.00,0.91,1,6,5
B153697_30_6,B153697,B153697,30,B153697_30,6,6.40,0.91,683655.76,248226.51,475.26,-0.63,-0.35,0.70,-110.25,45.94,1113451.18,roof,45.94,0.00,0.91,1,6,5
B153697_31_0,B153697,B153697,31,B153697_31,0,22.82,2.07,683659.37,248228.44,479.49,-0.63,-0.35,0.69,-110.65,46.05,1123627.73,roof,46.05,0.00,2.07,1,6,5
B153697_31_1,B153697,B153697,31,B153697_31,1,22.82,2.07,683658.76,248230.10,479.78,-0.63,-0.35,0.69,-110.65,46.05,1123695.18,roof,46.05,0.00,2.07,1,6,5
B153697_31_2,B153697,B153697,31,B153697_31,2,22.82,2.07,683658.01,248231.93,480.04,-0.63,-0.35,0.69,-110.65,46.05,1124715.23,roof,46.05,0.00,2.07,1,6,5
