,FILE,FIELD,RMSE,ERROR
1294,cooling\outputs\data\optimization\decentralized\B1000_AHU_ARU_SCU_result_cooling.csv, Capaticy_ACH_SC_ET_W,0.5098897168, ok
1295,cooling\outputs\data\optimization\decentralized\B1000_AHU_ARU_SCU_result_cooling.csv, Capex_a_USD,277878.5703612042, ok
1296,cooling\outputs\data\optimization\decentralized\B1000_AHU_ARU_SCU_result_cooling.csv, Capex_total_USD,43155658.31998742, ok
1298,cooling\outputs\data\optimization\decentralized\B1000_AHU_ARU_SCU_result_cooling.csv, Nominal heating load,2.0395588671, ok
1299,cooling\outputs\data\optimization\decentralized\B1000_AHU_ARU_SCU_result_cooling.csv, Opex_fixed_USD,107889.1457999687, ok
1300,cooling\outputs\data\optimization\decentralized\B1000_AHU_ARU_SCU_result_cooling.csv, Opex_var_USD,697.4996359841, ok
1301,cooling\outputs\data\optimization\decentralized\B1000_AHU_ARU_SCU_result_cooling.csv, TAC_USD,700125.8074313693, ok
1302,cooling\outputs\data\optimization\decentralized\B1000_AHU_ARU_SCU_result_cooling.csv, system_COP,0.0223823442, ok
1303,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_cooling_activation.csv, E_DX_AS_req_W,240.1246003653, ok
1304,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_cooling_activation.csv, E_cs_cre_cdata_req_W,240.1246003653, ok
1305,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_cooling_activation.csv, Q_DX_AS_gen_directload_W,1270.2591359323, ok
1308,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, Capacity_ACH_SC_FP_W,561.7083617256, ok
1309,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, Capacity_BaseVCC_AS_W,561.7083617256, ok
1310,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, Capacity_DX_AS_W,561.7083617256, ok
1312,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, Capaticy_ACH_SC_ET_W,561.7083617256, ok
1313,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, Capex_a_USD,34644.568827518, ok
1314,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, Capex_total_USD,5389585.484383382, ok
1316,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, Nominal heating load,2246.8334469023, ok
1317,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, Opex_fixed_USD,13473.9637109585, ok
1318,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, Opex_var_USD,223.6738244198, ok
1319,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, TAC_USD,99007.1260087421, ok
1320,cooling\outputs\data\optimization\decentralized\B1001_AHU_ARU_SCU_result_cooling.csv, system_COP,0.0293041273, ok
1321,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_cooling_activation.csv, E_DX_AS_req_W,97.3776782722, ok
1322,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_cooling_activation.csv, E_cs_cre_cdata_req_W,97.3776782722, ok
1323,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_cooling_activation.csv, Q_DX_AS_gen_directload_W,515.1279180602, ok
1326,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, Capacity_ACH_SC_FP_W,2.5164246262, ok
1327,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, Capacity_BaseVCC_AS_W,2.5164246262, ok
1328,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, Capacity_DX_AS_W,2.5164246262, ok
1330,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, Capaticy_ACH_SC_ET_W,2.5164246262, ok
1331,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, Capex_a_USD,135944.4209834981, ok
1332,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, Capex_total_USD,21111926.14333649, ok
1334,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, Nominal heating load,10.0656985046, ok
1335,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, Opex_fixed_USD,52779.8153583399, ok
1336,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, Opex_var_USD,19.6943535134, ok
1337,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, TAC_USD,354491.1746390434, ok
1338,cooling\outputs\data\optimization\decentralized\B1002_AHU_ARU_SCU_result_cooling.csv, system_COP,0.110439408, ok
1339,cooling\outputs\data\optimization\decentralized\B1003_AHU_ARU_SCU_cooling_activation.csv, E_DX_AS_req_W,215.8374215593, ok
1340,cooling\outputs\data\optimization\decentralized\B1003_AHU_ARU_SCU_cooling_activation.csv, E_cs_cre_cdata_req_W,215.8374215593, ok
1341,cooling\outputs\data\optimization\decentralized\B1003_AHU_ARU_SCU_cooling_activation.csv, Q_DX_AS_gen_directload_W,1141.7799600487, ok
1349,cooling\outputs\data\optimization\decentralized\B1003_AHU_ARU_SCU_result_cooling.csv, Capex_a_USD,117087.4368597128, ok
1350,cooling\outputs\data\optimization\decentralized\B1003_AHU_ARU_SCU_result_cooling.csv, Capex_total_USD,18184461.86371094, ok
1353,cooling\outputs\data\optimization\decentralized\B1003_AHU_ARU_SCU_result_cooling.csv, Opex_fixed_USD,45461.154659278, ok
1354,cooling\outputs\data\optimization\decentralized\B1003_AHU_ARU_SCU_result_cooling.csv, Opex_var_USD,103.9582638929, ok
1355,cooling\outputs\data\optimization\decentralized\B1003_AHU_ARU_SCU_result_cooling.csv, TAC_USD,308483.7321529817, ok
1356,cooling\outputs\data\optimization\decentralized\B1003_AHU_ARU_SCU_result_cooling.csv, system_COP,41.1304909471, ok
1357,cooling\outputs\data\optimization\network\DC_Network_summary_result_0x3.csv, Q_DCNf_space_cooling_and_refrigeration_W,298.242347032, ok
1358,cooling\outputs\data\optimization\network\DC_Network_summary_result_0x3.csv, Q_DCNf_space_cooling_data_center_and_refrigeration_W,298.242347032, ok
1359,cooling\outputs\data\optimization\network\DC_Network_summary_result_0x3.csv, Q_DC_space_cooling_and_refrigeration_losses_W,2.4648127854, ok
1360,cooling\outputs\data\optimization\network\DC_Network_summary_result_0x3.csv, Q_DC_space_cooling_data_center_and_refrigeration_losses_W,2.4648127854, ok
1363,cooling\outputs\data\optimization\network\DC_Network_summary_result_0x3.csv, T_DCNf_space_cooling_and_refrigeration_sup_K,0.0562777981, ok
1365,cooling\outputs\data\optimization\network\DC_Network_summary_result_0x3.csv, T_DCNf_space_cooling_data_center_and_refrigeration_sup_K,0.0562777981, ok
1381,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xb.csv, Q_DCNf_space_cooling_and_refrigeration_W,353.3893401826, ok
1382,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xb.csv, Q_DCNf_space_cooling_data_center_and_refrigeration_W,353.3893401826, ok
1383,cooling\outputs\data\optimization\network\DC_Network_summary_result_0xb.csv, Q_DC_space_cooling_and_refrigeration_losses_W,2.9205730594, ok
