,FILE,FIELD,RMSE,ERROR
1707,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Requirements_Pattern.csv, E_BaseVCC_WS_req_W,51897.8127830242, ok
1708,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Requirements_Pattern.csv, E_DCN_req_W,5.1153967872, ok
1722,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Requirements_Pattern.csv, E_cs_cre_cdata_req_building_scale_W,725520.6509589591, ok
1724,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Requirements_Pattern.csv, E_electricalnetwork_sys_req_W,1003760.5201532745, ok
1728,cooling\outputs\data\optimization\slave\gen_2\ind_0_Electricity_Requirements_Pattern.csv, Eaux_req_W,0.0488584475, ok
1754,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, Capex_a_sys_USD,355995801.3581975, ok
1755,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, Capex_a_sys_building_scale_USD,104968.8721209997, ok
1756,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, Capex_a_sys_district_scale_USD,368326722.58559877, ok
1757,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, Capex_total_sys_USD,57969370432.59699, ok
1758,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, Capex_total_sys_building_scale_USD,20850913.03839999, ok
1759,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, Capex_total_sys_district_scale_USD,60189052218.42349, ok
1760,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, GHG_sys_building_scale_tonCO2,6.640929, ok
1761,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, GHG_sys_district_scale_tonCO2,7153.607241, ok
1762,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, GHG_sys_tonCO2,6724.328004, ok
1763,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, Opex_a_sys_USD,1478450562.8906205, ok
1764,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, Opex_a_sys_building_scale_USD,1358767.8982440005, ok
1765,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, Opex_a_sys_district_scale_USD,1569450195.6663654, ok
1766,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, TAC_sys_USD,3285407690.962579, ok
1767,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, TAC_sys_building_scale_USD,2219060.1018009996, ok
1768,cooling\outputs\data\optimization\slave\gen_2\ind_0_total_performance.csv, TAC_sys_district_scale_USD,3458395801.2481127, ok
1771,cooling\outputs\data\optimization\substations\0x3DC_B1002_result.csv, Q_space_cooling_and_refrigeration_W,107.5166666667, ok
1772,cooling\outputs\data\optimization\substations\0x3DC_B1002_result.csv, Q_space_cooling_data_center_and_refrigeration_W,107.5166666667, ok
1773,cooling\outputs\data\optimization\substations\0x3DC_B1002_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.0832701468, ok
1774,cooling\outputs\data\optimization\substations\0x3DC_B1002_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.0832701468, ok
1781,cooling\outputs\data\optimization\substations\0x3DC_B1003_result.csv, Q_space_cooling_and_refrigeration_W,330.2059360731, ok
1782,cooling\outputs\data\optimization\substations\0x3DC_B1003_result.csv, Q_space_cooling_data_center_and_refrigeration_W,330.2059360731, ok
1783,cooling\outputs\data\optimization\substations\0x3DC_B1003_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.7742136608, ok
1784,cooling\outputs\data\optimization\substations\0x3DC_B1003_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.7742136608, ok
1821,cooling\outputs\data\optimization\substations\0xbDC_B1000_result.csv, Q_space_cooling_and_refrigeration_W,131.4271689498, ok
1822,cooling\outputs\data\optimization\substations\0xbDC_B1000_result.csv, Q_space_cooling_data_center_and_refrigeration_W,131.4271689498, ok
1823,cooling\outputs\data\optimization\substations\0xbDC_B1000_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.2528797821, ok
1824,cooling\outputs\data\optimization\substations\0xbDC_B1000_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.2528797821, ok
1831,cooling\outputs\data\optimization\substations\0xbDC_B1002_result.csv, Q_space_cooling_and_refrigeration_W,107.5166666667, ok
1832,cooling\outputs\data\optimization\substations\0xbDC_B1002_result.csv, Q_space_cooling_data_center_and_refrigeration_W,107.5166666667, ok
1833,cooling\outputs\data\optimization\substations\0xbDC_B1002_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.0832701468, ok
1834,cooling\outputs\data\optimization\substations\0xbDC_B1002_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.0832701468, ok
1841,cooling\outputs\data\optimization\substations\0xbDC_B1003_result.csv, Q_space_cooling_and_refrigeration_W,330.2059360731, ok
1842,cooling\outputs\data\optimization\substations\0xbDC_B1003_result.csv, Q_space_cooling_data_center_and_refrigeration_W,330.2059360731, ok
1843,cooling\outputs\data\optimization\substations\0xbDC_B1003_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.7742136608, ok
1844,cooling\outputs\data\optimization\substations\0xbDC_B1003_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.7742136608, ok
1851,cooling\outputs\data\optimization\substations\0xcDC_B1000_result.csv, Q_space_cooling_and_refrigeration_W,131.4271689498, ok
1852,cooling\outputs\data\optimization\substations\0xcDC_B1000_result.csv, Q_space_cooling_data_center_and_refrigeration_W,131.4271689498, ok
1853,cooling\outputs\data\optimization\substations\0xcDC_B1000_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.2528797821, ok
1854,cooling\outputs\data\optimization\substations\0xcDC_B1000_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.2528797821, ok
1855,cooling\outputs\data\optimization\substations\0xcDC_B1000_result.csv, T_supply_DC_space_cooling_and_refrigeration_result_K,0.010359589, ok
1856,cooling\outputs\data\optimization\substations\0xcDC_B1000_result.csv, T_supply_DC_space_cooling_data_center_and_refrigeration_result_K,0.010359589, ok
1861,cooling\outputs\data\optimization\substations\0xcDC_B1001_result.csv, Q_space_cooling_and_refrigeration_W,489.3805936073, ok
1862,cooling\outputs\data\optimization\substations\0xcDC_B1001_result.csv, Q_space_cooling_data_center_and_refrigeration_W,489.3805936073, ok
1863,cooling\outputs\data\optimization\substations\0xcDC_B1001_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.1761017721, ok
1864,cooling\outputs\data\optimization\substations\0xcDC_B1001_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.1761017721, ok
1865,cooling\outputs\data\optimization\substations\0xcDC_B1001_result.csv, T_supply_DC_space_cooling_and_refrigeration_result_K,0.010359589, ok
1866,cooling\outputs\data\optimization\substations\0xcDC_B1001_result.csv, T_supply_DC_space_cooling_data_center_and_refrigeration_result_K,0.010359589, ok
1871,cooling\outputs\data\optimization\substations\0xfDC_B1000_result.csv, Q_space_cooling_and_refrigeration_W,131.4271689498, ok
1872,cooling\outputs\data\optimization\substations\0xfDC_B1000_result.csv, Q_space_cooling_data_center_and_refrigeration_W,131.4271689498, ok
1873,cooling\outputs\data\optimization\substations\0xfDC_B1000_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.2528797821, ok
1874,cooling\outputs\data\optimization\substations\0xfDC_B1000_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.2528797821, ok
1875,cooling\outputs\data\optimization\substations\0xfDC_B1000_result.csv, T_supply_DC_space_cooling_and_refrigeration_result_K,0.010359589, ok
1876,cooling\outputs\data\optimization\substations\0xfDC_B1000_result.csv, T_supply_DC_space_cooling_data_center_and_refrigeration_result_K,0.010359589, ok
1881,cooling\outputs\data\optimization\substations\0xfDC_B1001_result.csv, Q_space_cooling_and_refrigeration_W,489.3805936073, ok
1882,cooling\outputs\data\optimization\substations\0xfDC_B1001_result.csv, Q_space_cooling_data_center_and_refrigeration_W,489.3805936073, ok
1883,cooling\outputs\data\optimization\substations\0xfDC_B1001_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.1761017721, ok
1884,cooling\outputs\data\optimization\substations\0xfDC_B1001_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.1761017721, ok
1885,cooling\outputs\data\optimization\substations\0xfDC_B1001_result.csv, T_supply_DC_space_cooling_and_refrigeration_result_K,0.010359589, ok
1886,cooling\outputs\data\optimization\substations\0xfDC_B1001_result.csv, T_supply_DC_space_cooling_data_center_and_refrigeration_result_K,0.010359589, ok
1891,cooling\outputs\data\optimization\substations\0xfDC_B1002_result.csv, Q_space_cooling_and_refrigeration_W,107.5166666667, ok
1892,cooling\outputs\data\optimization\substations\0xfDC_B1002_result.csv, Q_space_cooling_data_center_and_refrigeration_W,107.5166666667, ok
1893,cooling\outputs\data\optimization\substations\0xfDC_B1002_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.0832701468, ok
1894,cooling\outputs\data\optimization\substations\0xfDC_B1002_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.0832701468, ok
1895,cooling\outputs\data\optimization\substations\0xfDC_B1002_result.csv, T_supply_DC_space_cooling_and_refrigeration_result_K,0.010359589, ok
1896,cooling\outputs\data\optimization\substations\0xfDC_B1002_result.csv, T_supply_DC_space_cooling_data_center_and_refrigeration_result_K,0.010359589, ok
1901,cooling\outputs\data\optimization\substations\0xfDC_B1003_result.csv, Q_space_cooling_and_refrigeration_W,330.2059360731, ok
1902,cooling\outputs\data\optimization\substations\0xfDC_B1003_result.csv, Q_space_cooling_data_center_and_refrigeration_W,330.2059360731, ok
1903,cooling\outputs\data\optimization\substations\0xfDC_B1003_result.csv, T_return_DC_space_cooling_and_refrigeration_result_K,0.7742136608, ok
1904,cooling\outputs\data\optimization\substations\0xfDC_B1003_result.csv, T_return_DC_space_cooling_data_center_and_refrigeration_result_K,0.7742136608, ok
1905,cooling\outputs\data\optimization\substations\0xfDC_B1003_result.csv, T_supply_DC_space_cooling_and_refrigeration_result_K,0.010359589, ok
1906,cooling\outputs\data\optimization\substations\0xfDC_B1003_result.csv, T_supply_DC_space_cooling_data_center_and_refrigeration_result_K,0.010359589, ok
1918,cooling\outputs\data\optimization\substations\Total_DC_0x3.csv, Qcs_sys_MWhyr,0.012321, ok
1978,cooling\outputs\data\optimization\substations\Total_DC_0x3.csv, Qcs_MWhyr,0.011449, ok
2016,cooling\outputs\data\optimization\substations\Total_DC_0x3.csv, QC_sys_MWhyr,0.012321, ok
2067,cooling\outputs\data\optimization\substations\Total_DC_0x3.csv, Qcs_sys_aru_MWhyr,0.012321, ok
2244,cooling\outputs\data\optimization\substations\Total_DC_0xb.csv, Qcs_sys_MWhyr,0.012321, ok
2304,cooling\outputs\data\optimization\substations\Total_DC_0xb.csv, Qcs_MWhyr,0.011449, ok
2342,cooling\outputs\data\optimization\substations\Total_DC_0xb.csv, QC_sys_MWhyr,0.012321, ok
2393,cooling\outputs\data\optimization\substations\Total_DC_0xb.csv, Qcs_sys_aru_MWhyr,0.012321, ok
2407,cooling\outputs\data\optimization\substations\Total_DC_0xc.csv, Qcs_sys_MWhyr,0.024025, ok
2467,cooling\outputs\data\optimization\substations\Total_DC_0xc.csv, Qcs_MWhyr,0.021609, ok
2498,cooling\outputs\data\optimization\substations\Total_DC_0xc.csv, Qcs_sen_sys_MWhyr,0.018496, ok
2505,cooling\outputs\data\optimization\substations\Total_DC_0xc.csv, QC_sys_MWhyr,0.024025, ok
2524,cooling\outputs\data\optimization\substations\Total_DC_0xc.csv, Qcs_sen_aru_MWhyr,0.018496, ok
2556,cooling\outputs\data\optimization\substations\Total_DC_0xc.csv, Qcs_sys_aru_MWhyr,0.024025, ok
2570,cooling\outputs\data\optimization\substations\Total_DC_0xf.csv, Qcs_sys_MWhyr,0.012321, ok
2630,cooling\outputs\data\optimization\substations\Total_DC_0xf.csv, Qcs_MWhyr,0.011449, ok
2668,cooling\outputs\data\optimization\substations\Total_DC_0xf.csv, QC_sys_MWhyr,0.012321, ok
2719,cooling\outputs\data\optimization\substations\Total_DC_0xf.csv, Qcs_sys_aru_MWhyr,0.012321, ok
2739,cooling\outputs\data\potentials\solar\B1000_PV.csv, PV_walls_west_m2,19.0096, ok
2741,cooling\outputs\data\potentials\solar\B1000_PV.csv, radiation_kWh,0.5758786073, ok
2742,cooling\outputs\data\potentials\solar\B1000_PV.csv, Area_PV_m2,19.0096, ok
2749,cooling\outputs\data\potentials\solar\B1000_PVT.csv, PVT_roofs_top_Q_kWh,0.0216333333, ok
2755,cooling\outputs\data\potentials\solar\B1000_PVT.csv, PVT_walls_west_Q_kWh,0.0477236301, ok
2757,cooling\outputs\data\potentials\solar\B1000_PVT.csv, PVT_walls_west_m2,19.0096, ok
2758,cooling\outputs\data\potentials\solar\B1000_PVT.csv, Area_PVT_m2,19.0096, ok
2759,cooling\outputs\data\potentials\solar\B1000_PVT.csv, radiation_kWh,0.5758786073, ok
2761,cooling\outputs\data\potentials\solar\B1000_PVT.csv, Q_PVT_gen_kWh,0.0718131164, ok
2762,cooling\outputs\data\potentials\solar\B1000_PVT.csv, mcp_PVT_kWperC,0.1034031507, ok
2791,cooling\outputs\data\potentials\solar\B1000_SC_ET.csv, SC_ET_roofs_top_Q_kWh,0.4940112329, ok
2793,cooling\outputs\data\potentials\solar\B1000_SC_ET.csv, SC_ET_walls_west_Q_kWh,0.0598935845, ok
2794,cooling\outputs\data\potentials\solar\B1000_SC_ET.csv, SC_ET_walls_west_m2,19.0096, ok
2795,cooling\outputs\data\potentials\solar\B1000_SC_ET.csv, Area_SC_m2,19.0096, ok
2796,cooling\outputs\data\potentials\solar\B1000_SC_ET.csv, radiation_kWh,0.5758786073, ok
2797,cooling\outputs\data\potentials\solar\B1000_SC_ET.csv, Q_SC_gen_kWh,0.5545756735, ok
2798,cooling\outputs\data\potentials\solar\B1000_SC_ET.csv, mcp_SC_kWperC,0.0864601256, ok
2818,cooling\outputs\data\potentials\solar\B1000_SC_FP.csv, SC_FP_walls_west_m2,19.0096, ok
2819,cooling\outputs\data\potentials\solar\B1000_SC_FP.csv, Area_SC_m2,19.0096, ok
2820,cooling\outputs\data\potentials\solar\B1000_SC_FP.csv, radiation_kWh,0.5758786073, ok
2822,cooling\outputs\data\potentials\solar\B1000_SC_FP.csv, mcp_SC_kWperC,0.0760117123, ok
2842,cooling\outputs\data\potentials\solar\B1001_PV.csv, PV_walls_east_m2,2.3104, ok
2846,cooling\outputs\data\potentials\solar\B1001_PV.csv, radiation_kWh,0.069493653, ok
2847,cooling\outputs\data\potentials\solar\B1001_PV.csv, Area_PV_m2,2.3409, ok
2854,cooling\outputs\data\potentials\solar\B1001_PVT.csv, PVT_roofs_top_Q_kWh,1.3738504338, ok
2859,cooling\outputs\data\potentials\solar\B1001_PVT.csv, PVT_walls_east_m2,2.3104, ok
2863,cooling\outputs\data\potentials\solar\B1001_PVT.csv, Area_PVT_m2,2.3409, ok
2864,cooling\outputs\data\potentials\solar\B1001_PVT.csv, radiation_kWh,0.069493653, ok
2866,cooling\outputs\data\potentials\solar\B1001_PVT.csv, Q_PVT_gen_kWh,1.3904944977, ok
2867,cooling\outputs\data\potentials\solar\B1001_PVT.csv, mcp_PVT_kWperC,0.08973371, ok
2896,cooling\outputs\data\potentials\solar\B1001_SC_ET.csv, SC_ET_roofs_top_Q_kWh,0.4889392808, ok
2899,cooling\outputs\data\potentials\solar\B1001_SC_ET.csv, SC_ET_walls_east_m2,2.3104, ok
2902,cooling\outputs\data\potentials\solar\B1001_SC_ET.csv, Area_SC_m2,2.3409, ok
2903,cooling\outputs\data\potentials\solar\B1001_SC_ET.csv, radiation_kWh,0.069493653, ok
2904,cooling\outputs\data\potentials\solar\B1001_SC_ET.csv, Q_SC_gen_kWh,0.4891877968, ok
2905,cooling\outputs\data\potentials\solar\B1001_SC_ET.csv, mcp_SC_kWperC,0.0960654452, ok
2925,cooling\outputs\data\potentials\solar\B1001_SC_FP.csv, SC_FP_walls_east_m2,2.3104, ok
2928,cooling\outputs\data\potentials\solar\B1001_SC_FP.csv, Area_SC_m2,2.3409, ok
2929,cooling\outputs\data\potentials\solar\B1001_SC_FP.csv, radiation_kWh,0.069493653, ok
2931,cooling\outputs\data\potentials\solar\B1001_SC_FP.csv, mcp_SC_kWperC,0.0249861644, ok
2951,cooling\outputs\data\potentials\solar\B1002_PV.csv, PV_walls_west_m2,9.3025, ok
2953,cooling\outputs\data\potentials\solar\B1002_PV.csv, radiation_kWh,0.2397963128, ok
2954,cooling\outputs\data\potentials\solar\B1002_PV.csv, Area_PV_m2,9.3025, ok
2961,cooling\outputs\data\potentials\solar\B1002_PVT.csv, PVT_roofs_top_Q_kWh,0.0311097945, ok
2967,cooling\outputs\data\potentials\solar\B1002_PVT.csv, PVT_walls_west_Q_kWh,0.0227000114, ok
2969,cooling\outputs\data\potentials\solar\B1002_PVT.csv, PVT_walls_west_m2,9.3025, ok
2970,cooling\outputs\data\potentials\solar\B1002_PVT.csv, Area_PVT_m2,9.3025, ok
2971,cooling\outputs\data\potentials\solar\B1002_PVT.csv, radiation_kWh,0.2397963128, ok
2973,cooling\outputs\data\potentials\solar\B1002_PVT.csv, Q_PVT_gen_kWh,0.0464775, ok
2974,cooling\outputs\data\potentials\solar\B1002_PVT.csv, mcp_PVT_kWperC,0.1224160046, ok
3003,cooling\outputs\data\potentials\solar\B1002_SC_ET.csv, SC_ET_roofs_top_Q_kWh,0.0345667466, ok
3005,cooling\outputs\data\potentials\solar\B1002_SC_ET.csv, SC_ET_walls_west_Q_kWh,0.0271496005, ok
3006,cooling\outputs\data\potentials\solar\B1002_SC_ET.csv, SC_ET_walls_west_m2,9.3025, ok
3007,cooling\outputs\data\potentials\solar\B1002_SC_ET.csv, Area_SC_m2,9.3025, ok
3008,cooling\outputs\data\potentials\solar\B1002_SC_ET.csv, radiation_kWh,0.2397963128, ok
3009,cooling\outputs\data\potentials\solar\B1002_SC_ET.csv, Q_SC_gen_kWh,0.0555336187, ok
3010,cooling\outputs\data\potentials\solar\B1002_SC_ET.csv, mcp_SC_kWperC,0.0748026256, ok
3030,cooling\outputs\data\potentials\solar\B1002_SC_FP.csv, SC_FP_walls_west_m2,9.3025, ok
3031,cooling\outputs\data\potentials\solar\B1002_SC_FP.csv, Area_SC_m2,9.3025, ok
3032,cooling\outputs\data\potentials\solar\B1002_SC_FP.csv, radiation_kWh,0.2397963128, ok
3034,cooling\outputs\data\potentials\solar\B1002_SC_FP.csv, mcp_SC_kWperC,0.0178105822, ok
3054,cooling\outputs\data\potentials\solar\B1003_PV.csv, PV_walls_west_m2,8.0089, ok
3056,cooling\outputs\data\potentials\solar\B1003_PV.csv, radiation_kWh,0.2474164954, ok
3057,cooling\outputs\data\potentials\solar\B1003_PV.csv, Area_PV_m2,8.0089, ok
3064,cooling\outputs\data\potentials\solar\B1003_PVT.csv, PVT_roofs_top_Q_kWh,0.0584968037, ok
3070,cooling\outputs\data\potentials\solar\B1003_PVT.csv, PVT_walls_west_Q_kWh,0.0197758904, ok
3072,cooling\outputs\data\potentials\solar\B1003_PVT.csv, PVT_walls_west_m2,8.0089, ok
3073,cooling\outputs\data\potentials\solar\B1003_PVT.csv, Area_PVT_m2,8.0089, ok
3074,cooling\outputs\data\potentials\solar\B1003_PVT.csv, radiation_kWh,0.2474164954, ok
3076,cooling\outputs\data\potentials\solar\B1003_PVT.csv, Q_PVT_gen_kWh,0.0774646233, ok
3077,cooling\outputs\data\potentials\solar\B1003_PVT.csv, mcp_PVT_kWperC,0.1255228653, ok
3106,cooling\outputs\data\potentials\solar\B1003_SC_ET.csv, SC_ET_roofs_top_Q_kWh,0.7977604452, ok
3108,cooling\outputs\data\potentials\solar\B1003_SC_ET.csv, SC_ET_walls_west_Q_kWh,0.0229249543, ok
3109,cooling\outputs\data\potentials\solar\B1003_SC_ET.csv, SC_ET_walls_west_m2,8.0089, ok
3110,cooling\outputs\data\potentials\solar\B1003_SC_ET.csv, Area_SC_m2,8.0089, ok
3111,cooling\outputs\data\potentials\solar\B1003_SC_ET.csv, radiation_kWh,0.2474164954, ok
3112,cooling\outputs\data\potentials\solar\B1003_SC_ET.csv, Q_SC_gen_kWh,0.8183076142, ok
3113,cooling\outputs\data\potentials\solar\B1003_SC_ET.csv, mcp_SC_kWperC,0.0875573973, ok
3133,cooling\outputs\data\potentials\solar\B1003_SC_FP.csv, SC_FP_walls_west_m2,8.0089, ok
3134,cooling\outputs\data\potentials\solar\B1003_SC_FP.csv, Area_SC_m2,8.0089, ok
3135,cooling\outputs\data\potentials\solar\B1003_SC_FP.csv, radiation_kWh,0.2474164954, ok
3137,cooling\outputs\data\potentials\solar\B1003_SC_FP.csv, mcp_SC_kWperC,0.0530484361, ok
3160,cooling\outputs\data\potentials\solar\PVT_total.csv, PVT_roofs_top_Q_kWh,1.4413307991, ok
3165,cooling\outputs\data\potentials\solar\PVT_total.csv, PVT_walls_east_m2,2.3104, ok
3166,cooling\outputs\data\potentials\solar\PVT_total.csv, PVT_walls_west_Q_kWh,0.0525792808, ok
3168,cooling\outputs\data\potentials\solar\PVT_total.csv, PVT_walls_west_m2,20.9764, ok
3169,cooling\outputs\data\potentials\solar\PVT_total.csv, Area_PVT_m2,37.3321, ok
3170,cooling\outputs\data\potentials\solar\PVT_total.csv, radiation_kWh,0.793310137, ok
3172,cooling\outputs\data\potentials\solar\PVT_total.csv, Q_PVT_gen_kWh,1.5041848288, ok
3173,cooling\outputs\data\potentials\solar\PVT_total.csv, mcp_PVT_kWperC,0.3625481963, ok
3182,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, PVT_roofs_top_Q_kWh,4381.8192999999, ok
3183,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, PVT_roofs_top_E_kWh,375.738425, ok
3184,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, PVT_walls_east_Q_kWh,16931.2144, ok
3185,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, PVT_walls_east_E_kWh,1244.6784, ok
3186,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, PVT_walls_west_Q_kWh,297430.6446249999, ok
3187,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, PVT_walls_west_E_kWh,18018.446625, ok
3188,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, radiation_kWh,5910597.345150014, ok
3189,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, E_PVT_gen_kWh,18736.7938999996, ok
3190,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, Q_PVT_gen_kWh,330390.6321750032, ok
3191,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, Eaux_PVT_kWh,0.0545, ok
3192,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, Q_PVT_l_kWh,170.770425, ok
3196,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, PVT_walls_east_m2,0.5776, ok
3197,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, PVT_walls_west_m2,9.08025, ok
3198,cooling\outputs\data\potentials\solar\PVT_total_buildings.csv, Area_PVT_m2,9.665475, ok
3202,cooling\outputs\data\potentials\solar\PV_total.csv, PV_walls_east_m2,2.3104, ok
3204,cooling\outputs\data\potentials\solar\PV_total.csv, PV_walls_west_m2,20.9764, ok
3206,cooling\outputs\data\potentials\solar\PV_total.csv, radiation_kWh,0.793310137, ok
3207,cooling\outputs\data\potentials\solar\PV_total.csv, Area_PV_m2,37.3321, ok
3210,cooling\outputs\data\potentials\solar\PV_total_buildings.csv, PV_roofs_top_E_kWh,352.346925, ok
3211,cooling\outputs\data\potentials\solar\PV_total_buildings.csv, PV_walls_east_E_kWh,1271.6356, ok
3212,cooling\outputs\data\potentials\solar\PV_total_buildings.csv, PV_walls_west_E_kWh,18139.4617, ok
3213,cooling\outputs\data\potentials\solar\PV_total_buildings.csv, E_PV_gen_kWh,18988.9815500001, ok
3214,cooling\outputs\data\potentials\solar\PV_total_buildings.csv, radiation_kWh,5910597.345150014, ok
3218,cooling\outputs\data\potentials\solar\PV_total_buildings.csv, PV_walls_east_m2,0.5776, ok
3219,cooling\outputs\data\potentials\solar\PV_total_buildings.csv, PV_walls_west_m2,9.08025, ok
3220,cooling\outputs\data\potentials\solar\PV_total_buildings.csv, Area_PV_m2,9.665475, ok
3221,cooling\outputs\data\potentials\solar\SC_ET_total.csv, SC_ET_roofs_top_Q_kWh,0.8290942808, ok
3224,cooling\outputs\data\potentials\solar\SC_ET_total.csv, SC_ET_walls_east_m2,2.3104, ok
3225,cooling\outputs\data\potentials\solar\SC_ET_total.csv, SC_ET_walls_west_Q_kWh,0.0670126484, ok
3226,cooling\outputs\data\potentials\solar\SC_ET_total.csv, SC_ET_walls_west_m2,20.9764, ok
3227,cooling\outputs\data\potentials\solar\SC_ET_total.csv, Area_SC_m2,37.3321, ok
3228,cooling\outputs\data\potentials\solar\SC_ET_total.csv, radiation_kWh,0.793310137, ok
3229,cooling\outputs\data\potentials\solar\SC_ET_total.csv, Q_SC_gen_kWh,0.8847343607, ok
3230,cooling\outputs\data\potentials\solar\SC_ET_total.csv, mcp_SC_kWperC,0.2814415525, ok
3237,cooling\outputs\data\potentials\solar\SC_ET_total_buildings.csv, SC_ET_roofs_top_Q_kWh,12945.0204749988, ok
3238,cooling\outputs\data\potentials\solar\SC_ET_total_buildings.csv, SC_ET_walls_east_Q_kWh,103.6324, ok
3239,cooling\outputs\data\potentials\solar\SC_ET_total_buildings.csv, SC_ET_walls_west_Q_kWh,103630.35055, ok
3240,cooling\outputs\data\potentials\solar\SC_ET_total_buildings.csv, radiation_kWh,5910597.345150014, ok
3241,cooling\outputs\data\potentials\solar\SC_ET_total_buildings.csv, Q_SC_gen_kWh,98354.1917000027, ok
3242,cooling\outputs\data\potentials\solar\SC_ET_total_buildings.csv, Eaux_SC_kWh,33.99245, ok
3243,cooling\outputs\data\potentials\solar\SC_ET_total_buildings.csv, Q_SC_l_kWh,1063.520475, ok
3247,cooling\outputs\data\potentials\solar\SC_ET_total_buildings.csv, SC_ET_walls_east_m2,0.5776, ok
3248,cooling\outputs\data\potentials\solar\SC_ET_total_buildings.csv, SC_ET_walls_west_m2,9.08025, ok
3249,cooling\outputs\data\potentials\solar\SC_ET_total_buildings.csv, Area_SC_m2,9.665475, ok
3253,cooling\outputs\data\potentials\solar\SC_FP_total.csv, SC_FP_walls_east_m2,2.3104, ok
3255,cooling\outputs\data\potentials\solar\SC_FP_total.csv, SC_FP_walls_west_m2,20.9764, ok
3256,cooling\outputs\data\potentials\solar\SC_FP_total.csv, Area_SC_m2,37.3321, ok
3257,cooling\outputs\data\potentials\solar\SC_FP_total.csv, radiation_kWh,0.793310137, ok
3258,cooling\outputs\data\potentials\solar\SC_FP_total.csv, Q_SC_gen_kWh,0.0101821005, ok
3259,cooling\outputs\data\potentials\solar\SC_FP_total.csv, mcp_SC_kWperC,0.0624198174, ok
3266,cooling\outputs\data\potentials\solar\SC_FP_total_buildings.csv, SC_FP_roofs_top_Q_kWh,4484.7770999998, ok
3267,cooling\outputs\data\potentials\solar\SC_FP_total_buildings.csv, SC_FP_walls_east_Q_kWh,1468.805625, ok
3268,cooling\outputs\data\potentials\solar\SC_FP_total_buildings.csv, SC_FP_walls_west_Q_kWh,1815.863675, ok
3269,cooling\outputs\data\potentials\solar\SC_FP_total_buildings.csv, radiation_kWh,5910597.345150014, ok
3270,cooling\outputs\data\potentials\solar\SC_FP_total_buildings.csv, Q_SC_gen_kWh,2321.3870499999, ok
