SCRIPT,LOCATOR_METHOD,WORKSHEET,VARIABLE,DESCRIPTION,UNIT,VALUES,TYPE,COLOR,FILE_NAME
-,get_weather,,exthorrad_Whm2 (index = 10),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,glohorillum_lux (index = 16),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,glohorrad_Whm2 (index = 13),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,horirsky_Whm2 (index = 12),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,hour (index = 3),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,liq_precip_depth_mm (index = 33),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,liq_precip_rate_Hour (index = 34),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,minute (index = 4),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,month (index = 1),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,opaqskycvr_tenths (index = 23),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,precip_wtr_mm (index = 28),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,presweathcodes (index = 27),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,presweathobs (index = 26),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,relhum_percent (index = 8),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,snowdepth_cm (index = 30),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,totskycvr_tenths (index = 22),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,visibility_km (index = 24),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,winddir_deg (index = 20),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,windspd_ms (index = 21),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,year (index = 0),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_weather,,zenlum_lux (index = 19),TODO,TODO,TODO,TYPE,black,databases/weather/Zug-inducity_1990_2010_TMY.epw
-,get_surroundings_geometry,,floors_ag,Number of floors above ground (incl. ground floor),[-],{0...n},int,black,inputs/building-geometry/surroundings.shp
-,get_surroundings_geometry,,floors_bg,"Number of floors below ground (basement, etc)",[-],{0...n},int,black,inputs/building-geometry/surroundings.shp
-,get_surroundings_geometry,,geometry,Geometry,[-],[-],[-],black,inputs/building-geometry/surroundings.shp
