use_type,Tcs_set_C,Ths_set_C,Tcs_setb_C,Ths_setb_C,Ve_lsp,RH_min_pc,RH_max_pc,Occ_m2p,Qs_Wp,X_ghp,Ea_Wm2,El_Wm2,Epro_Wm2,Ed_Wm2,Vww_ldp,Vw_ldp,Qcre_Wm2,Qhpro_Wm2,Qcpro_Wm2,Ev_kWveh
MULTI_RES,28,10,27,10,10.0,30,70,35.0,70,80,2.0,5.0,0.0,0,40,80,0,0,0,0
SINGLE_RES,28,10,27,10,10.0,30,70,60.0,70,80,2.0,5.0,0.0,0,40,80,0,0,0,0
HOTEL,24,10,24,10,10.0,30,70,23.0,70,80,4.3,3.1,0.0,0,40,80,0,0,0,0
OFFICE,24,10,37,10,10.0,30,70,10.0,70,80,11.0,10.0,0.0,0,0,20,0,0,0,0
RETAIL,24,10,37,10,8.0,30,70,6.0,70,90,2.0,33.3,0.0,0,2,4,0,0,0,0
FOODSTORE,24,10,24,10,10.0,30,70,0.0,70,80,5.0,9.3,0.0,0,2,4,0,0,0,0
RESTAURANT,24,10,37,10,25.15,30,70,2.7,73,85,31.7,8.25,0.0,0,8,16,0,0,0,0
INDUSTRIAL,24,10,37,10,31.0,30,70,13.0,90,170,20.0,14.7,16.5,0,10,20,0,0,0,0
UNIVERSITY,24,10,37,10,10.0,30,70,19.0,70,80,16.0,12.0,0.0,0,0,20,0,0,0,0
SCHOOL,24,10,37,10,8.0,30,70,4.0,70,80,16.0,12.0,0.0,0,0,4,0,0,0,0
HOSPITAL,24,10,24,10,10.0,30,70,19.0,70,80,8.0,11.0,0.0,0,0,80,0,0,0,0
GYM,24,10,37,10,10.0,30,70,9.0,110,255,2.0,9.9,0.0,0,40,80,0,0,0,0
SWIMMING,50,10,50,10,36.0,30,70,20.0,70,80,2.0,11.3,0.0,0,0,360,0,0,0,0
SERVERROOM,24,10,24,10,36.0,30,70,0.0,0,0,0.0,7.1,0.0,500,0,0,0,0,0,0
PARKING,50,10,50,10,0.0,30,70,0.0,0,0,0.0,5.0,0.0,0,0,0,0,0,0,0
COOLROOM,-5,10,-5,10,0.0,30,70,0.0,0,0,0.0,5.7,0.0,0,0,0,8,0,0,0
LAB,24,10,37,10,31.0,30,70,20.0,70,80,30.0,12.0,16.5,0,10,20,0,0,0,0
MUSEUM,24,10,37,10,10.0,30,70,10.0,70,80,7.0,10.8,0.0,0,0,4,0,0,0,0
LIBRARY,24,10,37,10,10.0,30,70,9.0,70,80,2.0,6.9,0.0,0,0,4,0,0,0,0
