METADATA,mixed-schedule
MONTHLY_MULTIPLIER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PROCESSES,HOUR,HEATING,OCCUPANCY,SERVERS,WATER,COOLING,LIGHTING,APPLIANCES,DAY
0.0,1,OFF,0.22,0.0,0.02,SETBACK,0.43,0.42,WEEKDAY
0.0,2,OFF,0.22,0.0,0.02,SETBACK,0.4,0.4,WEEKDAY
0.0,3,OFF,0.22,0.0,0.02,SETBACK,0.4,0.4,WEEKDAY
0.0,4,OFF,0.22,0.0,0.05,SETBACK,0.4,0.4,WEEKDAY
0.0,5,OFF,0.22,0.0,0.05,SETBACK,0.4,0.4,WEEKDAY
0.0,6,OFF,0.22,0.0,0.06,SETBACK,0.4,0.4,WEEKDAY
0.0,7,OFF,0.3,0.0,0.46,SETPOINT,0.43,0.42,WEEKDAY
0.0,8,OFF,0.36,0.0,0.46,SETPOINT,0.5,0.45,WEEKDAY
0.0,9,OFF,0.83,0.0,0.43,SETPOINT,0.83,0.87,WEEKDAY
0.0,10,OFF,0.79,0.0,0.39,SETPOINT,0.83,0.87,WEEKDAY
0.0,11,OFF,0.79,0.0,0.32,SETPOINT,0.83,0.87,WEEKDAY
0.0,12,OFF,0.79,0.0,0.35,SETPOINT,0.83,0.87,WEEKDAY
0.0,13,OFF,0.44,0.0,0.4,SETPOINT,0.77,0.78,WEEKDAY
0.0,14,OFF,0.79,0.0,0.39,SETPOINT,0.83,0.87,WEEKDAY
0.0,15,OFF,0.79,0.0,0.43,SETPOINT,0.83,0.87,WEEKDAY
0.0,16,OFF,0.79,0.0,0.47,SETPOINT,0.83,0.87,WEEKDAY
0.0,17,OFF,0.81,0.0,0.58,SETPOINT,0.87,0.88,WEEKDAY
0.0,18,OFF,0.34,0.0,0.49,SETPOINT,0.67,0.58,WEEKDAY
0.0,19,OFF,0.28,0.0,0.31,SETBACK,0.6,0.49,WEEKDAY
0.0,20,OFF,0.28,0.0,0.2,SETBACK,0.57,0.48,WEEKDAY
0.0,21,OFF,0.28,0.0,0.19,SETBACK,0.57,0.48,WEEKDAY
0.0,22,OFF,0.3,0.0,0.14,SETBACK,0.53,0.46,WEEKDAY
0.0,23,OFF,0.26,0.0,0.05,SETBACK,0.5,0.45,WEEKDAY
0.0,24,OFF,0.26,0.0,0.05,SETBACK,0.47,0.43,WEEKDAY
0.0,1,OFF,0.22,0.0,0.02,SETBACK,0.37,0.33,SATURDAY
0.0,2,OFF,0.22,0.0,0.02,SETBACK,0.33,0.32,SATURDAY
0.0,3,OFF,0.22,0.0,0.02,SETBACK,0.33,0.32,SATURDAY
0.0,4,OFF,0.22,0.0,0.05,SETBACK,0.33,0.32,SATURDAY
0.0,5,OFF,0.22,0.0,0.05,SETBACK,0.33,0.32,SATURDAY
0.0,6,OFF,0.22,0.0,0.06,SETBACK,0.33,0.32,SATURDAY
0.0,7,OFF,0.3,0.0,0.46,SETPOINT,0.43,0.42,SATURDAY
0.0,8,OFF,0.28,0.0,0.42,SETPOINT,0.5,0.45,SATURDAY
0.0,9,OFF,0.32,0.0,0.34,SETPOINT,0.57,0.53,SATURDAY
0.0,10,OFF,0.29,0.0,0.31,SETPOINT,0.57,0.53,SATURDAY
0.0,11,OFF,0.29,0.0,0.22,SETPOINT,0.57,0.53,SATURDAY
0.0,12,OFF,0.29,0.0,0.24,SETPOINT,0.57,0.53,SATURDAY
0.0,13,OFF,0.13,0.0,0.23,SETPOINT,0.47,0.4,SATURDAY
0.0,14,OFF,0.13,0.0,0.22,SETPOINT,0.47,0.4,SATURDAY
