const_type,description,year_start,year_end,type_mass,type_leak,type_win,type_roof,type_part,type_wall,type_floor,type_base,type_shade,Es,Hs,Ns,occupied_bg,wwr_north,wwr_south,wwr_east,wwr_west,hvac_type_hs,hvac_type_cs,hvac_type_dhw,hvac_type_ctrl,hvac_type_vent,hvac_heat_starts,hvac_heat_ends,hvac_cool_starts,hvac_cool_ends,supply_type_hs,supply_type_dhw,supply_type_cs,supply_type_el
STANDARD1,Stone and Masonry from 1000's to 1920's,1000,1920,CONSTRUCTION_AS3,TIGHTNESS_AS3,WINDOW_AS1,ROOF_AS2,WALL_AS7,WALL_AS2,FLOOR_AS1,FLOOR_AS4,SHADING_AS2,0.82,0.82,0.82,FALSE,0.16,0.16,0.16,0.16,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,16|09,14|05,15|05,15|09,SUPPLY_HEATING_AS1,SUPPLY_HOTWATER_AS1,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
STANDARD2,Concrete and Masonry from 1920's to 1970's,1921,1970,CONSTRUCTION_AS2,TIGHTNESS_AS3,WINDOW_AS1,ROOF_AS2,WALL_AS7,WALL_AS5,FLOOR_AS3,FLOOR_AS6,SHADING_AS1,0.82,0.82,0.82,FALSE,0.21,0.21,0.21,0.21,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,16|09,14|05,15|05,15|09,SUPPLY_HEATING_AS1,SUPPLY_HOTWATER_AS1,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
STANDARD3,Concrete and Masonry from 1970's to 1980's,1971,1980,CONSTRUCTION_AS2,TIGHTNESS_AS3,WINDOW_AS1,ROOF_AS2,WALL_AS7,WALL_AS5,FLOOR_AS3,FLOOR_AS6,SHADING_AS1,0.82,0.82,0.82,FALSE,0.25,0.25,0.25,0.25,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,16|09,14|05,15|05,15|09,SUPPLY_HEATING_AS1,SUPPLY_HOTWATER_AS1,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
STANDARD4,Concrete and Masonry from 1980's to 2000's,1981,2000,CONSTRUCTION_AS3,TIGHTNESS_AS3,WINDOW_AS2,ROOF_AS1,WALL_AS7,WALL_AS5,FLOOR_AS3,FLOOR_AS6,SHADING_AS1,0.82,0.82,0.82,FALSE,0.21,0.21,0.21,0.21,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,16|09,14|05,15|05,15|09,SUPPLY_HEATING_AS1,SUPPLY_HOTWATER_AS1,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
STANDARD5,Concrete and Masonry from 2000's to 2020's,2000,2040,CONSTRUCTION_AS3,TIGHTNESS_AS2,WINDOW_AS2,ROOF_AS4,WALL_AS7,WALL_AS5,FLOOR_AS3,FLOOR_AS6,SHADING_AS1,0.82,0.82,0.82,FALSE,0.15,0.15,0.15,0.15,HVAC_HEATING_AS4,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS2,HVAC_VENTILATION_AS0,16|09,14|05,15|05,15|09,SUPPLY_HEATING_AS3,SUPPLY_HOTWATER_AS3,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
STANDARD6,Concrete and Masonry  from 2000's to 2020's - Minergie Standard,2000,2040,CONSTRUCTION_AS3,TIGHTNESS_AS1,WINDOW_AS4,ROOF_AS4,WALL_AS7,WALL_AS5,FLOOR_AS3,FLOOR_AS6,SHADING_AS1,0.82,0.82,0.82,FALSE,0.15,0.15,0.15,0.15,HVAC_HEATING_AS4,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS3,HVAC_VENTILATION_AS1,16|09,14|05,15|05,15|09,SUPPLY_HEATING_AS3,SUPPLY_HOTWATER_AS3,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
