building_name,zone_name,direction_name,surface_name,surface_type,surface_area,surface_comment
create_level_8_4b,zone2,east,surface_exterior_4,exterior_wall_curtain,69.984,10.58+4
create_level_8_4b,zone2,south,surface_exterior_5,exterior_wall_curtain,112.512,3.25+3.2+6.5+3.2+7.29
create_level_8_4b,zone3,south,surface_exterior_6,exterior_wall_curtain,4.704,0.98
create_level_8_4b,zone3,west,surface_exterior_7,exterior_wall_curtain,9.408,1.96
create_level_8_5a,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_5a,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_5a,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_5a,zone2,south,surface_exterior_4,exterior_wall_curtain,4.704,0.98
create_level_8_5a,zone2,west,surface_exterior_5,exterior_wall_curtain,9.408,1.96
create_level_8_5a,zone3,south,surface_exterior_6,exterior_wall_curtain,50.61,7.29+3.2+3.2+3.18
create_level_8_5a,zone3,west,surface_exterior_7,exterior_wall_curtain,11.94,3.98
create_level_8_5a,zone4,east,surface_exterior_8,exterior_wall_curtain,12.0,4
create_level_8_5a,zone4,south,surface_exterior_9,exterior_wall_curtain,70.32,3.25+3.2+6.5+3.2+7.29
create_level_8_6a,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_6a,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_6a,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_6a,zone3,south,surface_exterior_4,exterior_wall_curtain,50.61,7.29+3.2+3.2+3.18
create_level_8_6a,zone3,west,surface_exterior_5,exterior_wall_curtain,11.94,3.98
create_level_8_6a,zone4,east,surface_exterior_6,exterior_wall_curtain,12.0,4
create_level_8_6a,zone4,south,surface_exterior_7,exterior_wall_curtain,70.32,3.25+3.2+6.5+3.2+7.29
create_level_8_6a,zone5,south,surface_exterior_8,exterior_wall_curtain,4.704,0.98
create_level_8_6a,zone5,west,surface_exterior_9,exterior_wall_curtain,9.408,1.96
create_level_8_6b,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_6b,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_6b,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_6b,zone2,south,surface_exterior_4,exterior_wall_curtain,4.704,0.98
create_level_8_6b,zone2,west,surface_exterior_5,exterior_wall_curtain,9.408,1.96
create_level_8_6b,zone3,south,surface_exterior_6,exterior_wall_curtain,31.47,7.29+3.2
create_level_8_6b,zone3,west,surface_exterior_7,exterior_wall_curtain,11.94,3.98
create_level_8_6b,zone4,south,surface_exterior_8,exterior_wall_curtain,19.14,3.2+3.18
create_level_8_6b,zone5,south,surface_exterior_9,exterior_wall_curtain,38.85,3.25+3.2+6.5
create_level_8_6b,zone6,east,surface_exterior_10,exterior_wall_curtain,12.0,4
create_level_8_6b,zone6,south,surface_exterior_11,exterior_wall_curtain,31.47,3.2+7.29
create_level_8_7a,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_7a,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_7a,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_7a,zone3,south,surface_exterior_4,exterior_wall_curtain,50.61,7.29+3.2+3.2+3.18
create_level_8_7a,zone3,west,surface_exterior_5,exterior_wall_curtain,11.94,3.98
create_level_8_7a,zone4,east,surface_exterior_6,exterior_wall_curtain,12.0,4
create_level_8_7a,zone4,south,surface_exterior_7,exterior_wall_curtain,73.26,0.98+3.25+3.2+6.5+3.2+7.29
create_level_8_7a,zone6,south,surface_exterior_8,exterior_wall_curtain,4.704,0.98
create_level_8_7a,zone6,west,surface_exterior_9,exterior_wall_curtain,9.408,1.96
create_level_8_7b,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_7b,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_7b,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_7b,zone2,south,surface_exterior_4,exterior_wall_curtain,4.704,0.98
create_level_8_7b,zone2,west,surface_exterior_5,exterior_wall_curtain,9.408,1.96
create_level_8_7b,zone3,south,surface_exterior_6,exterior_wall_curtain,31.47,7.29+3.2
create_level_8_7b,zone3,west,surface_exterior_7,exterior_wall_curtain,11.94,3.98
create_level_8_7b,zone4,south,surface_exterior_8,exterior_wall_curtain,19.14,3.2+3.18
create_level_8_7b,zone5,south,surface_exterior_9,exterior_wall_curtain,38.85,3.25+3.2+6.5
create_level_8_7b,zone6,east,surface_exterior_10,exterior_wall_curtain,12.0,4
create_level_8_7b,zone6,south,surface_exterior_11,exterior_wall_curtain,31.47,3.2+7.29
create_level_8_8a,zone1,west,surface_exterior_1,exterior_wall_curtain,49.92,10.4
create_level_8_8a,zone2,north,surface_exterior_2,exterior_wall_curtain,31.824,6.63
create_level_8_8a,zone2,east,surface_exterior_3,exterior_wall_curtain,50.784,10.58
create_level_8_8a,zone3,south,surface_exterior_4,exterior_wall_curtain,31.47,7.29+3.2
create_level_8_8a,zone3,west,surface_exterior_5,exterior_wall_curtain,11.94,3.98
create_level_8_8a,zone4,south,surface_exterior_6,exterior_wall_curtain,19.14,3.2+3.18
create_level_8_8a,zone5,south,surface_exterior_7,exterior_wall_curtain,38.85,3.25+3.2+6.5
create_level_8_8a,zone6,east,surface_exterior_8,exterior_wall_curtain,12.0,4
create_level_8_8a,zone6,south,surface_exterior_9,exterior_wall_curtain,31.47,3.2+7.29
create_level_8_8a,zone7,south,surface_exterior_10,exterior_wall_curtain,4.704,0.98
