building_name,zone_name,zone_adjacent_name,surface_name,surface_type,surface_area,surface_comment
create_level_8_7b,zone3,zone4,surface_interior_6,interior_wall_gypsum,11.94,3.98
create_level_8_7b,zone5,zone6,surface_interior_7,interior_wall_gypsum,12.0,4
create_level_8_8a,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,50.352,7.29+3.2
create_level_8_8a,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,30.624,3.2+3.18
create_level_8_8a,zone2,zone5,surface_interior_3,interior_wall_window_gypsum,62.16,3.25+3.2+6.5
create_level_8_8a,zone2,zone6,surface_interior_4,interior_wall_window_gypsum,50.352,3.2+7.29
create_level_8_8a,zone2,zone7,surface_interior_5,interior_wall_window_gypsum,20.016,4.17
create_level_8_8a,zone3,zone4,surface_interior_6,interior_wall_gypsum,11.94,3.98
create_level_8_8a,zone5,zone6,surface_interior_7,interior_wall_gypsum,12.0,4
create_level_8_9a,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,50.352,7.29+3.2
create_level_8_9a,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,30.624,3.2+3.18
create_level_8_9a,zone2,zone5,surface_interior_3,interior_wall_window_gypsum,62.16,3.25+3.2+6.5
create_level_8_9a,zone2,zone6,surface_interior_4,interior_wall_window_gypsum,50.352,3.2+7.29
create_level_8_9a,zone2,zone8,surface_interior_5,interior_wall_window_gypsum,20.016,4.17
create_level_8_9a,zone3,zone4,surface_interior_6,interior_wall_gypsum,11.94,3.98
create_level_8_9a,zone5,zone6,surface_interior_7,interior_wall_gypsum,12.0,4
create_level_8_9b,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level_8_9b,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,34.992,7.29
create_level_8_9b,zone1,zone4,surface_interior_3,interior_wall_window_gypsum,30.72,3.2+3.2
create_level_8_9b,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,15.264,3.18
create_level_8_9b,zone2,zone6,surface_interior_5,interior_wall_window_gypsum,30.96,3.25+3.2
create_level_8_9b,zone2,zone7,surface_interior_6,interior_wall_window_gypsum,46.56,6.5+3.2
create_level_8_9b,zone2,zone8,surface_interior_7,interior_wall_window_gypsum,34.992,7.29
create_level_8_9b,zone3,zone4,surface_interior_8,interior_wall_gypsum,11.94,3.98
create_level_8_9b,zone4,zone5,surface_interior_9,interior_wall_gypsum,11.94,3.98
create_level_8_9b,zone6,zone7,surface_interior_10,interior_wall_gypsum,12.0,4
create_level_8_9b,zone7,zone8,surface_interior_11,interior_wall_gypsum,12.0,4
create_level_8_10a,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,34.992,7.29
create_level_8_10a,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,30.72,3.2+3.2
create_level_8_10a,zone1,zone5,surface_interior_3,interior_wall_window_gypsum,15.264,3.18
create_level_8_10a,zone2,zone6,surface_interior_4,interior_wall_window_gypsum,30.96,3.25+3.2
create_level_8_10a,zone2,zone7,surface_interior_5,interior_wall_window_gypsum,46.56,6.5+3.2
create_level_8_10a,zone2,zone8,surface_interior_6,interior_wall_window_gypsum,34.992,7.29
create_level_8_10a,zone2,zone9,surface_interior_7,interior_wall_window_gypsum,20.016,4.17
create_level_8_10a,zone3,zone4,surface_interior_8,interior_wall_gypsum,11.94,3.98
create_level_8_10a,zone4,zone5,surface_interior_9,interior_wall_gypsum,11.94,3.98
create_level_8_10a,zone6,zone7,surface_interior_10,interior_wall_gypsum,12.0,4
create_level_8_10a,zone7,zone8,surface_interior_11,interior_wall_gypsum,12.0,4
create_level_8_11a,zone1,zone3,surface_interior_1,interior_wall_window_gypsum,34.992,7.29
create_level_8_11a,zone1,zone4,surface_interior_2,interior_wall_window_gypsum,30.72,3.2+3.2
create_level_8_11a,zone1,zone5,surface_interior_3,interior_wall_window_gypsum,15.264,3.18
create_level_8_11a,zone2,zone6,surface_interior_4,interior_wall_window_gypsum,30.96,3.25+3.2
create_level_8_11a,zone2,zone7,surface_interior_5,interior_wall_window_gypsum,46.56,6.5+3.2
create_level_8_11a,zone2,zone8,surface_interior_6,interior_wall_window_gypsum,34.992,7.29
create_level_8_11a,zone2,zone10,surface_interior_7,interior_wall_window_gypsum,20.016,4.17
create_level_8_11a,zone3,zone4,surface_interior_8,interior_wall_gypsum,11.94,3.98
create_level_8_11a,zone4,zone5,surface_interior_9,interior_wall_gypsum,11.94,3.98
create_level_8_11a,zone6,zone7,surface_interior_10,interior_wall_gypsum,12.0,4
create_level_8_11a,zone7,zone8,surface_interior_11,interior_wall_gypsum,12.0,4
create_level_8_11b,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level_8_11b,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,34.992,7.29
create_level_8_11b,zone1,zone4,surface_interior_3,interior_wall_window_gypsum,15.36,3.2
create_level_8_11b,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,15.36,3.2
create_level_8_11b,zone1,zone6,surface_interior_5,interior_wall_window_gypsum,15.264,3.18
create_level_8_11b,zone2,zone7,surface_interior_6,interior_wall_window_gypsum,30.96,3.25+3.2
create_level_8_11b,zone2,zone8,surface_interior_7,interior_wall_window_gypsum,31.2,6.5
create_level_8_11b,zone2,zone9,surface_interior_8,interior_wall_window_gypsum,15.36,3.2
create_level_8_11b,zone2,zone10,surface_interior_9,interior_wall_window_gypsum,34.992,7.29
create_level_8_11b,zone3,zone4,surface_interior_10,interior_wall_gypsum,11.94,3.98
create_level_8_11b,zone4,zone5,surface_interior_11,interior_wall_gypsum,11.94,3.98
create_level_8_11b,zone5,zone6,surface_interior_12,interior_wall_gypsum,11.94,3.98
create_level_8_11b,zone7,zone8,surface_interior_13,interior_wall_gypsum,12.0,4
create_level_8_11b,zone8,zone9,surface_interior_14,interior_wall_gypsum,12.0,4
create_level_8_11b,zone9,zone10,surface_interior_15,interior_wall_gypsum,12.0,4
create_level_8_11c,zone1,zone2,surface_interior_1,interior_wall_window_gypsum,12.144,2.53
create_level_8_11c,zone1,zone3,surface_interior_2,interior_wall_window_gypsum,34.992,7.29
create_level_8_11c,zone1,zone4,surface_interior_3,interior_wall_window_gypsum,15.36,3.2
create_level_8_11c,zone1,zone5,surface_interior_4,interior_wall_window_gypsum,15.36,3.2
create_level_8_11c,zone1,zone6,surface_interior_5,interior_wall_window_gypsum,15.264,3.18
create_level_8_11c,zone2,zone7,surface_interior_6,interior_wall_window_gypsum,30.96,3.25+3.2
create_level_8_11c,zone2,zone9,surface_interior_7,interior_wall_window_gypsum,31.2,6.5
create_level_8_11c,zone2,zone10,surface_interior_8,interior_wall_window_gypsum,15.36,3.2
