window_type,thermal_resistance_window,irradiation_transfer_coefficient
interior_window,thermal_resistance_interior_window,irradiation_transfer_coefficient_interior_window
exterior_window,thermal_resistance_exterior_window,irradiation_transfer_coefficient_exterior_window
