building_name,zone_name,surface_name,surface_type,surface_area,surface_comment
create_level_8_1a,zone1,surface_adiabatic_1,interior_wall_gypsum,478.848,3.86+17.16+3.42+4.78+5.04+5.04+3.43+3.43+10.45+4+0.86+10.39+3*3.98+4*3.99
create_level_8_1a,zone1,surface_adiabatic_2,interior_wall_window_gypsum,258.72,17.16+23.84+2*6.45
create_level_8_1a,zone1,surface_adiabatic_3,interior_wall_concrete,132.48,9.98+9.98+5.4+2.24
create_level_8_1a,zone1,surface_adiabatic_4,interior_column,143.256504,9.5*3.14159
create_level_8_1a,zone1,surface_adiabatic_5,base_ceiling,754,
create_level_8_1a,zone1,surface_adiabatic_6,base_ceiling,754,
create_level_8_2a,zone1,surface_adiabatic_1,interior_wall_gypsum,246.456,3.86+17.16+3.42+4.78+5.04+3.43+3.43/2+3*3.98
create_level_8_2a,zone1,surface_adiabatic_2,interior_wall_window_gypsum,144.288,17.16+2*6.45
create_level_8_2a,zone1,surface_adiabatic_3,interior_wall_concrete,104.448,9.98+9.98+5.4/3
create_level_8_2a,zone1,surface_adiabatic_4,interior_column,75.39816,5*3.14159
create_level_8_2a,zone1,surface_adiabatic_5,base_ceiling,367,
create_level_8_2a,zone1,surface_adiabatic_6,base_ceiling,367,
create_level_8_2a,zone2,surface_adiabatic_7,interior_wall_gypsum,232.392,10.45+4+0.86+10.39+5.04+3.43/2+4*3.99
create_level_8_2a,zone2,surface_adiabatic_8,interior_wall_window_gypsum,114.432,23.84
create_level_8_2a,zone2,surface_adiabatic_9,interior_wall_concrete,28.032,2.24+2*5.4/3
create_level_8_2a,zone2,surface_adiabatic_10,interior_column,67.858344,4.5*3.14159
create_level_8_2a,zone2,surface_adiabatic_11,base_ceiling,373,
create_level_8_2a,zone2,surface_adiabatic_12,base_ceiling,373,
create_level_8_3a,zone1,surface_adiabatic_1,interior_wall_gypsum,246.456,3.86+17.16+3.42+4.78+5.04+3.43+3.43/2+3*3.98
create_level_8_3a,zone1,surface_adiabatic_2,interior_wall_window_gypsum,113.328,17.16+6.45
create_level_8_3a,zone1,surface_adiabatic_3,interior_wall_concrete,8.64,5.4/3
create_level_8_3a,zone1,surface_adiabatic_4,interior_column,75.39816,5*3.14159
create_level_8_3a,zone1,surface_adiabatic_5,base_ceiling,303,
create_level_8_3a,zone1,surface_adiabatic_6,base_ceiling,303,
create_level_8_3a,zone2,surface_adiabatic_7,interior_wall_gypsum,232.392,10.45+4+0.86+10.39+5.04+3.43/2+4*3.99
create_level_8_3a,zone2,surface_adiabatic_8,interior_wall_window_gypsum,114.432,23.84
create_level_8_3a,zone2,surface_adiabatic_9,interior_wall_concrete,28.032,2.24+2*5.4/3
create_level_8_3a,zone2,surface_adiabatic_10,interior_column,67.858344,4.5*3.14159
create_level_8_3a,zone2,surface_adiabatic_11,base_ceiling,373,
create_level_8_3a,zone2,surface_adiabatic_12,base_ceiling,373,
