AREA_m2,BUILDING,SURFACE,TYPE,Xcoor,Xdir,Ycoor,Ydir,Zcoor,Zdir,orientation
18.9747879419,B010,srf0,walls,371664.186468,-0.742674876486,140274.683582,-0.669652169292,2.75,0.0,west
10.2182360247,B010,srf1,walls,371664.186468,-0.742674876486,140274.683582,-0.669652169292,2.34620192062,0.0,west
10.2182360247,B010,srf2,walls,371648.452728,-0.742674876486,140292.133019,-0.669652169292,1.40379807938,0.0,west
18.9747879419,B010,srf3,walls,371652.083158,-0.742674876486,140288.106705,-0.669652169292,1.40379807938,0.0,west
10.2182360247,B010,srf4,walls,371639.979849,-0.742674876486,140301.529828,-0.669652169292,3.15379807938,0.0,west
18.9747879419,B010,srf5,walls,371639.979849,-0.742674876486,140301.529828,-0.669652169292,2.75,0.0,west
18.9747879419,B010,srf6,walls,371652.083158,-0.742674876486,140288.106705,-0.669652169292,4.09620192062,0.0,west
10.2182360247,B010,srf7,walls,371648.452728,-0.742674876486,140292.133019,-0.669652169292,4.09620192062,0.0,west
11.3041302068,B010,srf8,walls,371625.276257,-0.742674918653,140299.920547,-0.669652122526,2.75,0.0,west
6.08746041649,B010,srf9,walls,371625.276257,-0.742674918653,140299.920547,-0.669652122526,2.34620192062,0.0,west
6.08746041645,B010,srf10,walls,371615.902965,-0.742674918653,140310.315958,-0.669652122526,1.40379807938,0.0,west
11.3041302067,B010,srf11,walls,371618.065775,-0.742674918653,140307.917303,-0.669652122526,1.40379807938,0.0,west
6.08746041645,B010,srf12,walls,371610.855292,-0.742674918653,140315.914059,-0.669652122526,3.15379807938,0.0,west
11.3041302067,B010,srf13,walls,371610.855292,-0.742674918653,140315.914059,-0.669652122526,2.75,0.0,west
11.3041302067,B010,srf14,walls,371618.065775,-0.742674918653,140307.917303,-0.669652122526,4.09620192062,0.0,west
6.08746041645,B010,srf15,walls,371615.902965,-0.742674918653,140310.315958,-0.669652122526,4.09620192062,0.0,west
20.9933844184,B010,srf16,walls,371635.767502,-0.742674745812,140212.141277,-0.669652314214,2.75,0.0,west
11.3052834953,B010,srf17,walls,371635.767502,-0.742674745812,140212.141277,-0.669652314214,2.34620192062,0.0,west
11.3052834952,B010,srf18,walls,371618.359955,-0.742674745812,140231.447035,-0.669652314214,1.40379807938,0.0,west
20.9933844184,B010,srf19,walls,371622.376603,-0.742674745812,140226.992391,-0.669652314214,1.40379807938,0.0,west
11.3052834952,B010,srf20,walls,371608.985704,-0.742674745812,140241.843505,-0.669652314214,3.15379807938,0.0,west
20.9933844183,B010,srf21,walls,371608.985704,-0.742674745812,140241.843505,-0.669652314214,2.75,0.0,west
20.9933844184,B010,srf22,walls,371622.376603,-0.742674745812,140226.992391,-0.669652314214,4.09620192062,0.0,west
11.3052834952,B010,srf23,walls,371618.359955,-0.742674745812,140231.447035,-0.669652314214,4.09620192062,0.0,west
18.9747879419,B010,srf24,walls,371664.186468,-0.742674876486,140274.683582,-0.669652169292,6.25,0.0,west
10.2182360247,B010,srf25,walls,371664.186468,-0.742674876486,140274.683582,-0.669652169292,5.84620192062,0.0,west
10.2182360247,B010,srf26,walls,371648.452728,-0.742674876486,140292.133019,-0.669652169292,4.90379807938,0.0,west
18.9747879419,B010,srf27,walls,371652.083158,-0.742674876486,140288.106705,-0.669652169292,4.90379807938,0.0,west
10.2182360247,B010,srf28,walls,371639.979849,-0.742674876486,140301.529828,-0.669652169292,6.65379807938,0.0,west
18.9747879419,B010,srf29,walls,371639.979849,-0.742674876486,140301.529828,-0.669652169292,6.25,0.0,west
18.9747879419,B010,srf30,walls,371652.083158,-0.742674876486,140288.106705,-0.669652169292,7.59620192062,0.0,west
10.2182360247,B010,srf31,walls,371648.452728,-0.742674876486,140292.133019,-0.669652169292,7.59620192062,0.0,west
11.3041302068,B010,srf32,walls,371625.276257,-0.742674918653,140299.920547,-0.669652122526,6.25,0.0,west
6.08746041649,B010,srf33,walls,371625.276257,-0.742674918653,140299.920547,-0.669652122526,5.84620192062,0.0,west
6.08746041645,B010,srf34,walls,371615.902965,-0.742674918653,140310.315958,-0.669652122526,4.90379807938,0.0,west
11.3041302067,B010,srf35,walls,371618.065775,-0.742674918653,140307.917303,-0.669652122526,4.90379807938,0.0,west
6.08746041645,B010,srf36,walls,371610.855292,-0.742674918653,140315.914059,-0.669652122526,6.65379807938,0.0,west
11.3041302067,B010,srf37,walls,371610.855292,-0.742674918653,140315.914059,-0.669652122526,6.25,0.0,west
11.3041302067,B010,srf38,walls,371618.065775,-0.742674918653,140307.917303,-0.669652122526,7.59620192062,0.0,west
6.08746041645,B010,srf39,walls,371615.902965,-0.742674918653,140310.315958,-0.669652122526,7.59620192062,0.0,west
20.9933844184,B010,srf40,walls,371635.767502,-0.742674745812,140212.141277,-0.669652314214,6.25,0.0,west
11.3052834953,B010,srf41,walls,371635.767502,-0.742674745812,140212.141277,-0.669652314214,5.84620192062,0.0,west
11.3052834952,B010,srf42,walls,371618.359955,-0.742674745812,140231.447035,-0.669652314214,4.90379807938,0.0,west
20.9933844184,B010,srf43,walls,371622.376603,-0.742674745812,140226.992391,-0.669652314214,4.90379807938,0.0,west
11.3052834952,B010,srf44,walls,371608.985704,-0.742674745812,140241.843505,-0.669652314214,6.65379807938,0.0,west
20.9933844183,B010,srf45,walls,371608.985704,-0.742674745812,140241.843505,-0.669652314214,6.25,0.0,west
20.9933844184,B010,srf46,walls,371622.376603,-0.742674745812,140226.992391,-0.669652314214,7.59620192062,0.0,west
11.3052834952,B010,srf47,walls,371618.359955,-0.742674745812,140231.447035,-0.669652314214,7.59620192062,0.0,west
18.9747879419,B010,srf48,walls,371664.186468,-0.742674876486,140274.683582,-0.669652169292,9.75,0.0,west
10.2182360247,B010,srf49,walls,371664.186468,-0.742674876486,140274.683582,-0.669652169292,9.34620192062,0.0,west
10.2182360247,B010,srf50,walls,371648.452728,-0.742674876486,140292.133019,-0.669652169292,8.40379807938,0.0,west
18.9747879419,B010,srf51,walls,371652.083158,-0.742674876486,140288.106705,-0.669652169292,8.40379807938,0.0,west
10.2182360247,B010,srf52,walls,371639.979849,-0.742674876486,140301.529828,-0.669652169292,10.1537980794,0.0,west
18.9747879419,B010,srf53,walls,371639.979849,-0.742674876486,140301.529828,-0.669652169292,9.75,0.0,west
18.9747879419,B010,srf54,walls,371652.083158,-0.742674876486,140288.106705,-0.669652169292,11.0962019206,0.0,west
10.2182360247,B010,srf55,walls,371648.452728,-0.742674876486,140292.133019,-0.669652169292,11.0962019206,0.0,west
11.3041302068,B010,srf56,walls,371625.276257,-0.742674918653,140299.920547,-0.669652122526,9.75,0.0,west
6.08746041649,B010,srf57,walls,371625.276257,-0.742674918653,140299.920547,-0.669652122526,9.34620192062,0.0,west
6.08746041645,B010,srf58,walls,371615.902965,-0.742674918653,140310.315958,-0.669652122526,8.40379807938,0.0,west
11.3041302067,B010,srf59,walls,371618.065775,-0.742674918653,140307.917303,-0.669652122526,8.40379807938,0.0,west
6.08746041645,B010,srf60,walls,371610.855292,-0.742674918653,140315.914059,-0.669652122526,10.1537980794,0.0,west
11.3041302067,B010,srf61,walls,371610.855292,-0.742674918653,140315.914059,-0.669652122526,9.75,0.0,west
11.3041302067,B010,srf62,walls,371618.065775,-0.742674918653,140307.917303,-0.669652122526,11.0962019206,0.0,west
6.08746041645,B010,srf63,walls,371615.902965,-0.742674918653,140310.315958,-0.669652122526,11.0962019206,0.0,west
20.9933844184,B010,srf64,walls,371635.767502,-0.742674745812,140212.141277,-0.669652314214,9.75,0.0,west
11.3052834953,B010,srf65,walls,371635.767502,-0.742674745812,140212.141277,-0.669652314214,9.34620192062,0.0,west
11.3052834952,B010,srf66,walls,371618.359955,-0.742674745812,140231.447035,-0.669652314214,8.40379807938,0.0,west
20.9933844184,B010,srf67,walls,371622.376603,-0.742674745812,140226.992391,-0.669652314214,8.40379807938,0.0,west
11.3052834952,B010,srf68,walls,371608.985704,-0.742674745812,140241.843505,-0.669652314214,10.1537980794,0.0,west
20.9933844183,B010,srf69,walls,371608.985704,-0.742674745812,140241.843505,-0.669652314214,9.75,0.0,west
