Name,floors_bg,height_bg,floors_ag,height_ag
"B001",0,0,9,31.5
"B002",0,0,9,31.5
"B003",0,0,27,94.5
"B004",0,0,18,63.0
"B005",0,0,27,94.5
"B006",0,0,9,31.5
"B007",0,0,84,294.0
"B008",0,0,54,189.0
"B009",0,0,36,126.0
"B010",0,0,54,189.0
"B011",0,0,36,126.0
"B012",0,0,27,94.5
"B013",0,0,36,126.0
"B014",0,0,12,42.0
"B015",0,0,12,42.0
"B016",0,0,12,42.0
"B017",0,0,12,42.0
"B018",0,0,9,31.5
"B019",0,0,12,42.0
"B020",0,0,12,42.0
"B021",0,0,18,63.0
"B022",0,0,9,31.5
