,OFFICE_ahu_heat_air_flow,OFFICE_ahu_cool_air_flow,OFFICE_tu_heat_air_flow,OFFICE_tu_cool_air_flow,OFFICE_window_air_flow
2005-01-01 00:00:00,-0.0,0.0,-0.0,16.2618653591,0.0
2005-01-01 01:00:00,-0.0,0.0,-0.0,16.3730862665,0.0
2005-01-01 02:00:00,-0.0,0.0,-0.0,16.3452810397,0.0
2005-01-01 03:00:00,-0.0,0.0,-0.0,16.3360126307,0.0
2005-01-01 04:00:00,-0.0,0.0,-0.0,16.3267442218,0.0
2005-01-01 05:00:00,-0.0,0.0,-0.0,16.3174758128,0.0
2005-01-01 06:00:00,-0.0,0.0,-0.0,24.5550991518,1.95354849362
2005-01-01 07:00:00,-0.0,0.0,-0.0,24.5643675607,1.95354849362
2005-01-01 08:00:00,-0.0,0.0,-0.0,36.6786805429,7.52895909282
2005-01-01 09:00:00,-0.0,0.0,-0.0,36.7528278145,7.52895909282
2005-01-01 10:00:00,-0.0,0.0,-0.0,36.7991698593,7.52895909282
2005-01-01 11:00:00,-0.0,0.0,-0.0,36.864048722,7.52895909282
2005-01-01 12:00:00,-0.0,0.0,-0.0,22.1660931024,1.95354849362
2005-01-01 13:00:00,-0.0,0.0,-0.0,22.1846299203,1.95354849362
2005-01-01 14:00:00,-0.0,0.0,-0.0,22.1753615113,1.95354849362
2005-01-01 15:00:00,-0.0,0.0,-0.0,22.1568246934,1.95354849362
2005-01-01 16:00:00,-0.0,0.0,-0.0,22.1382878755,1.95354849362
2005-01-01 17:00:00,-0.0,0.0,-0.0,17.7275213239,0.559695843822
2005-01-01 18:00:00,-0.0,0.0,-0.0,17.6626424613,0.559695843822
2005-01-01 19:00:00,-0.0,0.0,-0.0,16.4657703444,0.0
2005-01-01 20:00:00,-0.0,0.0,-0.0,16.4101599024,0.0
2005-01-01 21:00:00,-0.0,0.0,-0.0,16.3916230962,0.0
2005-01-01 22:00:00,-0.0,0.0,-0.0,16.3730862665,0.0
2005-01-01 23:00:00,-0.0,0.0,-0.0,0.0,0.0
