,OFFICE_ahu_heat_air_flow,OFFICE_ahu_cool_air_flow,OFFICE_tu_heat_air_flow,OFFICE_tu_cool_air_flow,OFFICE_window_air_flow
2005-01-01 00:00:00,-0.0,0.0,-0.0,9.44644976545,4.08562073062e-13
2005-01-01 01:00:00,-0.0,0.0,-0.0,9.51105752674,4.54747350886e-13
2005-01-01 02:00:00,-0.0,0.0,-0.0,9.49490558642,9.09494701773e-13
2005-01-01 03:00:00,-0.0,0.0,-0.0,9.48952160631,0.0
2005-01-01 04:00:00,-0.0,0.0,-0.0,9.4841376262,0.0
2005-01-01 05:00:00,-0.0,0.0,-0.0,9.47875364609,4.54747350886e-13
2005-01-01 06:00:00,-0.0,0.0,-0.0,14.2639546879,1.13480817248
2005-01-01 07:00:00,-0.0,0.0,-0.0,14.269338668,1.13480817248
2005-01-01 08:00:00,-0.0,0.0,-0.0,21.3064925555,4.37354093678
2005-01-01 09:00:00,-0.0,0.0,-0.0,21.3495643963,4.37354093678
2005-01-01 10:00:00,-0.0,0.0,-0.0,21.3764842968,4.37354093678
2005-01-01 11:00:00,-0.0,-0.0,-0.0,21.4141721576,4.37354093678
2005-01-01 12:00:00,-0.0,0.0,-0.0,12.8761910374,1.13480817248
2005-01-01 13:00:00,-0.0,0.0,-0.0,12.8869589976,1.13480817248
2005-01-01 14:00:00,-0.0,0.0,-0.0,12.8815750175,1.13480817248
2005-01-01 15:00:00,-0.0,0.0,-0.0,12.8708070573,1.13480817248
2005-01-01 16:00:00,-0.0,0.0,-0.0,12.8600390971,1.13480817248
2005-01-01 17:00:00,-0.0,0.0,-0.0,10.2978432028,0.325124981411
2005-01-01 18:00:00,-0.0,0.0,-0.0,10.260155342,0.325124981411
2005-01-01 19:00:00,-0.0,0.0,-0.0,9.56489732099,0.0
2005-01-01 20:00:00,-0.0,0.0,-0.0,9.53259344716,0.0
2005-01-01 21:00:00,-0.0,0.0,-0.0,9.52182549376,0.0
2005-01-01 22:00:00,-0.0,0.0,-0.0,9.51105752674,4.54747350886e-13
2005-01-01 23:00:00,-0.0,0.0,-0.0,0.0,0.0
