,OFFICE_temperature,OFFICE_total_fresh_air_flow,OFFICE_ahu_fresh_air_flow,OFFICE_window_fresh_air_flow,OFFICE_ahu_heat_electric_power,OFFICE_ahu_cool_electric_power,OFFICE_tu_heat_electric_power,OFFICE_tu_cool_electric_power
2005-01-01 00:00:00,25.0,1.09046001112,0.0,5.47117906535e-13,0.0,0.0,0.0,67064.0089461
2005-01-01 01:00:00,25.0,1.09046001112,0.0,0.0,0.0,0.0,0.0,67522.6844897
2005-01-01 02:00:00,25.0,1.09046001112,0.0,0.0,0.0,0.0,0.0,67408.0156038
2005-01-01 03:00:00,25.0,1.09046001112,0.0,-9.09494701773e-13,0.0,0.0,0.0,67369.7926418
2005-01-01 04:00:00,25.0,1.09046001112,0.0,-9.09494701773e-13,0.0,0.0,0.0,67331.5696799
2005-01-01 05:00:00,25.0,1.09046001112,0.0,-9.09494701773e-13,0.0,0.0,0.0,67293.3467179
2005-01-01 06:00:00,25.0,3.64425624801,0.0,2.55379623688,0.0,0.0,0.0,101265.34397
2005-01-01 07:00:00,25.0,3.64425624801,0.0,2.55379623688,0.0,0.0,0.0,101303.566932
2005-01-01 08:00:00,25.0,10.932768744,0.0,9.8423087329,0.0,0.0,0.0,151263.05044
2005-01-01 09:00:00,25.0,10.932768744,0.0,9.8423087329,0.0,0.0,0.0,151568.834136
2005-01-01 10:00:00,25.0,10.932768744,0.0,9.8423087329,0.0,0.0,0.0,151759.948945
2005-01-01 11:00:00,25.0,10.932768744,0.0,9.8423087329,0.0,0.0,0.0,152027.509679
2005-01-01 12:00:00,25.0,3.64425624801,0.0,2.55379623688,0.0,0.0,0.0,91413.0718275
2005-01-01 13:00:00,25.0,3.64425624801,0.0,2.55379623688,0.0,0.0,0.0,91489.5177514
2005-01-01 14:00:00,25.0,3.64425624801,0.0,2.55379623688,0.0,0.0,0.0,91451.2947894
2005-01-01 15:00:00,25.0,3.64425624801,0.0,2.55379623688,0.0,0.0,0.0,91374.8488655
2005-01-01 16:00:00,25.0,3.64425624801,0.0,2.55379623688,0.0,0.0,0.0,91298.4029416
2005-01-01 17:00:00,25.0,1.822128124,0.0,0.731668112881,0.0,0.0,0.0,73108.3810135
2005-01-01 18:00:00,25.0,1.822128124,0.0,0.731668112881,0.0,0.0,0.0,72840.8202797
2005-01-01 19:00:00,25.0,1.09046001112,0.0,-9.09494701773e-13,0.0,0.0,0.0,67904.9140609
2005-01-01 20:00:00,25.0000000001,1.09046001112,0.0,0.0,0.0,0.0,0.0,67675.5763375
2005-01-01 21:00:00,25.0000000001,1.09046001112,0.0,0.0,0.0,0.0,0.0,67599.130462
2005-01-01 22:00:00,25.0,1.09046001112,0.0,0.0,0.0,0.0,0.0,67522.6844897
2005-01-01 23:00:00,25.0,1.09046001112,0.0,0.0,0.0,0.0,0.0,0.0
