hour,GHG_kgCO2MJ,Opex_var_buy_USD2015kWh,Opex_var_sell_USD2015kWh,reference
0,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
1,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
2,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
3,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
4,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
5,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
6,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
7,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
8,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
9,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
10,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
11,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
12,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
13,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
14,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
15,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
16,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
17,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
18,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
19,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
20,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
21,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
22,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
23,0.0075,0.32,0.32,"KBOB 2009/1:2016, ID 42.001 Kehrichtverbrennung, Technikkatalog KEA 2022 (Trendlinie ab 2021)
"
