Name,Af_m2,Aroof_m2,GFA_m2,people0,Qhs_sen_ahu_MWhyr,Qcs_lat_sys_MWhyr,Qcs_sys_MWhyr,Qhs_sys_MWhyr,Qhs_dis_ls0_kW,Qhs_lat_sys_MWhyr,OIL_hs0_kW,Epro_MWhyr,QH_sys_MWhyr,Qhs_sen_ahu0_kW,Qcs0_kW,WOOD_hs_MWhyr,Qcs_dis_ls0_kW,GRID0_kW,GRID_MWhyr,Edata0_kW,Qcdata_MWhyr,Edata_MWhyr,Qcs_em_ls_MWhyr,Qhs_lat_aru_MWhyr,E_sys_MWhyr,E_cdata0_kW,PV_MWhyr,Qww_sys_MWhyr,QH_sys0_kW,Qhs_sys_aru0_kW,E_cre0_kW,Qcs_lat_sys0_kW,OIL_ww0_kW,Eal0_kW,Qhs_sen_sys0_kW,DH_hs_MWhyr,Qcre_sys_MWhyr,COAL_ww0_kW,Qcs_sen_scu_MWhyr,Qcs_em_ls0_kW,Qcdata0_kW,Qhs_sys_shu0_kW,Qcs_sys_aru0_kW,Qcs_lat_aru0_kW,Qcs_sen_scu0_kW,Qcs_lat_ahu0_kW,Qcre0_kW,Qhs_lat_sys0_kW,Qcs_lat_aru_MWhyr,SOLAR_hs_MWhyr,COAL_ww_MWhyr,Qcs_sys_ahu_MWhyr,Qhs_sys0_kW,Qcs_sys_scu0_kW,SOLAR_ww_MWhyr,DC_cdata_MWhyr,Qcs_MWhyr,Qcs_sys_ahu0_kW,Qhs_sys_ahu_MWhyr,OIL_hs_MWhyr,OIL_ww_MWhyr,E_cs_MWhyr,NG_ww_MWhyr,Qhs_sen_aru0_kW,Qhs_lat_ahu_MWhyr,PV0_kW,Qcs_sys0_kW,Qcs_lat_ahu_MWhyr,Eaux0_kW,DC_cre_MWhyr,Qhs_sys_aru_MWhyr,Qcs_dis_ls_MWhyr,Qhpro_sys_MWhyr,Epro0_kW,Qcre_sys0_kW,Qcs_sen_ahu_MWhyr,E_sys0_kW,E_cdata_MWhyr,Eaux_MWhyr,SOLAR_hs0_kW,Qcs_sen_sys_MWhyr,SOLAR_ww0_kW,COAL_hs_MWhyr,E_ww_MWhyr,Qcs_sys_scu_MWhyr,Qcs_sen_ahu0_kW,Qhs_lat_ahu0_kW,QC_sys_MWhyr,Qcs_sen_aru0_kW,Qcs_sen_sys0_kW,COAL_hs0_kW,Qhs_sen_sys_MWhyr,E_hs0_kW,DH_ww0_kW,DH_ww_MWhyr,Qhs_dis_ls_MWhyr,WOOD_ww0_kW,E_ww0_kW,Qww0_kW,Qhs_lat_aru0_kW,Qhs_sys_shu_MWhyr,Qhs_sys_ahu0_kW,Qcdata_sys_MWhyr,Qww_sys0_kW,Qcs_sen_aru_MWhyr,NG_hs0_kW,NG_hs_MWhyr,Qhs_sen_aru_MWhyr,WOOD_hs0_kW,E_cre_MWhyr,NG_ww0_kW,E_cs0_kW,DC_cre0_kW,Qhs_sen_shu_MWhyr,DC_cs_MWhyr,DC_cs0_kW,Qcdata_sys0_kW,Qhs_MWhyr,WOOD_ww_MWhyr,Qhpro_sys0_kW,Qhs_sen_shu0_kW,DH_hs0_kW,DC_cdata0_kW,Qcre_MWhyr,Eal_MWhyr,Qhs_em_ls0_kW,E_hs_MWhyr,Qww_MWhyr,Qhs0_kW,QC_sys0_kW,Qcs_sys_aru_MWhyr,Qhs_em_ls_MWhyr
B001,37877.228,7722.167,69499.501,3698.000,0.000,4143.547,9601.500,0.000,0.000,0.000,0.000,0.000,565.076,0.000,0.000,0.000,0.000,1977.609,7813.942,0.000,0.000,0.000,-275.827,0.000,4231.789,0.000,0.000,565.076,171.868,0.000,0.000,1224.816,0.000,766.232,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4143.547,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9321.521,0.000,0.000,0.000,0.000,2954.290,0.000,0.000,0.000,0.000,2830.626,0.000,3.108,0.000,0.000,-4.152,0.000,0.000,0.000,0.000,769.340,0.000,5.527,0.000,-5177.974,0.000,0.000,627.862,0.000,0.000,0.000,9601.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,190.964,168.821,0.000,0.000,0.000,0.000,171.868,-5177.974,0.000,0.000,0.000,0.000,0.000,0.000,1041.558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4226.262,0.000,0.000,554.578,0.000,2830.626,-9601.500,0.000
B002,37877.248,7722.171,69499.538,3698.000,0.000,4140.314,9591.051,0.000,0.000,0.000,0.000,0.000,565.077,0.000,0.000,0.000,0.000,1969.553,7811.301,0.000,0.000,0.000,-275.324,0.000,4231.801,0.000,0.000,565.077,171.867,0.000,0.000,1225.948,0.000,766.232,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4140.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-9311.547,0.000,0.000,0.000,0.000,2951.637,0.000,0.000,0.000,0.000,2808.736,0.000,3.109,0.000,0.000,-4.180,0.000,0.000,0.000,0.000,769.342,0.000,5.537,0.000,-5171.233,0.000,0.000,627.863,0.000,0.000,0.000,9591.051,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,190.963,168.821,0.000,0.000,0.000,0.000,171.867,-5171.233,0.000,0.000,0.000,0.000,0.000,0.000,1033.503,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4226.264,0.000,0.000,554.578,0.000,2808.736,-9591.051,0.000
B003,55137.622,3747.035,101169.949,5384.000,0.000,5778.226,14661.881,0.000,0.000,0.000,0.000,0.000,815.627,0.000,0.000,0.000,0.000,3146.097,11657.909,0.000,0.000,0.000,-436.305,0.000,6192.203,0.000,0.000,815.627,248.037,0.000,0.000,2003.310,0.000,1115.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5778.226,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-14223.543,0.000,0.000,0.000,0.000,4559.454,0.000,0.000,0.000,0.000,4681.885,0.000,22.069,0.000,0.000,-2.032,0.000,0.000,0.000,0.000,1137.468,0.000,40.062,0.000,-8445.317,0.000,0.000,906.252,0.000,0.000,0.000,14661.881,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,275.597,245.752,0.000,0.000,0.000,0.000,248.037,-8445.317,0.000,0.000,0.000,0.000,0.000,0.000,1767.777,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6152.141,0.000,0.000,807.295,0.000,4681.885,-14661.881,0.000
B004,38911.711,3947.153,71397.635,3799.000,0.000,4085.983,10513.392,0.000,0.000,0.000,0.000,0.000,577.440,0.000,0.000,0.000,0.000,2217.234,8270.133,0.000,0.000,0.000,-315.539,0.000,4358.641,0.000,0.000,577.440,175.577,0.000,0.000,1413.522,0.000,787.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4085.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10195.742,0.000,0.000,0.000,0.000,3269.892,0.000,0.000,0.000,0.000,3397.811,0.000,9.390,0.000,0.000,-2.111,0.000,0.000,0.000,0.000,796.549,0.000,16.954,0.000,-6109.758,0.000,0.000,641.600,0.000,0.000,0.000,10513.392,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,195.086,173.432,0.000,0.000,0.000,0.000,175.577,-6109.758,0.000,0.000,0.000,0.000,0.000,0.000,1250.259,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4341.688,0.000,0.000,569.724,0.000,3397.811,-10513.392,0.000
B005,55137.647,3747.037,101169.994,5384.000,0.000,5735.240,14341.431,0.000,0.000,0.000,0.000,0.000,815.627,0.000,0.000,0.000,0.000,3103.905,11560.796,0.000,0.000,0.000,-422.018,0.000,6192.197,0.000,0.000,815.627,248.037,0.000,0.000,2006.202,0.000,1115.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-5735.240,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-13917.388,0.000,0.000,0.000,0.000,4462.346,0.000,0.000,0.000,0.000,4597.206,0.000,22.064,0.000,0.000,-2.025,0.000,0.000,0.000,0.000,1137.463,0.000,40.054,0.000,-8182.148,0.000,0.000,906.253,0.000,0.000,0.000,14341.431,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,275.597,245.752,0.000,0.000,0.000,0.000,248.037,-8182.148,0.000,0.000,0.000,0.000,0.000,0.000,1725.590,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6152.144,0.000,0.000,807.295,0.000,4597.206,-14341.431,0.000
B006,25319.475,5161.973,46457.753,2472.000,0.000,2824.088,6433.898,0.000,0.000,0.000,0.000,0.000,380.470,0.000,0.000,0.000,0.000,1289.199,5222.232,0.000,0.000,0.000,-184.871,0.000,2828.891,0.000,0.000,380.470,115.675,0.000,0.000,747.535,0.000,512.197,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-2824.088,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-6245.643,0.000,0.000,0.000,0.000,1970.597,0.000,0.000,0.000,0.000,1801.117,0.000,2.120,0.000,0.000,-3.384,0.000,0.000,0.000,0.000,514.317,0.000,3.797,0.000,-3421.555,0.000,0.000,422.744,0.000,0.000,0.000,6433.898,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,128.528,112.851,0.000,0.000,0.000,0.000,115.675,-3421.555,0.000,0.000,0.000,0.000,0.000,0.000,662.740,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2825.094,0.000,0.000,370.714,0.000,1801.117,-6433.898,0.000
B007,92668.124,2024.205,170033.256,9049.000,0.000,10732.609,27708.497,0.000,0.000,0.000,0.000,0.000,1371.353,0.000,0.000,0.000,0.000,5137.730,20580.319,0.000,0.000,0.000,-873.492,0.000,10578.938,0.000,0.000,1371.353,417.078,0.000,0.000,2893.302,0.000,1874.617,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-10732.609,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-26833.401,0.000,0.000,0.000,0.000,8477.655,0.000,0.000,0.000,0.000,7599.027,0.000,131.150,0.000,0.000,-1.605,0.000,0.000,0.000,0.000,2005.764,0.000,239.222,0.000,-16100.791,0.000,0.000,1523.726,0.000,0.000,0.000,27708.497,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,463.420,413.028,0.000,0.000,0.000,0.000,417.078,-16100.791,0.000,0.000,0.000,0.000,0.000,0.000,2737.908,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10339.716,0.000,0.000,1356.796,0.000,7599.027,-27708.497,0.000
B008,42362.661,1439.438,77729.653,4136.000,0.000,4723.403,11992.575,0.000,0.000,0.000,0.000,0.000,630.384,0.000,0.000,0.000,0.000,2372.856,9187.848,0.000,0.000,0.000,-367.060,0.000,4794.855,0.000,0.000,630.384,191.649,0.000,0.000,1372.021,0.000,856.969,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4723.403,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-11624.333,0.000,0.000,0.000,0.000,3692.566,0.000,0.000,0.000,0.000,3512.244,0.000,37.401,0.000,0.000,-1.182,0.000,0.000,0.000,0.000,894.371,0.000,68.118,0.000,-6900.930,0.000,0.000,700.427,0.000,0.000,0.000,11992.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,212.944,188.813,0.000,0.000,0.000,0.000,191.649,-6900.930,0.000,0.000,0.000,0.000,0.000,0.000,1292.366,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4726.737,0.000,0.000,620.251,0.000,3512.244,-11992.575,0.000
B009,28241.763,1439.437,51819.748,2757.000,0.000,3128.682,7863.578,0.000,0.000,0.000,0.000,0.000,421.695,0.000,0.000,0.000,0.000,1574.805,6071.118,0.000,0.000,0.000,-238.687,0.000,3180.083,0.000,0.000,421.695,128.150,0.000,0.000,930.863,0.000,571.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-3128.682,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-7623.725,0.000,0.000,0.000,0.000,2422.486,0.000,0.000,0.000,0.000,2336.590,0.000,15.918,0.000,0.000,-1.166,0.000,0.000,0.000,0.000,587.228,0.000,28.926,0.000,-4495.044,0.000,0.000,468.550,0.000,0.000,0.000,7863.578,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,142.389,125.875,0.000,0.000,0.000,0.000,128.150,-4495.044,0.000,0.000,0.000,0.000,0.000,0.000,878.685,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3151.157,0.000,0.000,413.500,0.000,2336.590,-7863.578,0.000
B010,42362.678,1439.439,77729.684,4136.000,0.000,4736.452,12102.476,0.000,0.000,0.000,0.000,0.000,630.384,0.000,0.000,0.000,0.000,2397.569,9220.614,0.000,0.000,0.000,-372.277,0.000,4794.848,0.000,0.000,630.384,191.649,0.000,0.000,1364.246,0.000,856.970,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-4736.452,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-11729.029,0.000,0.000,0.000,0.000,3725.339,0.000,0.000,0.000,0.000,3579.392,0.000,37.404,0.000,0.000,-1.170,0.000,0.000,0.000,0.000,894.374,0.000,68.109,0.000,-6992.577,0.000,0.000,700.427,0.000,0.000,0.000,12102.476,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,212.944,188.813,0.000,0.000,0.000,0.000,191.649,-6992.577,0.000,0.000,0.000,0.000,0.000,0.000,1317.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4726.739,0.000,0.000,620.251,0.000,3579.392,-12102.476,0.000
