METADATA,DINEN16798undDIN18599,SINGLE_RES,,,,,,,,,,
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY,,
SUNDAY,11,0.1,0.5,0.05,0.95,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,12,0.1,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,13,0.1,0.6,0.05,0.86,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,14,0.2,0.6,0.05,0.74,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,15,0.2,0.6,0.05,0.58,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,16,0.2,0.5,0.2,0.51,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,17,0.5,0.5,0.2,0.29,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,18,0.5,0.7,0.2,0.55,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,19,0.5,0.7,0.2,0.72,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,20,0.8,0.8,0.2,0.78,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,21,0.8,0.8,0.2,0.4,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,22,0.8,0.8,0.2,0.37,SETPOINT,SETPOINT,0.0,0.0,0.0,,
SUNDAY,23,1.0,0.6,0.15,0.34,SETBACK,SETBACK,0.0,0.0,0.0,,
SUNDAY,24,1.0,0.6,0.15,0.19,SETBACK,SETBACK,0.0,0.0,0.0,,
