METADATA,DINEN16798undDIN18599,SINGLE_RES
MONTHLY_MULTIPLIER,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
DAY,HOUR,OCCUPANCY,APPLIANCES,LIGHTING,WATER,HEATING,COOLING,PROCESSES,SERVERS,ELECTROMOBILITY,,
WEEKDAY,1,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,2,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,3,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,4,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,5,1.0,0.5,0,0,SETBACK,SETBACK,0.0,0.0,0.0,,
WEEKDAY,6,1.0,0.5,0,0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,7,1.0,0.5,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,8,1.0,0.7,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,9,1.0,0.7,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,10,1.0,0.5,0.15,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,11,1.0,0.5,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,12,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,13,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,14,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,15,1.0,0.6,0.05,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,16,1.0,0.5,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,17,1.0,0.5,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,18,1.0,0.7,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,19,1.0,0.7,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
WEEKDAY,20,1.0,0.8,0.2,1.0,SETPOINT,SETPOINT,0.0,0.0,0.0,,
