code,pipe_DN,D_ext_m,D_int_m,D_ins_m,Vdot_min_m3s,Vdot_max_m3s,Inv_USD2015perm
DN20,20,0.0269,0.0216,0.11,0.00010971269349282718,0.0004861700017105956,578.699
DN25,25,0.0337,0.0285,0.11,0.0001913574068676881,0.0011841986634650752,580.985
DN32,32,0.0434,0.037200000000000004,0.125,0.00032644187262861847,0.0024461802328990707,619.844
DN40,40,0.0484,0.0431,0.125,0.00043844365110248866,0.0035470429881169227,641.679
DN50,50,0.0603,0.0545,0.14,0.0007015247348572908,0.006242556818552617,726.589
DN65,65,0.0761,0.0703,0.16,0.0011677932488762385,0.011237633703936833,788.46
DN80,80,0.0889,0.0825,0.18,0.0016085692251130276,0.016114912131652493,903.696
DN100,100,0.1143,0.1071,0.225,0.0027111568230832788,0.028722164871930113,1115.974
DN125,125,0.1397,0.1325,0.25,0.004149258372439969,0.04574332170628127,1340.382
DN150,150,0.1683,0.1603,0.28,0.006071779552327753,0.06920165486187863,1615.736
DN200,200,0.2191,0.2101,0.355,0.010424962369432387,0.12441672966790872,1923.842
DN250,250,0.273,0.263,0.45,0.01632474974585353,0.2026394809022746,2576.445
DN300,300,0.3239,0.31270000000000003,0.5,0.02306206709541112,0.2956216181641789,3229.047
DN350,350,0.3556,0.34440000000000004,0.56,0.02796244353820439,0.3652918452178702,3881.649
DN400,400,0.4064,0.39380000000000004,0.63,0.03653348893521246,0.49071081543188144,3630.305
DN450,450,0.4572,0.4446,0.67,0.04653225699694481,0.6420592775906582,4534.252
DN500,500,0.508,0.4954,0.8,0.057729514627809585,0.8172210593635644,5839.456
DN600,600,0.61,0.5958,0.9,0.08337320910000096,1.2378759944002846,6492.059
DN700,700,0.711,0.6950000000000001,1.0,0.11327505421568683,1.757795843377522,7144.661
DN800,800,0.8130000000000001,0.7954,1.1,0.14813623965824918,2.3982421064251906,7797.263
DN900,900,0.914,0.894,1.2,0.18685240099592815,3.147508494847455,8449.866
DN1000,1000,1.016,0.994,1.3,0.23063077034300417,4.037754872782907,9102.468
DN1100,1100,1.118,1.0956900900000002,1.4887830773,0.279786396525867,5.086548769557528,9717.839
DN1200,1200,1.219,1.19529828,1.6152744772999998,0.33244690751219186,6.2628865134022424,10204.243
DN1300,1300,1.32487069,1.2949064700000001,1.7417658773,0.38954991811338946,7.595322613016156,10624.474
DN1400,1400,1.42678382,1.3945146600000002,1.8682572773,0.45107349039329836,9.092421142063717,10978.533
DN1500,1500,1.52869695,1.4941228500000001,1.9947486772999998,0.5169956864157573,10.76274617420937,11266.419
